County,Tabulator ID,Batch,# of Ballot Cards,Location
Gunnison,202,1,49,1
Gunnison,202,2,48,1
Gunnison,202,3,48,1
Gunnison,202,4,50,1
Gunnison,202,5,50,1
Gunnison,202,6,50,1
Gunnison,202,7,50,1
Gunnison,202,8,50,1
Gunnison,202,9,50,1
Gunnison,202,10,49,1
Gunnison,202,11,50,1
Gunnison,202,12,49,1
Gunnison,202,13,49,1
Gunnison,202,14,49,1
Gunnison,202,15,49,1
Gunnison,202,16,50,1
Gunnison,202,17,49,1
Gunnison,202,18,48,1
Gunnison,202,19,49,1
Gunnison,202,20,50,1
Gunnison,202,21,49,1
Gunnison,202,22,49,1
Gunnison,202,23,50,1
Gunnison,202,24,50,1
Gunnison,202,25,50,1
Gunnison,202,26,50,2
Gunnison,202,27,50,2
Gunnison,202,28,50,2
Gunnison,202,29,50,2
Gunnison,202,30,50,2
Gunnison,202,31,49,2
Gunnison,202,32,50,2
Gunnison,202,33,49,2
Gunnison,202,34,50,2
Gunnison,202,35,47,2
Gunnison,202,36,49,2
Gunnison,202,37,50,2
Gunnison,202,38,50,2
Gunnison,202,39,50,2
Gunnison,202,40,50,2
Gunnison,202,41,49,2
Gunnison,202,42,50,2
Gunnison,202,43,49,2
Gunnison,202,44,40,2
Gunnison,202,45,15,2
Gunnison,202,46,50,2
Gunnison,202,47,50,2
Gunnison,202,48,49,2
Gunnison,202,49,49,2
Gunnison,202,50,50,2
Gunnison,202,51,50,3
Gunnison,202,52,47,3
Gunnison,202,53,49,3
Gunnison,202,54,50,3
Gunnison,202,55,49,3
Gunnison,202,56,48,3
Gunnison,202,57,49,3
Gunnison,202,58,50,3
Gunnison,202,59,48,3
Gunnison,202,60,50,3
Gunnison,202,61,50,3
Gunnison,202,62,47,3
Gunnison,202,63,43,3
Gunnison,202,64,50,3
Gunnison,202,65,50,3
Gunnison,202,67,49,3
Gunnison,202,68,50,3
Gunnison,202,69,48,3
Gunnison,202,70,50,3
Gunnison,202,71,50,3
Gunnison,202,72,50,3
Gunnison,202,73,50,3
Gunnison,202,74,50,3
Gunnison,202,75,50,3
Gunnison,202,76,50,4
Gunnison,202,77,49,4
Gunnison,202,78,50,4
Gunnison,202,79,49,4
Gunnison,202,80,49,4
Gunnison,202,81,48,4
Gunnison,202,82,50,4
Gunnison,202,83,48,4
Gunnison,202,84,24,4
Gunnison,202,85,50,4
Gunnison,202,86,50,4
Gunnison,202,87,50,4
Gunnison,202,88,50,4
Gunnison,202,89,49,4
Gunnison,202,90,50,4
Gunnison,202,91,48,4
Gunnison,202,92,48,4
Gunnison,202,93,47,4
Gunnison,202,94,50,4
Gunnison,202,95,48,4
Gunnison,202,96,45,4
Gunnison,202,97,28,4
Gunnison,202,98,50,4
Gunnison,202,99,48,4
Gunnison,202,100,49,4
Gunnison,202,101,48,5
Gunnison,202,102,48,5
Gunnison,202,103,50,5
Gunnison,202,104,49,5
Gunnison,202,105,49,5
Gunnison,202,106,49,5
Gunnison,202,107,49,5
Gunnison,202,108,47,5
Gunnison,202,109,49,5
Gunnison,202,110,48,5
Gunnison,202,111,49,5
Gunnison,202,112,50,5
Gunnison,202,113,47,5
Gunnison,202,114,49,5
Gunnison,202,115,49,5
Gunnison,202,116,49,5
Gunnison,202,117,47,5
Gunnison,202,118,46,5
Gunnison,202,119,50,5
Gunnison,202,120,50,5
Gunnison,202,121,50,5
Gunnison,202,122,25,5
Gunnison,202,123,28,5
Gunnison,202,124,50,5
Gunnison,202,125,50,5
Gunnison,202,126,48,6
Gunnison,202,127,50,6
Gunnison,202,128,50,6
Gunnison,202,129,49,6
Gunnison,202,130,49,6
Gunnison,202,131,50,6
Gunnison,202,132,48,6
Gunnison,202,133,48,6
Gunnison,102,1,48,6
Gunnison,102,2,22,6
Gunnison,102,3,50,6
Gunnison,102,4,50,6
Gunnison,102,5,50,6
Gunnison,102,6,50,6
Gunnison,102,7,49,6
Gunnison,102,8,48,6
Gunnison,102,9,49,6
Gunnison,102,10,50,6
Gunnison,102,11,49,6
Gunnison,102,12,50,6
Gunnison,102,13,50,6
Gunnison,102,14,50,6
Gunnison,102,15,50,6
Gunnison,102,16,50,6
Gunnison,102,17,49,6
Gunnison,102,18,50,7
Gunnison,102,19,46,7
Gunnison,102,20,48,7
Gunnison,102,21,48,7
Gunnison,102,22,50,7
Gunnison,102,23,50,7
Gunnison,102,24,48,7
Gunnison,102,25,50,7
Gunnison,102,26,48,7
Gunnison,102,27,49,7
Gunnison,102,28,50,7
Gunnison,102,29,50,7
Gunnison,102,30,50,7
Gunnison,102,31,49,7
Gunnison,102,32,50,7
Gunnison,102,33,49,7
Gunnison,102,34,48,7
Gunnison,102,35,49,7
Gunnison,102,36,49,7
Gunnison,102,37,49,7
Gunnison,102,38,50,7
Gunnison,102,39,50,7
Gunnison,102,40,50,7
Gunnison,102,41,49,7
Gunnison,102,42,48,7
Gunnison,102,43,50,8
Gunnison,102,44,50,8
Gunnison,102,45,50,8
Gunnison,102,46,50,8
Gunnison,102,47,48,8
Gunnison,102,48,50,8
Gunnison,102,49,49,8
Gunnison,102,50,47,8
Gunnison,102,51,49,8
Gunnison,102,52,50,8
Gunnison,102,53,49,8
Gunnison,102,54,49,8
Gunnison,102,55,49,8
Gunnison,102,56,50,8
Gunnison,102,57,50,8
Gunnison,102,58,50,8
Gunnison,102,59,50,8
Gunnison,102,60,50,8
Gunnison,102,61,49,8
Gunnison,102,62,50,8
Gunnison,102,63,46,8
Gunnison,102,64,49,8
Gunnison,102,65,37,8
Gunnison,102,66,49,8
Gunnison,102,67,48,8
Gunnison,102,68,50,9
Gunnison,102,69,50,9
Gunnison,102,70,49,9
Gunnison,102,71,49,9
Gunnison,102,72,50,9
Gunnison,102,73,48,9
Gunnison,102,74,50,9
Gunnison,102,75,49,9
Gunnison,102,76,49,9
Gunnison,102,77,49,9
Gunnison,102,78,49,9
Gunnison,102,79,48,9
Gunnison,102,80,46,9
Gunnison,102,81,50,9
Gunnison,102,82,50,9
Gunnison,102,83,50,9
Gunnison,102,84,50,9
Gunnison,102,85,47,9
Gunnison,102,86,50,9
Gunnison,102,87,50,9
Gunnison,102,88,49,9
Gunnison,102,89,50,9
Gunnison,102,90,47,9
Gunnison,102,91,46,9
Gunnison,102,92,45,9
Gunnison,102,93,50,10
Gunnison,102,94,49,10
Gunnison,102,95,49,10
Gunnison,102,96,27,10
Gunnison,102,97,24,10
Gunnison,102,98,50,10
Gunnison,102,99,25,10
Gunnison,102,100,23,10
