County,Tabulator,Batch,# of Ballots,Locator
Otero,102,1,25,20
Otero,102,2,25,20
Otero,102,3,25,20
Otero,102,4,25,20
Otero,102,5,25,20
Otero,102,6,25,20
Otero,102,7,25,20
Otero,102,8,25,20
Otero,102,9,25,20
Otero,102,10,25,20
Otero,102,11,25,20
Otero,102,12,25,20
Otero,102,13,25,20
Otero,102,14,25,20
Otero,102,15,19,20
Otero,102,16,25,20
Otero,102,17,25,20
Otero,102,18,24,20
Otero,102,19,25,20
Otero,102,20,25,20
Otero,102,21,25,20
Otero,102,22,25,20
Otero,102,23,25,20
Otero,102,24,25,20
Otero,102,25,25,20
Otero,102,26,25,20
Otero,102,27,24,20
Otero,102,28,23,20
Otero,102,29,25,20
Otero,102,30,25,2
Otero,102,31,24,2
Otero,102,32,25,2
Otero,102,33,25,2
Otero,102,34,25,2
Otero,102,35,25,2
Otero,102,36,25,2
Otero,102,37,24,2
Otero,102,38,24,2
Otero,102,39,24,2
Otero,102,40,25,2
Otero,102,41,25,2
Otero,102,42,25,2
Otero,102,43,25,2
Otero,102,44,24,2
Otero,102,45,25,2
Otero,102,46,25,2
Otero,102,47,25,2
Otero,102,48,25,2
Otero,102,49,25,2
Otero,102,50,25,2
Otero,102,51,25,2
Otero,102,52,25,2
Otero,102,53,24,2
Otero,102,54,25,2
Otero,102,55,25,2
Otero,102,56,25,2
Otero,102,57,25,2
Otero,102,58,25,2
Otero,102,59,23,2
Otero,102,60,25,2
Otero,102,61,25,2
Otero,102,62,25,2
Otero,102,63,25,2
Otero,102,64,25,2
Otero,102,65,25,2
Otero,102,66,25,2
Otero,102,67,25,2
Otero,102,68,24,2
Otero,102,69,25,20
Otero,102,70,24,20
Otero,102,71,25,20
Otero,102,72,25,20
Otero,102,73,25,20
Otero,102,74,25,20
Otero,102,75,25,20
Otero,102,76,27,20
Otero,102,77,25,20
Otero,102,78,25,20
Otero,102,79,16,20
Otero,102,80,25,21
Otero,102,81,25,21
Otero,102,82,25,21
Otero,102,83,25,21
Otero,102,84,25,21
Otero,102,85,25,21
Otero,102,86,25,21
Otero,102,87,24,21
Otero,102,88,25,21
Otero,102,89,25,21
Otero,102,90,25,21
Otero,102,91,25,21
Otero,102,92,24,21
Otero,102,93,25,21
Otero,102,94,24,21
Otero,102,95,24,21
Otero,102,96,25,21
Otero,102,97,25,21
Otero,102,98,25,21
Otero,102,99,25,21
Otero,102,100,25,21
Otero,102,101,25,21
Otero,102,102,25,21
Otero,102,103,25,21
Otero,102,104,25,21
Otero,102,105,25,21
Otero,102,106,25,21
Otero,102,107,24,21
Otero,102,108,24,21
Otero,102,109,25,21
Otero,102,110,25,21
Otero,102,111,25,21
Otero,102,112,25,21
Otero,102,113,25,21
Otero,102,114,25,21
Otero,102,115,25,21
Otero,102,116,25,21
Otero,102,117,25,16
Otero,102,118,25,16
Otero,102,119,25,16
Otero,102,120,25,16
Otero,102,121,25,16
Otero,102,122,25,16
Otero,102,123,25,16
Otero,102,124,24,16
Otero,102,125,25,16
Otero,102,126,25,16
Otero,102,127,25,16
Otero,102,128,24,16
Otero,102,129,25,16
Otero,102,130,23,16
Otero,102,131,25,16
Otero,102,132,25,16
Otero,102,133,25,16
Otero,102,134,23,16
Otero,102,135,37,16
Otero,102,136,25,16
Otero,102,137,24,16
Otero,102,138,25,16
Otero,102,139,25,16
Otero,102,140,24,16
Otero,102,141,25,16
Otero,102,142,25,16
Otero,102,143,25,16
Otero,102,144,24,16
Otero,102,145,25,16
Otero,102,146,25,16
Otero,102,147,25,16
Otero,102,148,25,16
Otero,102,149,25,16
Otero,102,150,25,16
Otero,102,151,24,16
Otero,102,152,25,16
Otero,102,153,24,16
Otero,102,154,24,16
Otero,102,155,25,16
Otero,102,156,25,12
Otero,102,157,24,12
Otero,102,158,25,12
Otero,102,159,24,12
Otero,102,160,25,12
Otero,102,161,25,12
Otero,102,162,24,12
Otero,102,163,24,12
Otero,102,164,42,12
Otero,102,165,25,12
Otero,102,166,24,12
Otero,102,167,25,12
Otero,102,168,25,12
Otero,102,169,25,12
Otero,102,170,25,12
Otero,102,171,25,12
Otero,102,172,25,12
Otero,102,173,24,12
Otero,102,174,25,12
Otero,102,175,25,12
Otero,102,176,25,12
Otero,102,177,25,12
Otero,102,178,25,12
Otero,102,179,25,12
Otero,102,180,25,12
Otero,102,181,25,12
Otero,102,182,25,12
Otero,102,183,25,12
Otero,102,184,24,12
Otero,102,185,25,12
Otero,102,186,25,12
Otero,102,187,24,12
Otero,102,188,25,12
Otero,102,189,25,12
Otero,102,190,24,4
Otero,102,191,23,4
Otero,102,192,24,4
Otero,102,193,25,4
Otero,102,194,23,4
Otero,102,195,25,4
Otero,102,196,25,4
Otero,102,197,25,4
Otero,102,198,25,4
Otero,102,199,25,4
Otero,102,200,24,4
Otero,102,201,24,4
Otero,102,202,25,4
Otero,102,203,25,4
Otero,102,204,25,4
Otero,102,205,25,4
Otero,102,206,25,4
Otero,102,207,25,4
Otero,102,208,25,4
Otero,102,209,23,4
Otero,102,210,25,4
Otero,102,211,25,4
Otero,102,212,25,4
Otero,102,213,25,4
Otero,102,214,25,4
Otero,102,215,25,4
Otero,102,216,24,4
Otero,102,217,25,4
Otero,102,218,25,4
Otero,102,219,23,4
Otero,102,220,25,4
Otero,102,221,25,4
Otero,102,222,25,4
Otero,102,223,24,4
Otero,102,224,23,22
Otero,102,225,25,22
Otero,102,226,25,22
Otero,102,227,25,22
Otero,102,228,24,22
Otero,102,229,24,22
Otero,102,230,24,22
