County,Tabulator ID,Batch,# of Ballot Cards,Location
Rio Blanco,102,1,25,ADJ 1
Rio Blanco,102,2,25,ADJ 1
Rio Blanco,102,3,24,ADJ 1
Rio Blanco,102,4,25,ADJ 1
Rio Blanco,102,5,25,ADJ 1
Rio Blanco,102,6,25,ADJ 1
Rio Blanco,102,7,25,ADJ 1
Rio Blanco,102,8,25,ADJ 1
Rio Blanco,102,9,25,ADJ 1
Rio Blanco,102,10,24,ADJ 1
Rio Blanco,102,11,13,ADJ 1
Rio Blanco,102,12,29,ADJ 1
Rio Blanco,102,13,25,ADJ 1
Rio Blanco,102,14,25,ADJ 1
Rio Blanco,102,15,23,ADJ 1
Rio Blanco,102,16,24,ADJ 1
Rio Blanco,102,17,24,ADJ 1
Rio Blanco,102,18,25,ADJ 1
Rio Blanco,102,19,25,ADJ 1
Rio Blanco,102,20,25,ADJ 1
Rio Blanco,102,21,25,ADJ 1
Rio Blanco,102,22,25,ADJ 1
Rio Blanco,102,23,25,ADJ 1
Rio Blanco,102,24,25,ADJ 1
Rio Blanco,102,25,25,ADJ 1
Rio Blanco,102,26,22,ADJ 1
Rio Blanco,102,27,12,ADJ 1
Rio Blanco,102,28,25,ADJ 1
Rio Blanco,102,29,25,ADJ 1
Rio Blanco,102,30,25,ADJ 1
Rio Blanco,102,31,25,ADJ 1
Rio Blanco,102,32,25,ADJ 1
Rio Blanco,102,33,21,ADJ 1
Rio Blanco,102,34,24,ADJ 1
Rio Blanco,102,35,24,ADJ 1
Rio Blanco,102,36,25,ADJ 1
Rio Blanco,102,37,25,ADJ 1
Rio Blanco,102,38,25,ADJ 1
Rio Blanco,102,39,26,ADJ 1
Rio Blanco,102,40,20,ADJ 1
Rio Blanco,102,41,25,ADJ 1
Rio Blanco,102,42,25,ADJ 1
Rio Blanco,102,43,25,ADJ 1
Rio Blanco,102,44,25,ADJ 2
Rio Blanco,102,45,24,ADJ 2
Rio Blanco,102,46,24,ADJ 2
Rio Blanco,102,47,29,ADJ 2
Rio Blanco,102,48,24,ADJ 2
Rio Blanco,102,49,13,ADJ 2
Rio Blanco,102,50,25,ADJ 2
Rio Blanco,102,51,25,ADJ 2
Rio Blanco,102,52,18,ADJ 2
Rio Blanco,102,53,25,ADJ 2
Rio Blanco,102,54,25,ADJ 2
Rio Blanco,102,55,22,ADJ 2
Rio Blanco,102,56,24,ADJ 2
Rio Blanco,102,57,24,ADJ 2
Rio Blanco,102,58,25,ADJ 2
Rio Blanco,102,59,24,ADJ 2
Rio Blanco,102,60,25,ADJ 2
Rio Blanco,102,61,23,ADJ 2
Rio Blanco,102,62,25,ADJ 2
Rio Blanco,102,63,25,ADJ 2
Rio Blanco,102,64,25,ADJ 2
Rio Blanco,102,65,27,ADJ 2
Rio Blanco,102,66,23,ADJ 2
Rio Blanco,102,67,25,ADJ 2
Rio Blanco,102,68,21,ADJ 2
Rio Blanco,102,69,25,ADJ 2
Rio Blanco,102,70,25,ADJ 2
Rio Blanco,102,71,25,ADJ 2
Rio Blanco,102,72,23,ADJ 2
Rio Blanco,102,73,21,ADJ 2
Rio Blanco,102,74,13,ADJ 2
Rio Blanco,102,75,24,ADJ 2
Rio Blanco,102,76,25,ADJ 2
Rio Blanco,102,77,21,ADJ 2
Rio Blanco,102,78,25,ADJ 2
Rio Blanco,102,79,25,ADJ 2
Rio Blanco,102,80,18,ADJ 2
Rio Blanco,102,81,18,ADJ 2
Rio Blanco,102,82,24,ADJ 2
Rio Blanco,102,83,15,ADJ 2
Rio Blanco,102,84,25,ADJ 2
Rio Blanco,102,85,25,ADJ 2
Rio Blanco,102,86,25,ADJ 1
Rio Blanco,102,87,25,ADJ 1
Rio Blanco,102,88,25,ADJ 1
Rio Blanco,102,89,25,ADJ 1
