County,Tabulator ID,Batch,# of Ballot Cards,Location
Yuma,102,1,17,1
Yuma,102,2,20,1
Yuma,102,3,20,1
Yuma,102,4,20,1
Yuma,102,5,20,1
Yuma,102,6,20,1
Yuma,102,7,20,1
Yuma,102,8,20,1
Yuma,102,9,19,1
Yuma,102,10,19,1
Yuma,102,11,19,1
Yuma,102,12,20,1
Yuma,102,13,18,1
Yuma,102,14,19,1
Yuma,102,15,20,1
Yuma,102,16,20,1
Yuma,102,17,20,1
Yuma,102,18,19,1
Yuma,102,19,20,1
Yuma,102,20,20,1
Yuma,102,21,20,1
Yuma,102,22,18,1
Yuma,102,23,20,1
Yuma,102,24,19,1
Yuma,102,25,18,1
Yuma,102,26,19,1
Yuma,102,27,20,1
Yuma,102,28,20,1
Yuma,102,29,20,1
Yuma,102,30,19,1
Yuma,102,31,19,1
Yuma,102,32,19,1
Yuma,102,33,20,1
Yuma,102,34,20,1
Yuma,102,35,19,1
Yuma,102,36,20,1
Yuma,102,37,20,1
Yuma,102,38,20,1
Yuma,102,39,19,1
Yuma,102,40,20,1
Yuma,102,41,20,1
Yuma,102,42,20,1
Yuma,102,43,20,1
Yuma,102,44,20,1
Yuma,102,45,19,1
Yuma,102,46,19,2
Yuma,102,47,2,2
Yuma,102,48,20,2
Yuma,102,49,20,2
Yuma,102,50,20,2
Yuma,102,51,20,2
Yuma,102,52,19,2
Yuma,102,53,19,2
Yuma,102,54,20,2
Yuma,102,55,20,2
Yuma,102,56,19,2
Yuma,102,57,17,2
Yuma,102,58,19,2
Yuma,102,59,20,2
Yuma,102,60,15,2
Yuma,102,61,20,2
Yuma,102,62,20,2
Yuma,102,63,20,2
Yuma,102,64,20,2
Yuma,102,65,21,2
Yuma,102,66,20,2
Yuma,102,67,19,2
Yuma,102,68,18,2
Yuma,102,69,19,2
Yuma,102,70,18,2
Yuma,102,71,20,2
Yuma,102,72,20,2
Yuma,102,73,18,2
Yuma,102,74,20,2
Yuma,102,75,19,2
Yuma,102,76,20,2
Yuma,102,77,20,2
Yuma,102,78,19,2
Yuma,102,79,20,2
Yuma,102,80,19,2
Yuma,102,81,20,2
Yuma,102,82,17,2
Yuma,102,83,19,2
Yuma,102,84,20,2
Yuma,102,85,19,2
Yuma,102,86,20,2
Yuma,102,87,10,2
Yuma,102,88,19,2
Yuma,102,89,19,2
Yuma,102,90,17,2
Yuma,102,91,20,3
Yuma,102,92,19,3
Yuma,102,93,19,3
Yuma,102,94,19,3
Yuma,102,95,20,3
Yuma,102,96,20,3
Yuma,102,97,20,3
Yuma,102,98,19,3
Yuma,102,99,20,3
Yuma,102,100,20,3
Yuma,102,101,19,3
Yuma,102,102,19,3
Yuma,102,103,19,3
Yuma,102,104,19,3
Yuma,102,105,20,3
Yuma,102,106,20,3
Yuma,102,107,20,3
Yuma,102,108,20,3
Yuma,102,109,20,3
Yuma,102,110,5,3
Yuma,102,111,20,3
Yuma,102,112,20,3
Yuma,102,113,20,3
Yuma,102,114,20,3
Yuma,102,115,19,3
Yuma,102,116,19,3
Yuma,102,117,20,3
Yuma,102,118,20,3
Yuma,102,119,19,3
Yuma,102,120,20,3
Yuma,102,121,18,3
Yuma,102,122,19,3
Yuma,102,123,19,3
Yuma,102,124,20,3
Yuma,102,125,20,3
Yuma,102,126,18,3
Yuma,102,127,20,3
Yuma,102,128,18,3
Yuma,102,129,20,3
Yuma,102,130,18,3
Yuma,102,131,18,3
Yuma,102,132,20,3
Yuma,102,133,20,3
Yuma,102,134,19,3
Yuma,102,135,20,3
Yuma,102,136,19,4
Yuma,102,137,18,4
Yuma,102,138,20,4
Yuma,102,139,19,4
Yuma,102,140,20,4
Yuma,102,141,20,4
Yuma,102,142,20,4
Yuma,102,143,20,4
Yuma,102,144,21,4
Yuma,102,145,11,4
Yuma,102,146,20,4
Yuma,102,147,20,4
Yuma,102,148,14,4
Yuma,102,149,20,4
Yuma,102,150,18,4
Yuma,102,151,19,4
Yuma,102,152,18,4
Yuma,102,153,19,4
Yuma,102,154,16,4
Yuma,102,155,20,4
Yuma,102,156,18,4
Yuma,102,157,20,4
Yuma,102,158,19,4
Yuma,102,159,20,4
Yuma,102,160,20,4
Yuma,102,161,19,4
Yuma,102,162,19,4
Yuma,102,163,18,4
Yuma,102,164,19,4
Yuma,102,165,20,4
Yuma,102,166,18,4
Yuma,102,167,18,4
Yuma,102,168,19,4
Yuma,102,169,19,4
Yuma,102,170,18,4
Yuma,102,171,20,4
Yuma,102,172,19,4
Yuma,102,173,19,4
Yuma,102,174,19,4
Yuma,102,175,19,4
Yuma,102,176,19,4
Yuma,102,177,20,4
Yuma,102,178,19,4
Yuma,102,179,19,4
Yuma,102,180,20,4
Yuma,102,181,20,5
Yuma,102,182,20,5
Yuma,102,183,20,5
Yuma,102,184,20,5
Yuma,102,185,20,5
Yuma,102,186,19,5
Yuma,102,187,20,5
Yuma,102,188,20,5
Yuma,102,189,20,5
Yuma,102,190,18,5
Yuma,102,191,20,5
Yuma,102,192,1,5
Yuma,102,193,2,5
Yuma,102,194,20,5
Yuma,102,195,20,5
Yuma,102,196,19,5
Yuma,102,197,19,5
Yuma,102,198,20,5
Yuma,102,199,20,5
Yuma,102,200,20,5
Yuma,102,201,20,5
Yuma,102,202,18,5
Yuma,102,203,14,5
Yuma,102,204,16,5
Yuma,102,205,20,5
Yuma,102,206,20,5
Yuma,102,207,19,5
Yuma,102,208,19,5
Yuma,102,209,20,5
Yuma,102,210,17,5
Yuma,102,211,19,5
Yuma,102,212,10,5
Yuma,102,213,20,5
Yuma,102,214,19,5
Yuma,102,215,7,5
Yuma,102,216,19,5
Yuma,102,217,3,5
Yuma,102,218,18,5
Yuma,102,219,19,5
Yuma,102,220,19,5
Yuma,102,221,19,5
Yuma,102,222,18,5
Yuma,102,223,19,5
Yuma,102,224,16,5
Yuma,102,225,20,5
Yuma,102,226,20,6
Yuma,102,227,20,6
Yuma,102,228,20,6
Yuma,102,229,20,6
Yuma,102,230,14,6
Yuma,102,231,20,6
Yuma,102,232,20,6
Yuma,102,233,20,6
Yuma,102,234,20,6
Yuma,102,235,20,6
Yuma,102,236,20,6
Yuma,102,237,20,6
Yuma,102,238,20,6
Yuma,102,239,20,6
Yuma,102,240,13,6
Yuma,102,241,20,6
Yuma,102,242,20,6
Yuma,102,243,20,6
Yuma,102,244,25,6
Yuma,102,245,30,6
Yuma,102,246,30,6
Yuma,102,247,5,6
Yuma,102,248,27,6
Yuma,102,249,27,6
Yuma,102,250,15,6
