County,Device ID,Batch,# of Ballots,Location
Delta,102,1,50,1
Delta,102,2,49,1
Delta,102,3,50,1
Delta,102,4,51,1
Delta,102,5,50,1
Delta,102,6,50,1
Delta,102,7,50,1
Delta,102,8,50,1
Delta,102,9,50,1
Delta,102,10,50,1
Delta,102,11,50,1
Delta,102,12,51,1
Delta,102,13,53,1
Delta,102,14,61,1
Delta,102,15,49,1
Delta,102,16,49,1
Delta,102,17,51,1
Delta,102,18,53,1
Delta,102,19,50,1
Delta,102,20,50,1
Delta,102,21,55,1
Delta,102,22,49,1
Delta,102,23,52,1
Delta,102,24,49,1
Delta,102,25,51,1
Delta,102,26,50,1
Delta,102,27,50,1
Delta,102,28,50,1
Delta,102,29,50,1
Delta,102,30,51,1
Delta,102,31,50,1
Delta,102,32,44,1
Delta,102,33,49,1
Delta,102,34,49,1
Delta,102,35,49,1
Delta,102,36,50,1
Delta,102,37,50,1
Delta,102,38,50,1
Delta,102,39,50,1
Delta,102,40,49,1
Delta,102,41,49,2
Delta,102,42,40,2
Delta,102,43,49,2
Delta,102,44,49,2
Delta,102,45,50,2
Delta,102,46,49,2
Delta,102,47,52,2
Delta,102,48,50,2
Delta,102,49,50,2
Delta,102,50,48,2
Delta,102,51,50,2
Delta,102,52,50,2
Delta,102,53,51,2
Delta,102,54,49,2
Delta,102,55,19,2
Delta,102,56,48,2
Delta,102,57,49,2
Delta,102,58,50,2
Delta,102,59,50,2
Delta,102,60,49,2
Delta,102,61,50,2
Delta,102,62,50,2
Delta,102,63,49,2
Delta,102,64,50,2
Delta,102,65,50,2
Delta,102,66,50,2
Delta,102,67,49,2
Delta,102,68,49,2
Delta,102,69,47,2
Delta,102,70,50,2
Delta,102,71,49,2
Delta,102,72,43,2
Delta,102,73,48,2
Delta,102,74,49,2
Delta,102,75,50,2
Delta,102,76,46,2
Delta,102,77,50,2
Delta,102,78,50,2
Delta,102,79,50,2
Delta,102,80,48,2
Delta,102,81,22,2
Delta,102,82,56,2
