County,Tabulator ID,Batch,# of Ballots,Location
Douglas,1,PRES-0001,100,19
Douglas,1,PRES-0002,100,19
Douglas,1,PRES-0003,100,23
Douglas,1,PRES-0004,100,22
Douglas,1,PRES-0005,100,22
Douglas,1,PRES-0006,100,23
Douglas,1,PRES-0007,55,25
Douglas,1,PRES-0008,100,19
Douglas,1,PRES-0009,100,23
Douglas,1,PRES-0010,100,25
Douglas,1,PRES-0011,100,17
Douglas,1,PRES-0012,98,22
Douglas,1,PRES-0013,100,25
Douglas,1,PRES-0014,98,48
Douglas,1,PRES-0015,100,17
Douglas,1,PRES-0016,97,19
Douglas,1,PRES-0017,99,28
Douglas,1,PRES-0018,96,25
Douglas,1,PRES-0019,39,28
Douglas,1,PRES-0020,99,19
Douglas,1,PRES-0021,100,28
Douglas,1,PRES-0022,99,22
Douglas,1,PRES-0023,100,22
Douglas,1,PRES-0024,99,17
Douglas,1,PRES-0025,98,66
Douglas,1,PRES-0026,96,23
Douglas,1,PRES-0027,100,23
Douglas,1,PRES-0028,100,23
Douglas,1,PRES-0029,100,25
Douglas,1,PRES-0030,100,23
Douglas,1,PRES-0031,100,22
Douglas,1,PRES-0032,99,23
Douglas,1,PRES-0033,100,17
Douglas,1,PRES-0034,100,22
Douglas,1,PRES-0035,100,22
Douglas,1,PRES-0036,100,59
Douglas,1,PRES-0037,100,47
Douglas,1,PRES-0038,100,19
Douglas,1,PRES-0039,100,19
Douglas,1,PRES-0040,100,25
Douglas,1,PRES-0041,100,22
Douglas,1,PRES-0042,100,19
Douglas,1,PRES-0043,100,25
Douglas,1,PRES-0044,100,19
Douglas,1,PRES-0045,100,25
Douglas,1,PRES-0046,100,25
Douglas,1,PRES-0047,100,22
Douglas,1,PRES-0048,100,17
Douglas,1,PRES-0049,100,28
Douglas,1,PRES-0050,100,28
Douglas,1,PRES-0051,100,28
Douglas,1,PRES-0052,100,28
Douglas,1,PRES-0053,67,28
Douglas,1,PRES-0054,100,28
Douglas,1,PRES-0055,100,29
Douglas,1,PRES-0056,97,22
Douglas,1,PRES-0057,97,35
Douglas,1,PRES-0058,98,28
Douglas,1,PRES-0059,100,70
Douglas,1,PRES-0060,96,41
Douglas,1,PRES-0061,97,23
Douglas,1,PRES-0062,96,29
Douglas,1,PRES-0063,99,35
Douglas,1,PRES-0064,60,35
Douglas,1,PRES-0065,97,29
Douglas,1,PRES-0066,98,29
Douglas,1,PRES-0067,100,28
Douglas,1,PRES-0068,99,28
Douglas,1,PRES-0069,96,17
Douglas,1,PRES-0070,96,23
Douglas,1,PRES-0071,97,23
Douglas,1,PRES-0072,98,25
Douglas,1,PRES-0073,99,28
Douglas,1,PRES-0074,97,25
Douglas,1,PRES-0075,98,17
Douglas,1,PRES-0076,99,17
Douglas,1,PRES-0077,100,28
Douglas,1,PRES-0078,100,47
Douglas,1,PRES-0079,100,28
Douglas,1,PRES-0080,100,28
Douglas,1,PRES-0081,100,28
Douglas,1,PRES-0082,100,59
Douglas,1,PRES-0083,100,19
Douglas,1,PRES-0084,100,22
Douglas,1,PRES-0085,100,47
Douglas,1,PRES-0086,100,19
Douglas,1,PRES-0087,100,22
Douglas,1,PRES-0088,100,22
Douglas,1,PRES-0089,100,28
Douglas,1,PRES-0090,100,25
Douglas,1,PRES-0091,100,22
Douglas,1,PRES-0092,100,47
Douglas,1,PRES-0093,100,22
Douglas,1,PRES-0094,100,47
Douglas,1,PRES-0095,100,19
Douglas,1,PRES-0096,100,23
Douglas,1,PRES-0097,99,17
Douglas,1,PRES-0098,65,47
Douglas,1,PRES-0099,87,61
Douglas,1,PRES-0100,100,73
Douglas,1,PRES-0101,100,53
Douglas,1,PRES-0102,100,79
Douglas,1,PRES-0103,100,55
Douglas,1,PRES-0104,100,29
Douglas,1,PRES-0105,98,94
Douglas,1,PRES-0106,100,59
Douglas,1,PRES-0107,100,59
Douglas,1,PRES-0108,100,61
Douglas,1,PRES-0109,100,79
Douglas,1,PRES-0110,100,41
Douglas,1,PRES-0111,100,25
Douglas,1,PRES-0112,100,55
Douglas,1,PRES-0113,100,48
Douglas,1,PRES-0114,100,22
Douglas,1,PRES-0115,96,25
Douglas,1,PRES-0116,96,23
Douglas,1,PRES-0117,98,25
Douglas,1,PRES-0118,99,19
Douglas,1,PRES-0119,100,17
Douglas,1,PRES-0120,100,23
Douglas,1,PRES-0122,100,28
Douglas,1,PRES-0123,99,55
Douglas,1,PRES-0124,99,73
Douglas,1,PRES-0125,98,35
Douglas,1,PRES-0126,99,96
Douglas,1,PRES-0127,97,73
