contest_name,audit_reason,random_audit_status,winners_allowed,ballot_card_count,contest_ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,one_vote_under_count,two_vote_under_count,disagreement_count,other_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
Adams - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,89033,37762,"""Joseph R Biden Jr""",26099,0.03000000,26,0,0,0,0,0,0,1.03905000,0,25,25
Alamosa - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,3621,1336,"""Joseph R Biden Jr""",964,0.03000000,29,0,0,0,0,0,0,1.03905000,0,28,28
Arapahoe - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,139528,62209,"""Joseph R Biden Jr""",46047,0.03000000,24,0,0,0,0,0,0,1.03905000,0,23,23
Archuleta - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,5297,1473,"""Joseph R Biden Jr""",1178,0.03000000,34,0,0,0,0,0,0,1.03905000,0,33,33
Baca - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,1297,159,"""Joseph R Biden Jr""",72,0.03000000,133,0,0,0,0,0,0,1.03905000,0,132,132
Bent - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,1276,308,"""Joseph R Biden Jr""",182,0.03000000,53,0,0,0,0,0,0,1.03905000,0,52,52
Boulder - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,94038,58097,"""Joseph R Biden Jr""",43250,0.03000000,17,0,0,0,0,0,0,1.03905000,0,16,16
Broomfield - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,22146,10093,"""Joseph R Biden Jr""",7587,0.03000000,23,0,0,0,0,0,0,1.03905000,0,22,22
Chaffee - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,7926,3067,"""Joseph R Biden Jr""",2268,0.03000000,27,0,0,0,0,0,0,1.03905000,0,26,26
Cheyenne - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,686,61,"""Joseph R Biden Jr""",21,0.03000000,240,0,0,0,0,0,0,1.03905000,0,239,239
Clear Creek - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,2942,1277,"""Joseph R Biden Jr""",940,0.03000000,24,0,0,0,0,0,0,1.03905000,0,23,23
Conejos - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,2255,945,"""Joseph R Biden Jr""",689,0.03000000,25,0,0,0,0,0,0,1.03905000,0,24,24
Costilla - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,1047,630,"""Joseph R Biden Jr""",421,0.03000000,20,0,0,0,0,0,0,1.03905000,0,19,19
Crowley - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,1082,205,"""Joseph R Biden Jr""",149,0.03000000,54,0,0,0,0,0,0,1.03905000,0,53,53
Custer - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,2490,481,"""Joseph R Biden Jr""",413,0.03000000,45,0,0,0,0,0,0,1.03905000,0,44,44
Delta - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,11380,2451,"""Joseph R Biden Jr""",1793,0.03000000,48,0,0,0,0,0,0,1.03905000,0,47,47
Denver - President of the United States - DEM,county_wide_contest,risk_limit_achieved,1,138951,92579,"""Joseph R Biden Jr""",64321,0.03000000,17,0,0,0,0,0,0,1.03905000,0,16,16
