CountyName,ContestName,ContestChoices
Adams,Representative to the 119th United States Congress - District 4 - REP,"Lauren Boebert, Richard Holtorf, Mike Lynch, Deborah Flora, Jerry Sonnenberg, Peter Yu"
Adams,Representative to the 118th United States Congress - District 4,"Frank Atwood, Hannah Goodman, Greg Lopez, Trisha Eloise Calvarese"
Adams,Representative to the 119th United States Congress - District 4 - DEM,"Trisha Calvarese, John Padora Jr., Ike McCorkle"
Adams,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Adams,Adams County Commissioner - District 1 - DEM,"Julie Duran Mullica, Valerie Vigil"
Adams,State Board of Education Member - Congressional District 4 - REP,"Kristi ""KBB"" Burton Brown, Saundra Larsen"
Adams,State Senator - District 28 - DEM,"Mike Weissman, Idris Keith"
Adams,State Representative - District 36 - DEM,"Bryan Lindstrom, Michael Carter"
Adams,State Senator - District 19 - DEM,"Obi Ezeadi, Lindsey Daugherty"
Adams,Adams - Representative to the 119th United States Congress - District 8 - REP,"Gabe Evans, Janak Joshi"
Adams,State Representative - District 31 - DEM,"Julia Marvin, Jacqueline ""Jacque"" Phillips"
Adams,State Board of Education Member - Congressional District 4 - DEM,Krista Holtzmann
Adams,State Senator - District 21 - DEM,Dafna Michaelson Jenet
Adams,State Representative - District 56 - DEM,Alessandra A. Navetta
Adams,District Attorney - 17th Judicial District - DEM,Brian Mason
Adams,Adams County Commissioner - District 2 - DEM,Kathy Henson
Adams,Adams County Commissioner - District 5 - DEM,Lynn Baca
Adams,Regent of the University of Colorado - At Large - REP,Eric Rinard
Adams,State Senator - District 21 - REP,Frederick Alfred Jr
Adams,State Representative - District 56 - REP,Chris Richardson
Adams,Adams County Commissioner - District 1 - REP,Shelly McClure
Adams,Adams County Commissioner - District 5 - REP,Jim Wood
Adams,State Senator - District 28 - REP,Pedro Espinoza
Adams,Representative to the 119th United States Congress - District 6 - DEM,Jason Crow
Adams,Representative to the 119th United States Congress - District 6 - REP,John E. Fabbricatore
Adams,Representative to the 119th United States Congress - District 7 - DEM,Brittany Pettersen
Adams,State Representative - District 24 - DEM,Lisa Feret
Adams,Representative to the 119th United States Congress - District 7 - REP,Sergei Matveyuk
Adams,State Senator - District 19 - REP,Sam Bandimere
Adams,State Representative - District 24 - REP,Gwen Henderson
Adams,Representative to the 119th United States Congress - District 8 - DEM,Yadira Caraveo
Adams,State Board of Education Member - Congressional District 8 - DEM,Rhonda Solis
Adams,State Senator - District 13 - DEM,Matt Johnston
Adams,State Board of Education Member - Congressional District 8 - REP,Yazmin Navarro
Adams,State Senator - District 13 - REP,Scott Bright
Adams,State Representative - District 48 - REP,Carlos Barron
Adams,State Representative - District 32 - DEM,Manny Rutinel
Adams,State Representative - District 35 - DEM,Lorena Garcia
Adams,State Representative - District 35 - REP,Lee J Knoll
Adams,State Representative - District 31 - REP,Heidi Pitchforth
Adams,State Representative - District 33 - DEM,William Lindstedt
Adams,State Representative - District 33 - REP,Michael Martinez
Adams,State Representative - District 34 - DEM,Jenny Willford
Adams,State Representative - District 34 - REP,Craig Sullivan
Adams,State Representative - District 29 - DEM,Shannon Bird
Adams,State Representative - District 29 - REP,Evan Shields Hunt
Alamosa,Alamosa - Representative to the 119th United States Congress - District 3 - REP,"Stephen A. Varela, Ron Hanks, Lew Webb, Russ Andrews, Curtis M. McCrackin, Jeff Hurd"
Alamosa,Regent of the University of Colorado - At Large - DEM,"Elliott Hood, Charles ""CJ"" Johnson"
Alamosa,Regent of the University of Colorado - Congressional District 3 - REP,"Kristine Sposato, Ray Scott"
Alamosa,Representative to the 119th United States Congress - District 3 - DEM,Adam Frisch
Alamosa,State Board of Education Member - Congressional District 3 - DEM,Ellen Angeles
Alamosa,Regent of the University of Colorado - Congressional District 3 - DEM,Robert B. Logan
Alamosa,State Senator - District 6 - DEM,Vivian Smotherman
Alamosa,State Representative - District 62 - DEM,Matthew Martinez
