County,Tabulator ID,Batch,# of Ballot Cards,Location
Bent,102,1,25,Box 1
Bent,102,2,25,Box 1
Bent,102,3,25,Box 1
Bent,102,4,25,Box 1
Bent,102,5,25,Box 1
Bent,102,6,25,Box 1
Bent,102,7,25,Box 1
Bent,102,8,25,Box 1
Bent,102,9,25,Box 1
Bent,102,10,25,Box 1
Bent,102,11,25,Box 1
Bent,102,12,25,Box 1
Bent,102,13,25,Box 1
Bent,102,14,25,Box 1
Bent,102,15,25,Box 1
Bent,102,16,25,Box 1
Bent,102,17,25,Box 2
Bent,102,18,25,Box 2
Bent,102,19,25,Box 2
Bent,102,20,25,Box 2
Bent,102,21,25,Box 2
Bent,102,22,25,Box 2
Bent,102,23,25,Box 2
Bent,102,24,25,Box 2
Bent,102,25,25,Box 2
Bent,102,26,25,Box 2
Bent,102,27,25,Box 2
Bent,102,28,25,Box 2
Bent,102,29,25,Box 2
Bent,102,30,25,Box 2
Bent,102,31,25,Box 2
Bent,102,32,25,Box 2
Bent,102,33,25,Box 3
Bent,102,34,25,Box 3
Bent,102,35,25,Box 3
Bent,102,36,25,Box 3
Bent,102,37,25,Box 3
Bent,102,38,25,Box 3
Bent,102,39,25,Box 3
Bent,102,40,25,Box 3
Bent,102,41,25,Box 3
Bent,102,42,25,Box 3
Bent,102,43,25,Box 3
Bent,102,44,25,Box 3
Bent,102,45,25,Box 3
Bent,102,46,12,Box 3
Bent,102,47,29,Box 4
