County,Tabulator ID,Batch,# of Ballot Cards,Location
Conejos ,102,1,50,Box 1
Conejos ,102,2,50,Box 1
Conejos ,102,3,50,Box 1
Conejos ,102,4,50,Box 1
Conejos ,102,5,50,Box 1
Conejos ,102,6,50,Box 1
Conejos ,102,7,50,Box 1
Conejos ,102,8,50,Box 1
Conejos ,102,9,50,Box 1
Conejos ,102,10,50,Box 1
Conejos ,102,11,50,Box 1
Conejos ,102,12,50,Box 1
Conejos ,102,13,50,Box 1
Conejos ,102,14,50,Box 1
Conejos ,102,15,50,Box 1
Conejos ,102,16,50,Box 1
Conejos ,102,17,50,Box 1
Conejos ,102,18,50,Box 1
Conejos ,102,19,50,Box 1
Conejos ,102,20,50,Box 1
Conejos ,102,21,50,Box 1
Conejos ,102,22,50,Box 1
Conejos ,102,23,50,Box 1
Conejos ,102,24,50,Box 1
Conejos ,102,25,50,Box 1
Conejos ,102,26,50,Box 1
Conejos ,102,27,50,Box 1
Conejos ,102,28,50,Box 1
Conejos ,102,29,50,Box 1
Conejos ,102,30,50,Box 1
Conejos ,102,31,50,Box 1
Conejos ,102,32,50,Box 1
Conejos ,102,33,50,Box 1
Conejos ,102,34,50,Box 1
Conejos ,102,35,50,Box 1
Conejos ,102,36,50,Box 1
Conejos ,102,37,55,Box 1
Conejos ,102,38,55,Box 1
Conejos ,102,39,27,Box 1
