County,Tabulator ID,Batch,# Number of Ballot Cards,Location
Huerfano,102,1,2,Box 1
Huerfano,102,2,7,Box 1
Huerfano,102,3,3,Box 1
Huerfano,102,4,2,Box 1
Huerfano,102,5,3,Box 1
Huerfano,102,6,15,Box 1
Huerfano,102,7,23,Box 1
Huerfano,102,8,1,Box 1
Huerfano,102,9,2,Box 1
Huerfano,102,10,32,Box 1
Huerfano,102,11,50,Box 1
Huerfano,102,12,22,Box 1
Huerfano,102,13,6,Box 1
Huerfano,102,14,7,Box 1
Huerfano,102,15,4,Box 1
Huerfano,102,16,3,Box 1
Huerfano,102,17,1,Box 1
Huerfano,102,18,17,Box 1
Huerfano,102,19,7,Box 1
Huerfano,102,20,50,Box 1
Huerfano,102,21,50,Box 1
Huerfano,102,22,1,Box 1
Huerfano,102,23,26,Box 1
Huerfano,102,24,11,Box 1
Huerfano,102,25,2,Box 1
Huerfano,102,26,5,Box 1
Huerfano,102,27,3,Box 1
Huerfano,102,28,13,Box 1
Huerfano,102,29,35,Box 1
Huerfano,102,30,5,Box 1
Huerfano,102,31,20,Box 1
Huerfano,102,32,13,Box 1
Huerfano,102,33,50,Box 1
Huerfano,102,34,20,Box 1
Huerfano,102,35,24,Box 2
Huerfano,102,36,8,Box 2
Huerfano,102,37,1,Box 2
Huerfano,102,38,3,Box 2
Huerfano,102,39,30,Box 2
Huerfano,102,40,50,Box 2
Huerfano,102,41,30,Box 2
Huerfano,102,42,10,Box 2
Huerfano,102,43,17,Box 2
Huerfano,102,44,5,Box 2
Huerfano,102,45,2,Box 2
Huerfano,102,46,18,Box 2
Huerfano,102,47,25,Box 2
Huerfano,102,48,14,Box 2
Huerfano,102,49,44,Box 2
Huerfano,102,50,13,Box 2
Huerfano,102,51,21,Box 2
Huerfano,102,52,22,Box 2
Huerfano,102,53,31,Box 2
Huerfano,102,54,1,Box 2
Huerfano,102,55,6,Box 2
Huerfano,102,56,8,Box 2
Huerfano,102,57,1,Box 3
Huerfano,102,58,4,Box 3
Huerfano,102,59,36,Box 3
Huerfano,102,60,37,Box 3
Huerfano,102,61,32,Box 3
Huerfano,102,62,24,Box 3
Huerfano,102,63,14,Box 3
Huerfano,102,64,21,Box 3
Huerfano,102,65,11,Box 3
Huerfano,102,66,22,Box 3
Huerfano,102,67,23,Box 3
Huerfano,102,68,7,Box 3
Huerfano,102,69,10,Box 3
Huerfano,102,70,1,Box 4
Huerfano,102,71,34,Box 4
Huerfano,102,72,15,Box 4
Huerfano,102,73,40,Box 4
Huerfano,102,74,50,Box 4
Huerfano,102,75,26,Box 4
Huerfano,102,76,50,Box 4
Huerfano,102,77,10,Box 4
Huerfano,102,78,1,Box 4
Huerfano,102,79,10,Box 4
Huerfano,102,80,10,Box 4
Huerfano,102,81,27,Box 4
Huerfano,102,82,29,Box 4
Huerfano,102,83,30,Box 5
Huerfano,102,84,39,Box 5
Huerfano,102,85,40,Box 5
Huerfano,102,86,17,Box 5
Huerfano,102,87,22,Box 5
Huerfano,102,88,26,Box 5
Huerfano,102,89,29,Box 5
Huerfano,102,90,15,Box 5
Huerfano,102,91,29,Box 5
Huerfano,102,92,6,Box 5
Huerfano,102,93,19,Box 5
Huerfano,102,94,7,Box 5
Huerfano,102,95,14,Box 5
Huerfano,102,96,36,Box 6
Huerfano,102,97,24,Box 6
Huerfano,102,98,14,Box 6
Huerfano,102,99,3,Box 6
Huerfano,102,100,3,Box 6
Huerfano,102,101,15,Box 6
Huerfano,102,102,4,Box 6
Huerfano,102,103,23,Box 7
Huerfano,102,104,2,Box 7
Huerfano,102,105,13,Box 7
Huerfano,102,106,24,Box 7
Huerfano,102,107,25,Box 7
Huerfano,102,108,24,Box 7
Huerfano,102,109,24,Box 7
Huerfano,102,110,25,Box 7
Huerfano,102,111,25,Box 7
Huerfano,102,112,25,Box 7
Huerfano,102,113,32,Box 7
Huerfano,102,114,19,Box 8
Huerfano,102,115,22,Box 8
Huerfano,102,116,21,Box 8
Huerfano,102,117,25,Box 8
Huerfano,102,118,8,Box 8
Huerfano,102,119,17,Box 8
Huerfano,102,120,2,Box 8
Huerfano,102,121,2,Box 8
