County,Tabulator ID,Batch,# of Ballot Cards,Location
Larimer,102,1,45,40001
Larimer,101,1,100,40001
Larimer,104,2,100,40000
Larimer,103,1,99,40000
Larimer,104,1,74,40000
Larimer,102,6,100,40001
Larimer,103,7,100,40002
Larimer,104,7,100,40002
Larimer,101,5,100,40001
Larimer,103,6,100,40002
Larimer,102,5,100,40001
Larimer,101,4,100,40001
Larimer,103,5,100,40000
Larimer,104,6,100,40000
Larimer,102,4,100,40001
Larimer,103,4,100,40000
Larimer,104,5,99,40000
Larimer,101,3,100,40001
Larimer,102,3,46,40001
Larimer,104,4,100,40000
Larimer,103,3,45,40000
Larimer,101,2,99,40001
Larimer,102,2,100,40001
Larimer,104,3,100,40000
Larimer,103,2,100,40000
Larimer,104,15,100,40004
Larimer,103,14,100,40004
Larimer,102,11,100,40005
Larimer,101,11,100,40003
Larimer,103,13,100,40004
Larimer,104,14,99,40004
Larimer,102,10,100,40003
Larimer,103,12,100,40004
Larimer,101,10,100,40003
Larimer,102,9,100,40003
Larimer,104,13,8,40004
Larimer,103,11,88,40002
Larimer,101,9,100,40003
Larimer,104,12,2,40002
Larimer,103,10,99,40002
Larimer,104,11,100,40002
Larimer,101,8,100,40003
Larimer,102,8,100,40003
Larimer,104,10,100,40002
Larimer,101,7,100,40003
Larimer,103,9,99,40002
Larimer,102,7,100,40003
Larimer,104,9,100,40002
Larimer,103,8,100,40002
Larimer,101,6,98,40003
Larimer,104,8,98,40002
Larimer,102,14,99,40005
Larimer,103,21,62,40006
Larimer,104,19,100,40006
Larimer,103,20,100,40006
Larimer,101,16,99,40005
Larimer,103,19,99,40006
Larimer,104,18,100,40006
Larimer,101,15,99,40005
Larimer,103,18,100,40004
Larimer,104,17,96,40004
Larimer,102,13,99,40005
Larimer,101,14,99,40005
Larimer,103,17,3,40004
Larimer,104,16,100,40004
Larimer,102,12,97,40005
Larimer,103,16,100,40004
Larimer,101,13,99,40005
Larimer,103,15,99,40004
Larimer,101,12,100,40005
Larimer,103,23,100,40006
Larimer,104,20,100,40006
Larimer,103,22,100,40006
Larimer,101,17,99,40005
Larimer,104,22,45,40006
Larimer,103,24,99,40006
Larimer,101,18,100,40007
Larimer,102,15,100,40007
Larimer,104,21,100,40006
Larimer,102,16,100,40007
Larimer,103,25,100,40007
Larimer,104,23,100,40007
Larimer,101,19,100,40007
Larimer,104,24,100,40007
Larimer,102,17,100,40007
Larimer,101,20,100,40007
Larimer,103,26,100,40007
Larimer,104,25,3,40008
Larimer,104,26,100,40008
Larimer,103,27,100,40008
Larimer,101,21,100,40009
Larimer,102,18,100,40009
Larimer,102,20,97,40009
Larimer,101,23,100,40009
Larimer,104,29,100,40008
Larimer,103,30,100,40008
Larimer,104,28,97,40008
Larimer,103,29,97,40008
Larimer,101,22,100,40009
Larimer,102,19,100,40009
Larimer,104,27,100,40008
Larimer,103,28,100,40008
Larimer,103,33,100,40010
Larimer,102,22,99,40009
Larimer,104,31,21,40010
Larimer,101,25,99,40009
Larimer,103,32,99,40008
Larimer,104,30,99,40008
Larimer,102,21,99,40009
Larimer,101,24,99,40009
Larimer,103,31,100,40008
Larimer,103,36,100,40010
Larimer,104,34,100,40010
Larimer,101,27,100,40011
Larimer,103,35,100,40010
Larimer,104,33,99,40010
Larimer,103,34,100,40010
Larimer,101,26,97,40011
Larimer,102,23,95,40011
Larimer,104,32,100,40010
Larimer,103,39,100,40012
Larimer,102,25,100,40011
Larimer,103,38,98,40012
Larimer,104,36,100,40010
Larimer,103,37,100,40010
Larimer,102,24,98,40011
Larimer,104,35,100,40010
Larimer,101,28,100,40011
Larimer,103,41,100,40012
Larimer,102,27,98,40011
Larimer,101,30,98,40011
Larimer,104,38,99,40012
Larimer,103,40,100,40012
Larimer,102,26,99,40011
Larimer,104,37,99,40012
Larimer,101,29,100,40011
Larimer,104,41,100,40014
Larimer,103,43,100,40012
Larimer,102,28,100,40013
Larimer,104,40,100,40012
Larimer,101,31,99,40013
Larimer,103,42,57,40012
Larimer,104,39,100,40012
Larimer,104,43,100,40014
Larimer,103,45,100,40014
Larimer,102,30,100,40013
Larimer,104,42,100,40014
Larimer,103,44,100,40014
Larimer,101,32,100,40013
Larimer,102,29,100,40013
Larimer,101,33,99,40013
Larimer,102,31,4,40013
Larimer,105,1,99,40014
Larimer,106,2,99,40014
Larimer,107,2,100,40013
Larimer,106,1,100,40014
Larimer,108,2,100,40013
Larimer,107,1,100,40013
Larimer,108,1,99,40013
Larimer,107,3,100,40014
Larimer,105,2,98,40015
Larimer,107,4,100,40014
Larimer,105,3,99,40015
Larimer,106,3,100,40015
Larimer,108,4,100,40016
Larimer,107,6,1,40016
Larimer,105,4,100,40015
Larimer,107,5,100,40016
Larimer,106,4,100,40015
Larimer,108,3,100,40016
Larimer,106,8,100,40017
Larimer,108,7,34,40016
Larimer,105,9,100,40017
Larimer,105,8,100,40015
Larimer,107,10,100,40016
Larimer,105,13,97,40017
Larimer,107,13,57,40018
Larimer,106,11,100,40017
Larimer,108,10,100,40018
Larimer,105,12,100,40017
Larimer,107,12,100,40018
Larimer,106,10,100,40017
Larimer,108,9,100,40018
Larimer,107,11,99,40018
Larimer,105,11,100,40017
Larimer,106,9,100,40017
Larimer,108,8,100,40018
Larimer,105,10,99,40017
