County,Tabulator ID,Batch,# of Ballot Cards,Location
Montrose,201,1,50,Bin 1
Montrose,201,2,50,Bin 1
Montrose,201,3,50,Bin 1
Montrose,201,4,50,Bin 1
Montrose,201,5,50,Bin 1
Montrose,201,6,50,Bin 1
Montrose,201,7,50,Bin 1
Montrose,201,8,50,Bin 1
Montrose,201,9,50,Bin 1
Montrose,201,10,50,Bin 1
Montrose,201,11,50,Bin 1
Montrose,201,12,50,Bin 1
Montrose,201,13,50,Bin 1
Montrose,201,14,50,Bin 1
Montrose,201,15,50,Bin 1
Montrose,201,16,50,Bin 1
Montrose,201,17,50,Bin 1
Montrose,201,18,50,Bin 1
Montrose,201,19,50,Bin 1
Montrose,201,20,50,Bin 1
Montrose,201,21,50,Bin 1
Montrose,201,22,50,Bin 1
Montrose,201,23,50,Bin 1
Montrose,201,24,50,Bin 1
Montrose,201,25,50,Bin 1
Montrose,201,26,50,Bin 2
Montrose,201,27,50,Bin 2
Montrose,201,28,50,Bin 2
Montrose,201,29,50,Bin 2
Montrose,201,30,50,Bin 2
Montrose,201,31,50,Bin 2
Montrose,201,32,50,Bin 2
Montrose,201,33,50,Bin 2
Montrose,201,34,50,Bin 2
Montrose,201,35,50,Bin 2
Montrose,201,36,50,Bin 2
Montrose,201,37,50,Bin 2
Montrose,201,38,50,Bin 2
Montrose,201,39,50,Bin 2
Montrose,201,40,50,Bin 2
Montrose,201,41,50,Bin 2
Montrose,201,42,50,Bin 2
Montrose,201,43,50,Bin 2
Montrose,201,44,50,Bin 2
Montrose,201,45,50,Bin 2
Montrose,201,46,50,Bin 2
Montrose,201,47,50,Bin 2
Montrose,201,48,50,Bin 2
Montrose,201,49,50,Bin 2
Montrose,201,50,50,Bin 2
Montrose,201,51,50,Bin 3
Montrose,201,52,50,Bin 3
Montrose,201,53,50,Bin 3
Montrose,201,54,50,Bin 3
Montrose,201,55,50,Bin 3
Montrose,201,56,50,Bin 3
Montrose,201,57,50,Bin 3
Montrose,201,58,50,Bin 3
Montrose,201,59,50,Bin 3
Montrose,201,60,50,Bin 3
Montrose,201,61,50,Bin 3
Montrose,201,62,50,Bin 3
Montrose,201,63,50,Bin 3
Montrose,201,64,50,Bin 3
Montrose,201,65,50,Bin 3
Montrose,201,66,50,Bin 3
Montrose,201,67,50,Bin 3
Montrose,201,68,50,Bin 3
Montrose,201,69,50,Bin 3
Montrose,201,70,50,Bin 3
Montrose,201,71,50,Bin 3
Montrose,201,72,50,Bin 3
Montrose,201,73,50,Bin 3
Montrose,201,74,50,Bin 3
Montrose,201,75,50,Bin 3
Montrose,201,76,50,Bin 4
Montrose,201,77,50,Bin 4
Montrose,201,78,50,Bin 4
Montrose,201,79,50,Bin 4
Montrose,201,80,50,Bin 4
Montrose,201,81,50,Bin 4
Montrose,201,82,50,Bin 4
Montrose,201,83,50,Bin 4
Montrose,201,84,50,Bin 4
Montrose,201,85,50,Bin 4
Montrose,201,86,50,Bin 4
Montrose,201,87,50,Bin 4
Montrose,201,88,50,Bin 4
Montrose,201,89,50,Bin 4
Montrose,201,90,50,Bin 4
Montrose,201,91,50,Bin 4
Montrose,201,92,50,Bin 4
Montrose,201,93,50,Bin 4
Montrose,201,94,50,Bin 4
Montrose,201,95,50,Bin 4
Montrose,201,96,50,Bin 4
Montrose,201,97,50,Bin 4
Montrose,201,98,50,Bin 4
Montrose,201,99,50,Bin 4
Montrose,201,100,50,Bin 4
Montrose,201,101,50,Bin 5
Montrose,201,102,50,Bin 5
Montrose,201,103,50,Bin 5
Montrose,201,104,50,Bin 5
Montrose,201,105,50,Bin 5
Montrose,201,106,50,Bin 5
Montrose,201,107,50,Bin 5
Montrose,201,108,50,Bin 5
Montrose,201,109,50,Bin 5
Montrose,201,110,50,Bin 5
Montrose,201,111,50,Bin 5
Montrose,201,112,50,Bin 5
Montrose,201,113,50,Bin 5
Montrose,201,114,50,Bin 5
Montrose,201,115,50,Bin 5
Montrose,201,116,50,Bin 5
Montrose,201,117,50,Bin 5
Montrose,201,118,50,Bin 5
Montrose,201,119,50,Bin 5
Montrose,201,120,50,Bin 5
Montrose,201,121,50,Bin 5
Montrose,201,122,50,Bin 5
Montrose,201,123,50,Bin 5
Montrose,201,124,50,Bin 5
Montrose,201,125,50,Bin 5
Montrose,201,126,50,Bin 6
