County,Tabulator ID,Batch #,# of Ballots Cards,Location
Morgan,201,1,50,Box 1
Morgan,201,2,50,Box 1
Morgan,201,3,50,Box 1
Morgan,201,4,43,Box 1
Morgan,201,5,50,Box 1
Morgan,201,6,50,Box 1
Morgan,201,7,50,Box 1
Morgan,201,8,34,Box 1
Morgan,201,9,50,Box 1
Morgan,201,10,50,Box 1
Morgan,201,11,50,Box 1
Morgan,201,12,50,Box 1
Morgan,201,13,43,Box 1
Morgan,201,14,50,Box 1
Morgan,201,15,50,Box 1
Morgan,201,16,50,Box 1
Morgan,201,17,50,Box 1
Morgan,201,18,15,Box 1
Morgan,201,19,50,Box 1
Morgan,201,20,50,Box 1
Morgan,201,21,50,Box 1
Morgan,201,22,50,Box 1
Morgan,201,23,50,Box 1
Morgan,201,24,14,Box 1
Morgan,201,25,50,Box 2
Morgan,201,26,50,Box 2
Morgan,201,27,50,Box 2
Morgan,201,28,50,Box 2
Morgan,201,29,51,Box 2
Morgan,201,30,50,Box 2
Morgan,201,31,50,Box 2
Morgan,201,32,50,Box 2
Morgan,201,33,50,Box 2
Morgan,201,34,50,Box 2
Morgan,201,35,45,Box 2
Morgan,201,36,50,Box 2
Morgan,201,37,50,Box 2
Morgan,201,38,50,Box 2
Morgan,201,39,50,Box 2
Morgan,201,40,37,Box 2
Morgan,201,41,50,Box 2
Morgan,201,42,50,Box 2
Morgan,201,43,50,Box 2
Morgan,201,44,30,Box 2
Morgan,201,45,50,Box 2
Morgan,201,46,45,Box 2
Morgan,201,47,50,Box 2
Morgan,201,48,50,Box 2
Morgan,201,49,30,Box 2
Morgan,201,50,50,Box 3
Morgan,201,51,50,Box 3
Morgan,201,52,50,Box 3
Morgan,201,53,50,Box 3
Morgan,201,54,50,Box 3
Morgan,201,55,20,Box 3
Morgan,201,56,50,Box 3
Morgan,201,57,33,Box 3
Morgan,201,58,50,Box 3
Morgan,201,59,25,Box 3
Morgan,201,60,24,Box 3
Morgan,201,61,50,Box 3
Morgan,201,62,50,Box 3
Morgan,201,63,50,Box 3
Morgan,201,64,65,Box 3
Morgan,201,65,50,Box 3
Morgan,201,66,50,Box 3
Morgan,201,67,47,Box 3
Morgan,201,68,50,Box 3
Morgan,201,69,50,Box 3
Morgan,201,70,24,Box 3
Morgan,201,71,50,Box 3
Morgan,201,72,50,Box 3
Morgan,201,73,50,Box 3
Morgan,201,74,21,Box 3
Morgan,201,75,50,Box 3
Morgan,201,76,24,Box 3
Morgan,201,77,3,Box 3
Morgan,201,78,50,Box 4
Morgan,201,79,50,Box 4
Morgan,201,80,50,Box 4
Morgan,201,81,50,Box 4
Morgan,201,82,38,Box 4
Morgan,201,83,50,Box 4
Morgan,201,84,50,Box 4
Morgan,201,85,56,Box 4
Morgan,201,86,50,Box 4
Morgan,201,87,50,Box 4
Morgan,201,88,50,Box 4
Morgan,201,89,50,Box 4
Morgan,201,90,50,Box 4
Morgan,201,91,67,Box 4
Morgan,201,92,50,Box 4
Morgan,201,93,50,Box 4
Morgan,201,94,50,Box 4
Morgan,201,95,50,Box 4
Morgan,201,96,26,Box 4
Morgan,201,97,50,Box 4
Morgan,201,98,53,Box 4
Morgan,201,99,50,Box 4
Morgan,201,100,50,Box 4
Morgan,201,101,51,Box 4
Morgan,201,102,50,Box 5
Morgan,201,103,50,Box 5
Morgan,201,104,50,Box 5
Morgan,201,105,50,Box 5
Morgan,201,106,60,Box 5
Morgan,201,107,50,Box 5
Morgan,201,108,50,Box 5
Morgan,201,109,50,Box 5
Morgan,201,110,30,Box 5
Morgan,201,111,50,Box 5
Morgan,201,112,54,Box 5
Morgan,201,113,50,Box 5
Morgan,201,114,50,Box 5
Morgan,201,115,50,Box 5
Morgan,201,116,50,Box 5
Morgan,201,117,58,Box 5
Morgan,201,118,50,Box 5
Morgan,201,119,34,Box 5
Morgan,201,120,61,Box 5
Morgan,201,121,8,Box 5
Morgan,201,122,40,Box 5
Morgan,201,123,6,Box 5
