County,Tabulator ID,Batch,# of Ballot Cards,Location
Pitkin,102,1,25,Box 1
Pitkin,102,2,25,Box 1
Pitkin,102,3,25,Box 1
Pitkin,102,4,25,Box 1
Pitkin,102,5,25,Box 1
Pitkin,102,6,25,Box 1
Pitkin,102,7,25,Box 1
Pitkin,102,8,25,Box 1
Pitkin,102,9,25,Box 1
Pitkin,102,10,25,Box 1
Pitkin,102,11,25,Box 1
Pitkin,102,12,25,Box 1
Pitkin,102,13,7,Box 1
Pitkin,102,14,25,Box 1
Pitkin,102,15,25,Box 1
Pitkin,102,16,25,Box 1
Pitkin,102,17,25,Box 1
Pitkin,102,18,25,Box 1
Pitkin,102,19,25,Box 1
Pitkin,102,20,25,Box 1
Pitkin,102,21,25,Box 1
Pitkin,102,22,25,Box 1
Pitkin,102,23,25,Box 1
Pitkin,102,24,6,Box 1
Pitkin,102,25,25,Box 1
Pitkin,102,26,25,Box 1
Pitkin,102,27,25,Box 1
Pitkin,102,28,25,Box 1
Pitkin,102,29,9,Box 2
Pitkin,102,30,25,Box 2
Pitkin,102,31,25,Box 2
Pitkin,102,32,25,Box 2
Pitkin,102,33,25,Box 2
Pitkin,102,34,25,Box 2
Pitkin,102,35,25,Box 2
Pitkin,102,36,17,Box 2
Pitkin,102,37,25,Box 2
Pitkin,102,38,25,Box 2
Pitkin,102,39,25,Box 2
Pitkin,102,40,25,Box 2
Pitkin,102,41,25,Box 2
Pitkin,102,42,25,Box 2
Pitkin,102,43,24,Box 2
Pitkin,102,44,5,Box 2
Pitkin,102,45,25,Box 2
Pitkin,102,46,25,Box 2
Pitkin,102,47,25,Box 2
Pitkin,102,48,25,Box 2
Pitkin,102,49,25,Box 2
Pitkin,102,50,25,Box 2
Pitkin,102,51,25,Box 2
Pitkin,102,52,25,Box 2
Pitkin,102,53,25,Box 2
Pitkin,102,54,11,Box 2
Pitkin,102,55,18,Box 2
Pitkin,102,56,25,Box 2
Pitkin,102,57,22,Box 3
Pitkin,102,58,25,Box 3
Pitkin,102,59,25,Box 3
Pitkin,102,60,25,Box 3
Pitkin,102,61,25,Box 3
Pitkin,102,62,25,Box 3
Pitkin,102,63,25,Box 3
Pitkin,102,64,25,Box 3
Pitkin,102,65,18,Box 3
Pitkin,102,66,5,Box 3
Pitkin,102,67,25,Box 3
Pitkin,102,68,25,Box 3
Pitkin,102,69,25,Box 3
Pitkin,102,70,3,Box 3
Pitkin,102,71,25,Box 3
Pitkin,102,72,25,Box 3
Pitkin,102,73,25,Box 3
Pitkin,102,74,17,Box 3
Pitkin,102,75,25,Box 3
Pitkin,102,76,25,Box 3
Pitkin,102,77,16,Box 3
Pitkin,102,78,25,Box 3
Pitkin,102,79,25,Box 3
Pitkin,102,80,9,Box 3
Pitkin,102,81,20,Box 4
Pitkin,102,82,25,Box 4
Pitkin,102,83,25,Box 4
Pitkin,102,84,25,Box 4
Pitkin,102,85,25,Box 4
Pitkin,102,86,25,Box 4
Pitkin,102,87,12,Box 4
Pitkin,102,88,25,Box 4
Pitkin,102,89,25,Box 4
Pitkin,102,90,25,Box 4
Pitkin,102,91,25,Box 4
Pitkin,102,92,25,Box 4
Pitkin,102,93,10,Box 4
Pitkin,102,94,20,Box 4
Pitkin,102,95,25,Box 4
Pitkin,102,96,21,Box 4
Pitkin,102,97,25,Box 4
Pitkin,102,98,25,Box 4
Pitkin,102,99,25,Box 4
Pitkin,102,100,25,Box 4
Pitkin,102,101,25,Box 4
Pitkin,102,102,2,Box 4
Pitkin,102,103,11,Box 4
Pitkin,102,104,25,Box 4
Pitkin,102,105,25,Box 4
Pitkin,102,106,25,Box 4
Pitkin,102,107,25,Box 4
Pitkin,102,108,25,Box 4
Pitkin,102,109,25,Box 5
Pitkin,102,110,20,Box 5
Pitkin,102,111,13,Box 5
Pitkin,102,112,25,Box 5
Pitkin,102,113,25,Box 5
Pitkin,102,114,22,Box 5
Pitkin,102,115,25,Box 5
Pitkin,102,116,25,Box 5
Pitkin,102,117,25,Box 5
Pitkin,102,118,25,Box 5
Pitkin,102,119,25,Box 5
Pitkin,102,120,25,Box 5
Pitkin,102,121,25,Box 5
Pitkin,102,122,13,Box 5
Pitkin,102,123,25,Box 5
Pitkin,102,124,25,Box 5
Pitkin,102,125,25,Box 5
Pitkin,102,126,25,Box 5
Pitkin,102,127,14,Box 5
Pitkin,102,128,25,Box 5
Pitkin,102,129,19,Box 5
Pitkin,102,130,6,Box 5
Pitkin,102,131,20,Box 5
Pitkin,102,132,25,Box 5
Pitkin,102,133,25,Box 5
Pitkin,102,134,24,Box 6
Pitkin,102,135,25,Box 6
Pitkin,102,136,10,Box 6
Pitkin,102,137,25,Box 6
Pitkin,102,138,8,Box 6
Pitkin,102,139,25,Box 6
Pitkin,102,140,25,Box 6
Pitkin,102,141,25,Box 6
Pitkin,102,142,20,Box 6
Pitkin,102,143,24,Box 6
Pitkin,107,1,27,Box 10
Pitkin,107,2,42,Box 10
