County,Tabulator ID,Batch,# of Ballot Cards,Location
Pueblo,102,1,45,1
Pueblo,102,2,45,1
Pueblo,102,3,47,1
Pueblo,102,4,45,1
Pueblo,102,5,45,1
Pueblo,102,6,39,1
Pueblo,102,7,39,1
Pueblo,102,8,41,1
Pueblo,102,9,39,1
Pueblo,102,10,40,1
Pueblo,102,11,47,1
Pueblo,102,12,46,1
Pueblo,102,13,47,1
Pueblo,102,14,48,1
Pueblo,102,15,43,1
Pueblo,102,16,47,1
Pueblo,102,17,49,1
Pueblo,102,18,45,1
Pueblo,102,19,49,1
Pueblo,102,20,49,1
Pueblo,102,21,47,1
Pueblo,102,22,42,1
Pueblo,102,23,49,1
Pueblo,102,24,47,1
Pueblo,102,25,48,1
Pueblo,102,26,47,1
Pueblo,102,27,28,1
Pueblo,102,28,45,1
Pueblo,102,29,11,1
Pueblo,102,30,42,1
Pueblo,102,31,50,1
Pueblo,102,32,4,1
Pueblo,102,33,50,1
Pueblo,102,34,50,1
Pueblo,102,35,50,1
Pueblo,102,36,50,1
Pueblo,102,37,50,1
Pueblo,102,38,50,1
Pueblo,102,39,50,1
Pueblo,102,40,50,1
Pueblo,102,41,50,1
Pueblo,102,42,50,1
Pueblo,102,43,50,1
Pueblo,102,44,50,1
Pueblo,102,45,50,1
Pueblo,102,46,50,1
Pueblo,102,47,50,1
Pueblo,102,48,50,1
Pueblo,102,49,50,1
Pueblo,102,50,50,1
Pueblo,102,51,50,3
Pueblo,102,52,50,3
Pueblo,102,53,50,3
Pueblo,102,54,50,3
Pueblo,102,55,50,3
Pueblo,102,56,50,3
Pueblo,102,57,50,3
Pueblo,102,58,50,3
Pueblo,102,59,50,3
Pueblo,102,60,50,3
Pueblo,102,61,50,3
Pueblo,102,62,50,3
Pueblo,102,63,50,3
Pueblo,102,64,50,3
Pueblo,102,65,50,3
Pueblo,102,66,50,3
Pueblo,102,67,50,3
Pueblo,102,68,50,3
Pueblo,102,69,50,3
Pueblo,102,70,50,3
Pueblo,102,71,50,3
Pueblo,102,72,50,3
Pueblo,102,73,50,3
Pueblo,102,74,50,3
Pueblo,102,75,50,3
Pueblo,102,76,50,3
Pueblo,102,77,50,3
Pueblo,102,78,50,3
Pueblo,102,79,50,3
Pueblo,102,80,49,3
Pueblo,102,81,50,3
Pueblo,102,82,50,3
Pueblo,102,83,49,3
Pueblo,102,84,42,3
Pueblo,102,85,50,3
Pueblo,102,86,50,3
Pueblo,102,87,50,3
Pueblo,102,88,49,3
Pueblo,102,89,50,3
Pueblo,102,90,50,3
Pueblo,102,91,47,3
Pueblo,102,92,44,3
Pueblo,102,93,47,3
Pueblo,102,94,3,3
Pueblo,102,95,50,3
Pueblo,102,96,50,3
Pueblo,102,97,50,3
Pueblo,102,98,49,3
Pueblo,102,99,50,3
Pueblo,102,100,50,3
Pueblo,102,101,16,5
Pueblo,102,102,50,5
Pueblo,102,103,50,5
Pueblo,102,104,50,5
Pueblo,102,105,50,5
Pueblo,102,106,50,5
Pueblo,102,107,49,5
Pueblo,102,108,50,5
Pueblo,102,109,50,5
Pueblo,102,110,50,5
Pueblo,102,111,50,5
Pueblo,102,112,50,5
Pueblo,102,113,50,5
Pueblo,102,114,3,5
Pueblo,102,115,47,5
Pueblo,102,116,48,5
Pueblo,102,117,42,5
Pueblo,102,118,45,5
Pueblo,102,119,48,5
Pueblo,102,120,45,5
Pueblo,102,121,45,5
Pueblo,102,122,44,5
Pueblo,102,123,39,5
Pueblo,102,124,45,5
Pueblo,102,125,43,5
Pueblo,102,126,48,5
Pueblo,102,127,42,5
Pueblo,102,128,50,5
Pueblo,102,129,50,5
Pueblo,102,130,50,5
Pueblo,102,131,50,5
Pueblo,102,132,50,5
Pueblo,102,133,45,5
Pueblo,102,134,48,5
Pueblo,102,135,47,5
Pueblo,102,136,44,5
Pueblo,102,137,50,5
Pueblo,102,138,50,5
Pueblo,102,139,50,5
Pueblo,102,140,50,5
Pueblo,102,141,50,5
Pueblo,102,142,6,5
Pueblo,102,143,1,5
Pueblo,102,144,50,5
Pueblo,102,145,50,5
Pueblo,102,146,50,5
Pueblo,102,147,50,5
Pueblo,102,148,50,5
Pueblo,102,149,50,5
Pueblo,102,150,50,5
Pueblo,102,151,50,5
Pueblo,102,152,50,7
Pueblo,102,153,18,7
Pueblo,102,154,50,7
Pueblo,102,155,50,7
Pueblo,102,156,50,7
Pueblo,102,157,50,7
Pueblo,102,158,50,7
Pueblo,102,159,50,7
Pueblo,102,160,50,7
Pueblo,102,161,50,7
Pueblo,102,162,50,7
Pueblo,102,163,47,7
Pueblo,102,164,45,7
Pueblo,102,165,48,7
Pueblo,102,166,50,7
Pueblo,102,167,46,7
Pueblo,102,168,49,7
Pueblo,102,169,35,7
Pueblo,102,170,48,7
Pueblo,102,171,44,7
Pueblo,102,172,42,7
Pueblo,102,173,28,7
Pueblo,102,174,50,7
Pueblo,102,175,50,7
Pueblo,102,176,50,7
Pueblo,102,177,50,7
Pueblo,102,178,50,7
Pueblo,102,179,50,7
Pueblo,102,180,50,7
Pueblo,102,181,50,7
Pueblo,102,182,50,7
Pueblo,102,183,50,7
Pueblo,102,184,50,7
Pueblo,102,185,50,7
Pueblo,102,186,50,7
Pueblo,102,187,50,7
Pueblo,102,188,50,7
Pueblo,102,189,50,7
Pueblo,102,190,50,7
Pueblo,102,191,50,7
Pueblo,102,192,50,7
Pueblo,102,193,25,7
Pueblo,102,194,47,7
Pueblo,102,195,50,7
Pueblo,102,196,41,7
Pueblo,102,197,49,7
Pueblo,102,198,47,7
Pueblo,102,199,44,7
Pueblo,102,200,47,7
Pueblo,102,201,30,7
Pueblo,102,202,50,7
Pueblo,102,256,50,9
Pueblo,102,257,50,9
Pueblo,102,258,50,9
Pueblo,102,259,50,9
Pueblo,102,260,50,9
Pueblo,102,261,50,9
Pueblo,102,262,50,9
Pueblo,102,263,50,9
Pueblo,102,264,50,9
Pueblo,102,265,50,9
Pueblo,102,266,50,9
Pueblo,102,267,50,9
Pueblo,102,268,50,9
Pueblo,102,269,50,9
Pueblo,102,270,50,9
Pueblo,102,271,50,9
Pueblo,102,272,50,9
Pueblo,102,273,50,9
Pueblo,102,274,50,9
Pueblo,102,275,50,9
Pueblo,102,276,50,9
Pueblo,102,277,50,9
Pueblo,102,278,50,9
Pueblo,102,279,50,9
Pueblo,102,280,50,9
Pueblo,102,281,50,9
Pueblo,102,282,50,9
Pueblo,102,283,50,9
Pueblo,102,284,34,9
Pueblo,102,285,46,9
Pueblo,102,286,46,9
Pueblo,102,287,44,9
Pueblo,102,288,45,9
Pueblo,102,289,49,9
Pueblo,102,290,48,9
Pueblo,102,291,50,9
Pueblo,102,292,42,9
Pueblo,102,293,47,9
Pueblo,102,294,49,9
Pueblo,102,295,48,9
Pueblo,102,296,50,9
Pueblo,102,297,50,9
Pueblo,102,298,48,9
Pueblo,102,299,49,9
Pueblo,102,300,50,9
Pueblo,102,301,25,9
Pueblo,102,302,49,9
Pueblo,102,303,50,9
Pueblo,102,304,50,9
Pueblo,102,305,20,9
Pueblo,102,306,50,11
Pueblo,102,307,50,11
Pueblo,102,308,50,11
Pueblo,102,309,50,11
Pueblo,102,310,44,11
Pueblo,102,311,49,11
Pueblo,102,312,47,11
Pueblo,102,313,48,11
Pueblo,102,314,50,11
Pueblo,102,315,46,11
Pueblo,102,316,29,11
Pueblo,102,317,50,11
Pueblo,102,318,50,11
Pueblo,102,319,50,11
Pueblo,102,320,50,11
Pueblo,102,321,50,11
Pueblo,102,322,50,11
Pueblo,102,323,50,11
Pueblo,102,324,50,11
Pueblo,102,325,50,11
Pueblo,102,326,50,11
Pueblo,102,327,50,11
Pueblo,102,328,39,11
Pueblo,102,329,47,11
Pueblo,102,330,47,11
Pueblo,102,331,47,11
Pueblo,102,332,47,11
Pueblo,102,333,43,11
Pueblo,102,334,50,11
Pueblo,102,335,50,11
Pueblo,102,336,50,11
Pueblo,102,337,50,11
Pueblo,102,338,50,11
Pueblo,102,339,50,11
Pueblo,102,340,50,11
Pueblo,102,341,50,11
Pueblo,102,342,48,11
Pueblo,102,343,5,11
Pueblo,102,344,1,11
Pueblo,102,345,13,11
Pueblo,102,346,50,11
Pueblo,102,347,46,11
Pueblo,102,348,45,11
Pueblo,102,349,49,11
Pueblo,102,350,48,11
Pueblo,102,351,15,11
Pueblo,102,352,50,11
Pueblo,102,353,50,11
Pueblo,102,354,50,11
Pueblo,102,355,50,11
Pueblo,102,356,50,11
Pueblo,102,357,50,11
Pueblo,102,358,50,11
Pueblo,102,359,50,11
Pueblo,102,360,17,11
Pueblo,102,361,5,11
Pueblo,102,362,11,11
Pueblo,102,363,8,11
Pueblo,102,364,17,11
Pueblo,102,365,1,11
Pueblo,105,1,50,2
Pueblo,105,2,50,2
Pueblo,105,3,50,2
Pueblo,105,4,50,2
Pueblo,105,5,50,2
Pueblo,105,6,50,2
Pueblo,105,7,50,2
Pueblo,105,8,50,2
Pueblo,105,9,50,2
Pueblo,105,10,50,2
Pueblo,105,11,50,2
Pueblo,105,12,50,2
Pueblo,105,13,50,2
Pueblo,105,14,50,2
Pueblo,105,15,50,2
Pueblo,105,16,50,2
Pueblo,105,17,50,2
Pueblo,105,18,50,2
Pueblo,105,19,50,2
Pueblo,105,20,50,2
Pueblo,105,21,50,2
Pueblo,105,22,49,2
Pueblo,105,23,47,2
Pueblo,105,24,50,2
Pueblo,105,25,50,2
Pueblo,105,26,50,2
Pueblo,105,27,50,2
Pueblo,105,28,50,2
Pueblo,105,29,50,2
Pueblo,105,30,50,2
Pueblo,105,31,50,2
