County,Tabulator ID,Batch,# of Ballot Cards,Location
Routt,102,1,25,1
Routt,102,2,25,1
Routt,102,3,25,1
Routt,102,4,25,1
Routt,102,5,25,1
Routt,102,6,25,1
Routt,102,7,25,1
Routt,102,8,25,1
Routt,102,9,25,1
Routt,102,10,25,1
Routt,102,11,25,1
Routt,102,12,25,1
Routt,102,13,25,1
Routt,102,14,25,1
Routt,102,15,25,1
Routt,102,16,25,1
Routt,102,17,25,1
Routt,102,18,25,1
Routt,102,19,24,1
Routt,102,20,24,1
Routt,102,21,24,1
Routt,102,22,24,1
Routt,102,23,24,1
Routt,102,24,24,1
Routt,102,25,24,1
Routt,102,26,24,1
Routt,102,27,24,1
Routt,102,28,24,1
Routt,102,29,23,1
Routt,102,30,23,1
Routt,102,31,23,1
Routt,102,32,22,1
Routt,102,33,22,1
Routt,102,34,22,1
Routt,102,35,21,1
Routt,102,36,36,1
Routt,102,37,14,1
Routt,102,38,26,1
Routt,102,39,20,1
Routt,102,40,20,1
Routt,102,41,18,1
Routt,102,42,18,1
Routt,102,43,17,1
Routt,102,44,15,1
Routt,102,45,4,1
Routt,102,46,4,1
Routt,102,47,14,1
Routt,102,48,25,1
Routt,102,49,25,1
Routt,102,50,25,1
Routt,102,51,25,1
Routt,102,52,25,1
Routt,102,53,25,1
Routt,102,54,25,1
Routt,102,55,25,1
Routt,102,56,25,1
Routt,102,57,25,1
Routt,102,58,24,1
Routt,102,59,24,1
Routt,102,60,24,1
Routt,102,61,24,1
Routt,102,62,24,1
Routt,102,63,24,1
Routt,102,64,24,1
Routt,102,65,24,1
Routt,102,66,24,1
Routt,102,67,20,1
Routt,102,68,23,1
Routt,102,69,23,1
Routt,102,70,23,1
Routt,102,71,22,1
Routt,102,72,21,1
Routt,102,73,21,1
Routt,102,74,21,1
Routt,102,75,20,1
Routt,102,76,20,1
Routt,102,77,19,1
Routt,102,78,17,1
Routt,102,79,26,1
Routt,102,80,27,1
Routt,102,81,7,1
Routt,102,82,7,1
Routt,102,83,7,1
Routt,102,84,6,1
Routt,102,85,10,1
Routt,102,86,25,2
Routt,102,87,24,2
Routt,102,88,25,2
Routt,102,89,25,2
Routt,102,90,25,2
Routt,102,91,25,2
Routt,102,92,25,2
Routt,102,93,25,2
Routt,102,94,25,2
Routt,102,95,25,2
Routt,102,96,25,2
Routt,102,97,25,2
Routt,102,98,25,2
Routt,102,99,25,2
Routt,102,100,22,2
Routt,102,101,22,2
Routt,102,102,22,2
Routt,102,103,22,2
Routt,102,104,23,2
Routt,102,105,23,2
Routt,102,106,24,2
Routt,102,107,24,2
Routt,102,108,24,2
Routt,102,109,24,2
Routt,102,110,24,2
Routt,102,111,24,2
Routt,102,112,10,2
Routt,102,113,10,2
Routt,102,114,15,2
Routt,102,115,18,2
Routt,102,116,18,2
Routt,102,117,20,2
Routt,102,118,21,2
Routt,102,119,20,2
Routt,102,120,21,2
Routt,102,121,29,2
Routt,102,122,32,2
Routt,102,123,23,2
Routt,102,124,25,2
Routt,102,125,25,2
Routt,102,126,25,2
Routt,102,127,25,2
Routt,102,128,25,2
Routt,102,129,25,2
Routt,102,130,25,2
Routt,102,131,25,2
Routt,102,132,25,2
Routt,102,133,25,2
Routt,102,134,25,2
Routt,102,135,25,2
Routt,102,136,25,2
Routt,102,137,25,2
Routt,102,138,24,2
Routt,102,139,24,2
Routt,102,140,24,2
Routt,102,141,24,2
Routt,102,142,24,2
Routt,102,143,24,2
Routt,102,144,24,2
Routt,102,145,21,2
Routt,102,146,5,2
Routt,102,147,22,2
Routt,102,148,22,2
Routt,102,149,4,2
Routt,102,150,23,2
Routt,102,151,23,2
Routt,102,152,23,2
Routt,102,153,23,2
Routt,102,154,23,2
Routt,102,155,23,2
Routt,102,156,27,2
Routt,102,157,27,2
Routt,102,158,11,2
Routt,102,159,33,3
Routt,102,160,25,3
Routt,102,161,25,3
Routt,102,162,25,3
Routt,102,163,25,3
Routt,102,164,25,3
Routt,102,165,25,3
Routt,102,166,22,3
Routt,102,167,21,3
Routt,102,168,24,3
Routt,102,169,14,3
Routt,102,170,13,3
Routt,102,171,26,3
Routt,102,172,24,3
Routt,102,173,11,3
Routt,102,174,7,3
Routt,102,175,19,3
Routt,102,176,9,3
Routt,102,177,22,3
Routt,102,178,22,3
Routt,102,179,23,3
Routt,102,180,23,3
Routt,102,181,29,3
Routt,102,182,3,3
Routt,102,183,30,3
