contest_name,audit_reason,random_audit_status,winners_allowed,ballot_card_count,contest_ballot_card_count,winners,min_margin,risk_limit,audited_sample_count,two_vote_over_count,one_vote_over_count,one_vote_under_count,two_vote_under_count,disagreement_count,other_count,gamma,overstatements,optimistic_samples_to_audit,estimated_samples_to_audit
Adams County Commissioner - District 1 - DEM,county_wide_contest,in_progress,1,55908,30818,"""Julie Duran Mullica""",6381,0.03000000,0,0,0,0,0,0,0,1.03905000,0,64,64
Adams County Commissioner - District 1 - REP,opportunistic_benefits,not_auditable,1,55908,25059,"""Shelly McClure""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Adams County Commissioner - District 2 - DEM,opportunistic_benefits,not_auditable,1,55908,30818,"""Kathy Henson""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Adams County Commissioner - District 5 - DEM,opportunistic_benefits,not_auditable,1,55908,30818,"""Lynn Baca""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Adams County Commissioner - District 5 - REP,opportunistic_benefits,not_auditable,1,55908,25059,"""Jim Wood""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Adams - Representative to the 119th United States Congress - District 8 - REP,county_wide_contest,in_progress,1,55908,22264,"""Gabe Evans""",11637,0.03000000,0,0,0,0,0,0,0,1.03905000,0,36,36
Alamosa County Commissioner - District 1 - DEM,opportunistic_benefits,not_auditable,1,2524,1036,"""Richard P. Needham""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Alamosa County Commissioner - District 1 - REP,opportunistic_benefits,not_auditable,1,2524,1488,"""Lori Laske""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Alamosa County Commissioner - District 3 - REP,opportunistic_benefits,not_auditable,1,2524,1488,"""Vern Heersink""",0,0.03000000,0,0,0,0,0,0,0,1.03905000,0,0,0
Alamosa - Representative to the 119th United States Congress - District 3 - REP,county_wide_contest,in_progress,1,2524,1488,"""Jeff Hurd""",131,0.03000000,0,0,0,0,0,0,0,1.03905000,0,141,141
