contest_name,choice,votes
Adams County Commissioner - District 1 - DEM,Julie Duran Mullica,18079
Adams County Commissioner - District 1 - DEM,Valerie Vigil,11698
Adams County Commissioner - District 1 - REP,Shelly McClure,20089
Adams County Commissioner - District 2 - DEM,Kathy Henson,27427
Adams County Commissioner - District 5 - DEM,Lynn Baca,27521
Adams County Commissioner - District 5 - REP,Jim Wood,19623
Adams - Representative to the 119th United States Congress - District 8 - REP,Gabe Evans,16863
Adams - Representative to the 119th United States Congress - District 8 - REP,Janak Joshi,5226
Alamosa County Commissioner - District 1 - DEM,Richard P. Needham,829
Alamosa County Commissioner - District 1 - REP,Lori Laske,1280
Alamosa County Commissioner - District 3 - REP,Vern Heersink,1284
Alamosa - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,591
Alamosa - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,460
Alamosa - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,135
Alamosa - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,88
Alamosa - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,72
Alamosa - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,68
Arapahoe County Commissioner - District 1 - DEM,Carrie Warren-Gully,11164
Arapahoe County Commissioner - District 1 - REP,Tyler Linnebur,6698
Arapahoe County Commissioner - District 3 - DEM,Scott Brown,8233
Arapahoe County Commissioner - District 3 - REP,Jeff Baker,6780
Arapahoe County Commissioner - District 5 - DEM,Rhonda Fields,6015
Arapahoe County Commissioner - District 5 - DEM,Hashim Coates,2744
Arapahoe - Representative to the 119th United States Congress - District 4 - REP,Lauren Boebert,1887
Arapahoe - Representative to the 119th United States Congress - District 4 - REP,Deborah Flora,370
Arapahoe - Representative to the 119th United States Congress - District 4 - REP,Mike Lynch,358
Arapahoe - Representative to the 119th United States Congress - District 4 - REP,Jerry Sonnenberg,322
Arapahoe - Representative to the 119th United States Congress - District 4 - REP,Richard Holtorf,311
Arapahoe - Representative to the 119th United States Congress - District 4 - REP,Peter Yu,222
Archuleta County Commissioner - District 1 - REP,Warren M. Brown,1810
Archuleta County Commissioner - District 2 - REP,John Ranson,1631
Archuleta County Commissioner - District 2 - REP,Zane Kraetsch,948
Archuleta County Coroner - REP,Brad Hunt,1707
Baca County Commissioner - District 1 - REP,Race Chenoweth,742
Baca County Commissioner - District 3 - REP,Troy Devlin Bishop,713
Baca County Coroner - REP,Everett Brisendine,727
Baca - Representative to the 119th United States Congress - District 4 - REP,Lauren Boebert,484
Baca - Representative to the 119th United States Congress - District 4 - REP,Richard Holtorf,136
Baca - Representative to the 119th United States Congress - District 4 - REP,Jerry Sonnenberg,111
Baca - Representative to the 119th United States Congress - District 4 - REP,Deborah Flora,71
Baca - Representative to the 119th United States Congress - District 4 - REP,Mike Lynch,35
Baca - Representative to the 119th United States Congress - District 4 - REP,Peter Yu,14
Bent County Commissioner - District 1 - REP,Jennifer Scofield,685
Bent County Commissioner - District 3 - REP,Phil Hemphill,470
Bent County Commissioner - District 3 - REP,Curtis Tempel,440
Boulder County Commissioner - District 1 - DEM,Claire Levy,46286
Boulder County Commissioner - District 2 - DEM,Marta Loachamin,45914
Boulder County Commissioner - District 2 - REP,"Donald ""Don"" Lewis",9730
Boulder County Coroner - DEM,Jeff Martin,46173
Chaffee County Commissioner - District 1 - DEM,Gina Lucrezi,2230
Chaffee County Commissioner - District 1 - REP,Norm Nyberg,1747
Chaffee County Commissioner - District 2 - DEM,Dave Armstrong,2254
Chaffee County Commissioner - District 2 - REP,Tom McCracken,1843
Cheyenne County Commissioner - District 1 - REP,R.J. Jolly,481
Cheyenne County Commissioner - District 3 - REP,Rick Pelton,344
Cheyenne County Commissioner - District 3 - REP,James Leroy Lengel,152
Cheyenne County Commissioner - District 3 - REP,Brian Welsh,110
Clear Creek County Commissioner - District 2 - DEM,Rebecca Lloyd,1041
Clear Creek County Commissioner - District 2 - REP,Eric Ginter,613
Clear Creek County Commissioner - District 3 - DEM,Jodie S. Hartman-Ball,997
Clear Creek County Commissioner - District 3 - REP,Robert J. Smith,600
Clear Creek County Sheriff - REP,Matthew D. Harris,618
Clear Creek - State Board of Education Member - Congressional District 2 - DEM,Kathy Gebhardt,587
Clear Creek - State Board of Education Member - Congressional District 2 - DEM,Marisol Lynda Rodriguez,473
Conejos County Commissioner District 1 - DEM,Erwin Placido Romero ,680
Conejos County Commissioner District 1 - DEM,Guillermo A DeHerrera,223
Conejos County Commissioner District 1 - REP,Delfino Garcia ,748
Conejos County Commissioner District 3 - DEM,Joseph Baroz ,813
Conejos County Commissioner District 3 - REP,Justin Rogers ,586
Conejos County Commissioner District 3 - REP,Lucas Moroni Larson,360
Costilla County Commissioner District 1 - DEM,Robert Espinoza,408
Costilla County Commissioner District 1 - DEM,Frank Martinez,130
Costilla County Commissioner District 1 - REP,Brandy Napier,204
Costilla County Commissioner District 3 - DEM,Steven Romero ,460
Costilla County Commissioner District 3 - REP,Augustine Roy Esquibel,158
County Commissioner -  District 1 - DEM,Hal Edwards,360
County Commissioner -  District 2 - DEM,Christian Luna-Leal,437
County Commissioner District 2 - DEM,Caitlin Carey,3410
County Commissioner District 2 - REP,Perry Will,4808
County Commissioner -  District 3 - DEM,Elsa Tharp,437
County Commissioner District 3 - DEM,Steven Arauza,3430
County Commissioner -  District 3 - REP,Stephanie McBride,223
County Commissioner District 3 - REP,Mike Samson,4605
Crowley County Commissioner - District 2 - REP,Vicki Powell,519
Crowley County Commissioner - District 2 - REP,Blaine Arbuthnot,258
Crowley County Commissioner - District 3 - REP,Terry McMillian,674
Custer County Board of County Commissioners - District 2 - REP,Paul Raymond Vogelsong,797
Custer County Board of County Commissioners - District 3 - REP,Lucas Epp,761
Custer County Board of County Commissioners - District 3 - REP,Veronica L. Nicholson,392
Delta County Commissioner - District 2 - REP,Craig Fuller,2920
Delta County Commissioner - District 2 - REP,Candyce Blair,2523
Delta County Commissioner - District 3 - REP,Wendell A. Koontz,4302
District Attorney - 10th Judicial District - DEM,Kyle S. Aber,11681
District Attorney - 10th Judicial District - REP,Kala Beauvais,10759
District Attorney - 11th Judicial District - REP,Jeffrey D. Lindsey,9968
District Attorney - 12th Judicial District - REP,Anne Kelly,4238
District Attorney - 13th Judicial District - REP,Travis Sides,11922
District Attorney - 15th Judicial District - REP,Andrew J. Hayden,2545
District Attorney - 16th Judicial District - REP,James R. Bullock,3030
District Attorney - 17th Judicial District - DEM,Brian Mason,34934
District Attorney - 18th Judicial District - DEM,Amy Padden,45864
District Attorney - 18th Judicial District - REP,Carol Chambers,26833
District Attorney - 19th Judicial District - REP,Michael J. Rourke,26870
District Attorney - 1st Judicial District - DEM,Alexis King,58005
District Attorney - 20th Judicial District - DEM,Michael T. Dougherty,47270
District Attorney - 21st Judicial District - REP,Dan Rubinstein,20947
District Attorney - 22nd Judicial District - DEM,Christian A. Hatfield,1480
District Attorney - 22nd Judicial District - REP,Jeremy E. Reed,3062
District Attorney - 23rd Judicial District - DEM,Karen Breslin,28640
District Attorney - 23rd Judicial District - REP,George Brauchler,39689
District Attorney - 23rd Judicial District - REP,Dagny Van Der Jagt,21890
District Attorney - 2nd Judicial District - DEM,John Walsh,48565
District Attorney - 2nd Judicial District - DEM,Leora Joseph,34967
District Attorney - 3rd Judicial District - DEM,Nicholas J. Dale,2075
District Attorney - 4th Judicial District - DEM,Jeremy Dowell,38246
District Attorney - 4th Judicial District - REP,Michael J. Allen,54490
District Attorney - 4th Judicial District - REP,David Willson,28582
District Attorney - 5th Judicial District - DEM,Heidi McCollum,7984
District Attorney - 6th Judicial District - DEM,Sean Murray,6061
District Attorney - 7th Judicial District - REP,Seth Ryan,11171
District Attorney - 8th Judicial District - DEM,Gordon McLaughlin,32794
District Attorney - 9th Judicial District - REP,Ben Sollars,5887
Dolores County Commissioner District 2 - REP,Steve Garchar,357
Dolores County Commissioner District 3 - REP,Phyllis Davis,429
Dolores County Commissioner District 3 - REP,Margret Daves,130
Dolores - Representative to the 119th United States Congress - District 3 - REP,Jeff Hurd,194
Dolores - Representative to the 119th United States Congress - District 3 - REP,Lew Webb,118
Dolores - Representative to the 119th United States Congress - District 3 - REP,Ron Hanks,118
Dolores - Representative to the 119th United States Congress - District 3 - REP,Curtis M. McCrackin,22
Dolores - Representative to the 119th United States Congress - District 3 - REP,Stephen A. Varela,19
Dolores - Representative to the 119th United States Congress - District 3 - REP,Russ Andrews,15
Douglas County Commissioner - District 2 - DEM,Angela Thomas,16181
Douglas County Commissioner - District 2 - DEM,Julien Bouquet,11944
Douglas County Commissioner - District 2 - REP,George Teal,45986
Douglas County Commissioner - District 3 - DEM,Josh Smith,27159
Douglas County Commissioner - District 3 - REP,Kevin Van Winkle,21808
Douglas County Commissioner - District 3 - REP,Priscilla Rahn,16372
Douglas County Commissioner - District 3 - REP,John Carson,15559
Eagle County Commissioner - District 1 - DEM,Matt Scherr,4262
Eagle County Commissioner - District 1 - REP,Gregg M. Cooper,1768
Eagle County Commissioner - District 2 - DEM,Tom Boyd,2632
Eagle County Commissioner - District 2 - DEM,Sarah Smith Hymes,2481
Elbert County Commissioner District 1 - REP,Mike Buck,5004
Elbert County Commissioner District 1 - REP,Jon Waller,1337
Elbert County Commissioner District 1 - REP,Bob Lewis,1202
Elbert County Commissioner District 3 - REP,Byron P. McDaniel,6159
Elbert County Commissioner District 3 - REP,Barry Lemley,108
Elbert - State Board of Education Member - Congressional District 4 - REP,"Kristi ""KBB"" Burton Brown",3817
