county_name,contest_name,choice,votes
Adams,Representative to the 119th United States Congress - District 4 - DEM,Ike McCorkle,210
Adams,Representative to the 119th United States Congress - District 4 - DEM,Trisha Calvarese,195
Adams,Representative to the 119th United States Congress - District 4 - DEM,John Padora Jr.,89
Adams,Representative to the 119th United States Congress - District 6 - DEM,Jason Crow,2601
Adams,Representative to the 119th United States Congress - District 7 - DEM,Brittany Pettersen,236
Adams,Representative to the 119th United States Congress - District 8 - DEM,Yadira Caraveo,25645
Adams,State Board of Education Member - Congressional District 4 - DEM,Krista Holtzmann,424
Adams,State Board of Education Member - Congressional District 8 - DEM,Rhonda Solis,25011
Adams,Regent of the University of Colorado - At Large - DEM,"Charles ""CJ"" Johnson",14552
Adams,Regent of the University of Colorado - At Large - DEM,Elliott Hood,13690
Adams,State Senator - District 13 - DEM,Matt Johnston,1891
Adams,State Senator - District 19 - DEM,Lindsey Daugherty,170
Adams,State Senator - District 19 - DEM,Obi Ezeadi,94
Adams,State Senator - District 21 - DEM,Dafna Michaelson Jenet,6779
Adams,State Senator - District 28 - DEM,Mike Weissman,1515
Adams,State Senator - District 28 - DEM,Idris Keith,1250
Adams,State Representative - District 24 - DEM,Lisa Feret,241
Adams,State Representative - District 29 - DEM,Shannon Bird,3947
Adams,State Representative - District 31 - DEM,"Jacqueline ""Jacque"" Phillips",2620
Adams,State Representative - District 31 - DEM,Julia Marvin,2210
Adams,State Representative - District 32 - DEM,Manny Rutinel,3426
Adams,State Representative - District 33 - DEM,William Lindstedt,1244
Adams,State Representative - District 34 - DEM,Jenny Willford,5661
Adams,State Representative - District 35 - DEM,Lorena Garcia,3931
Adams,State Representative - District 36 - DEM,Michael Carter,1644
Adams,State Representative - District 36 - DEM,Bryan Lindstrom,1066
Adams,State Representative - District 56 - DEM,Alessandra A. Navetta,501
Adams,District Attorney - 17th Judicial District - DEM,Brian Mason,27481
Adams,Adams County Commissioner - District 1 - DEM,Julie Duran Mullica,18079
Adams,Adams County Commissioner - District 1 - DEM,Valerie Vigil,11698
Adams,Adams County Commissioner - District 2 - DEM,Kathy Henson,27427
Adams,Adams County Commissioner - District 5 - DEM,Lynn Baca,27521
Adams,Representative to the 119th United States Congress - District 4 - REP,Lauren Boebert,1167
Adams,Representative to the 119th United States Congress - District 4 - REP,Jerry Sonnenberg,205
Adams,Representative to the 119th United States Congress - District 4 - REP,Richard Holtorf,190
