min_margin,contest_name,contest_cvr_ids
0,Poudre School District R-1 Director District E,[]
0,St. Vrain Valley School District RE-1J Board of Education Director in Director District E,[]
0,St. Vrain Valley School District RE-1J Board of Education Director in Director District F,[]
0,Thompson School District R2-J Board of Education Director District B,[]
2079,City of Fort Collins Councilmember - District 1,[]
2279,City of Fort Collins Councilmember - District 3,[]
31,Larimer County Rolling Hills Public Improvement District No. 78 Ballot Issue 6C,[]
25482,City of Fort Collins Ballot Question 2D,[]
27387,City of Fort Collins Ballot Question 2C,[]
34526,City of Fort Collins Ballot Question 2B,[]
50,Larimer County Nedrah Acres Public Improvement District No. 77 Ballot Issue 6B,[]
21338,Poudre School District R-1 Director District C,[]
13558,Poudre School District R-1 Director District D,[]
583,Wellington Fire Protection District Ballot Issue 6D,[]
40,St. Vrain Valley School District RE-1J Board of Education Director in Director District D,[]
5847,City of Fort Collins Mayor,"[76855,87103,111886,74956,70237,168045,88794,146810,173509,25491,5029,165411,37127,130980,179693,158695,135831,149296,176816,35933,185707,182861,155510,22253,92345,185678,50849,87455,167604,13599,181896,188908,54509,79187,71981,169386,185700,173195,85164,139457,123901,192792,80005,110904,189818,183814,194074,40553,78925,53204,178928,80586,54816,155300,112364,124912,159506,114332,126254,79359,180678,87042,147156,153878,130072,137619,176216,156892,175694,165075,177952,125833,187082,191899,66501,36897,176109,124310,185533,144758,9213,121266,147058,136348,92256,151268,58259,193829,21326,90797,7655,109461,173951,15916,95319,124906,190743,180188,186421,193760,187402,77652,126430,34871,194090,34711,158849,63127,179151,131663,131979,160581,162546,86641,59195,157884,136664,173907,94769,77481,167061,176028,129391,41782,105060,190854,159809,129227,169954,72338,176255,165446,110733,184804,185220,193250,41456,158618,67367,190426,173534,66599,194123,96409,183953,44471,69347,132751,56788,104210,170019,45826,158838,164154,189053,179239,98767,57644,158062,107596,140372,138419,123451,3375,178197,18275,59974,160611,68978,25094,130697,164567,160976,110672,82191,35852,143724,65723,102865,158345,132184,30777,143215,39970,48789,131487,30618,137954,84832,146423,94572,157271,2987,86107,98688,2995,91151,73541,74464,36830,56241,59113,129265,102083,111704,117197,88710,27075,114185,7084,79166,25162,121446,32169,65852,41166,96323,99462,27435,76811,42061,7271,54438,79008,44917,11357,42684,4200,22374,5612,36368,53406,15449,24993,5359,6236,18780,23949,11343,4728]"
8612,Thompson School District R2-J Ballot Issue 5A,[]
58,St. Vrain Valley School District RE-1J Board of Education Director in Director District B,[]
25091,City of Fort Collins Ballot Issue 302,[]
19485,City of Fort Collins Ballot Question 2H,[]
30022,City of Fort Collins Ballot Question 2G,[]
8374,City of Fort Collins Ballot Question 2F,[]
36143,City of Fort Collins Ballot Question 2E,[]
808,City of Loveland City Council - Ward 4,[]
6859,Larimer County Ballot Issue 1A,[]
1083,Thompson School District R2-J Board of Education Director District F,[]
773,City of Loveland City Council - Ward 1,[]
895,Thompson School District R2-J Board of Education Director District E,[]
172,City of Loveland City Council - Ward 2,[]
32,City of Loveland City Council - Ward 3,[]
336,Town of Timnath Ballot Issue 3A,[]
4183,City of Fort Collins Ballot Question 303,[]
193,City of Loveland Mayor,[]
49810,Proposition LL (Statutory),[]
32606,Proposition MM (Statutory),[]
475,Town of Estes Park Ballot Question 301,[]
30707,City of Fort Collins Ballot Issue 2A,[]
152,Town of Estes Park Ballot Question 300,[]
3718,Larimer County Ballot Issue 1B,[]
15,Larimer County Thunder Mountain Public Improvement District No. 76 Ballot Issue 6A,[]
991,City of Fort Collins Councilmember - District 5,[]
