county,contest,record_type,cvr_number,imprinted_id,raw_vote,valid_interpretation
Larimer,City of Fort Collins Mayor,UPLOADED,190,101-1-61,"""Shirley Peel(1)"",""Jeffrey Shumway(7)""","""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,192,101-1-76,"""Shirley Peel(1)"",""Shirley Peel(2)"",""Shirley Peel(3)"",""Shirley Peel(4)"",""Shirley Peel(5)"",""Shirley Peel(6)"",""Shirley Peel(7)""","""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,193,101-1-78,"""Shirley Peel(1)"",""Shirley Peel(2)"",""Shirley Peel(3)"",""Shirley Peel(4)"",""Shirley Peel(5)"",""Shirley Peel(6)"",""Shirley Peel(7)""","""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,195,101-1-14,"""Emily Francis(1)"",""Shirley Peel(2)"",""Jeffrey Shumway(3)"",""Scotty V VanTatenhove(4)"",""Jeffrey Shumway(5)"",""Adam Hirschhorn(6)"",""Adam Eggleston(7)""","""Emily Francis"",""Shirley Peel"",""Jeffrey Shumway"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,197,101-1-75,"""Shirley Peel(1)"",""Shirley Peel(2)"",""Shirley Peel(3)"",""Shirley Peel(4)"",""Shirley Peel(5)"",""Shirley Peel(6)"",""Shirley Peel(7)""","""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,198,101-1-48,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Adam Hirschhorn(7)""","""Tricia Canonico"",""Emily Francis"""
Larimer,City of Fort Collins Mayor,UPLOADED,1743,106-2-4,"""Scotty V VanTatenhove(1)"",""Adam Hirschhorn(2)"",""Adam Eggleston(3)"",""Tricia Canonico(4)"",""Adam Eggleston(5)"",""Shirley Peel(6)"",""Jeffrey Shumway(7)""","""Scotty V VanTatenhove"",""Adam Hirschhorn"",""Adam Eggleston"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,1744,106-2-8,"""Emily Francis(1)"",""Scotty V VanTatenhove(2)"",""Tricia Canonico(3)"",""Shirley Peel(4)"",""Adam Eggleston(5)"",""Scotty V VanTatenhove(6)"",""Jeffrey Shumway(7)""","""Emily Francis"",""Scotty V VanTatenhove"",""Tricia Canonico"",""Shirley Peel"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,1745,106-2-39,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Scotty V VanTatenhove(3)"",""Jeffrey Shumway(4)"",""Adam Hirschhorn(5)"",""Adam Eggleston(6)"",""Jeffrey Shumway(7)""","""Tricia Canonico"",""Emily Francis"",""Scotty V VanTatenhove"",""Jeffrey Shumway"",""Adam Hirschhorn"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,1746,106-2-11,"""Shirley Peel(1)"",""Emily Francis(2)"",""Tricia Canonico(3)"",""Tricia Canonico(4)"",""Adam Hirschhorn(5)"",""Shirley Peel(6)"",""Jeffrey Shumway(7)""","""Shirley Peel"",""Emily Francis"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,1747,106-2-13,"""Adam Eggleston(1)"",""Shirley Peel(2)"",""Jeffrey Shumway(3)"",""Tricia Canonico(4)"",""Emily Francis(5)"",""Jeffrey Shumway(6)"",""Scotty V VanTatenhove(7)""","""Adam Eggleston"",""Shirley Peel"",""Jeffrey Shumway"",""Tricia Canonico"",""Emily Francis"""
Larimer,City of Fort Collins Mayor,UPLOADED,2135,105-2-14,"""Tricia Canonico(7)"",""Adam Eggleston(7)"",""Emily Francis(7)"",""Adam Hirschhorn(7)"",""Shirley Peel(7)"",""Jeffrey Shumway(7)"",""Scotty V VanTatenhove(7)""",""
Larimer,City of Fort Collins Mayor,UPLOADED,2136,105-2-51,"""Adam Eggleston(1)"",""Emily Francis(2)"",""Adam Hirschhorn(3)"",""Tricia Canonico(4)"",""Jeffrey Shumway(5)"",""Scotty V VanTatenhove(6)"",""Tricia Canonico(7)""","""Adam Eggleston"",""Emily Francis"",""Adam Hirschhorn"",""Tricia Canonico"",""Jeffrey Shumway"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,2138,105-2-18,"""Tricia Canonico(1)"",""Adam Hirschhorn(1)"",""Adam Eggleston(2)"",""Scotty V VanTatenhove(4)"",""Emily Francis(6)"",""Shirley Peel(6)""",""
Larimer,City of Fort Collins Councilmember - District 1,UPLOADED,2139,105-2-39,"""Susan Gutowsky(1)"",""Susan Gutowsky(2)"",""Daisy Montgomery(3)""","""Susan Gutowsky"""
Larimer,City of Fort Collins Mayor,UPLOADED,2140,105-2-19,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Adam Eggleston(3)"",""Adam Hirschhorn(4)"",""Scotty V VanTatenhove(4)"",""Shirley Peel(5)"",""Jeffrey Shumway(6)""","""Emily Francis"",""Tricia Canonico"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,2333,111-4-70,"""Tricia Canonico(7)""",""
Larimer,City of Fort Collins Mayor,UPLOADED,2336,111-4-85,"""Tricia Canonico(1)"",""Jeffrey Shumway(2)"",""Scotty V VanTatenhove(3)"",""Shirley Peel(4)"",""Adam Hirschhorn(5)"",""Emily Francis(6)"",""Tricia Canonico(7)""","""Tricia Canonico"",""Jeffrey Shumway"",""Scotty V VanTatenhove"",""Shirley Peel"",""Adam Hirschhorn"",""Emily Francis"""
Larimer,City of Fort Collins Mayor,UPLOADED,2337,111-4-62,"""Tricia Canonico(1)"",""Emily Francis(2)"",""Jeffrey Shumway(3)"",""Shirley Peel(4)"",""Adam Eggleston(5)"",""Jeffrey Shumway(6)"",""Adam Hirschhorn(7)""","""Tricia Canonico"",""Emily Francis"",""Jeffrey Shumway"",""Shirley Peel"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,2340,111-4-65,"""Emily Francis(1)"",""Adam Eggleston(2)"",""Emily Francis(3)"",""Scotty V VanTatenhove(4)"",""Adam Hirschhorn(5)"",""Shirley Peel(6)"",""Jeffrey Shumway(7)""","""Emily Francis"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,2341,111-4-97,"""Emily Francis(1)"",""Jeffrey Shumway(2)"",""Tricia Canonico(3)"",""Adam Hirschhorn(4)"",""Scotty V VanTatenhove(5)"",""Jeffrey Shumway(6)"",""Tricia Canonico(7)""","""Emily Francis"",""Jeffrey Shumway"",""Tricia Canonico"",""Adam Hirschhorn"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,2891,110-5-8,"""Emily Francis(1)"",""Tricia Canonico(2)"",""Shirley Peel(3)"",""Tricia Canonico(4)"",""Adam Eggleston(5)"",""Jeffrey Shumway(6)"",""Scotty V VanTatenhove(7)""","""Emily Francis"",""Tricia Canonico"",""Shirley Peel"""
Larimer,City of Fort Collins Mayor,UPLOADED,2892,110-5-16,"""Emily Francis(1)"",""Adam Hirschhorn(2)"",""Tricia Canonico(3)"",""Jeffrey Shumway(5)"",""Scotty V VanTatenhove(6)"",""Shirley Peel(7)""","""Emily Francis"",""Adam Hirschhorn"",""Tricia Canonico"""
Larimer,City of Fort Collins Mayor,UPLOADED,2893,110-5-37,"""Tricia Canonico(7)"",""Adam Eggleston(7)"",""Emily Francis(7)"",""Adam Hirschhorn(7)"",""Shirley Peel(7)"",""Jeffrey Shumway(7)"",""Scotty V VanTatenhove(7)""",""
Larimer,City of Fort Collins Mayor,UPLOADED,2894,110-5-73,"""Jeffrey Shumway(1)"",""Tricia Canonico(2)"",""Shirley Peel(3)"",""Emily Francis(4)"",""Jeffrey Shumway(5)"",""Adam Eggleston(6)"",""Adam Hirschhorn(7)""","""Jeffrey Shumway"",""Tricia Canonico"",""Shirley Peel"",""Emily Francis"""
Larimer,City of Fort Collins Mayor,UPLOADED,2896,110-5-81,"""Jeffrey Shumway(1)"",""Scotty V VanTatenhove(2)"",""Shirley Peel(3)"",""Emily Francis(4)"",""Adam Eggleston(5)"",""Emily Francis(5)"",""Adam Hirschhorn(5)"",""Adam Hirschhorn(6)"",""Adam Eggleston(7)""","""Jeffrey Shumway"",""Scotty V VanTatenhove"",""Shirley Peel"",""Emily Francis"""
Larimer,City of Fort Collins Mayor,UPLOADED,2897,110-5-52,"""Adam Eggleston(1)"",""Adam Eggleston(2)"",""Adam Eggleston(3)"",""Adam Eggleston(4)"",""Adam Eggleston(5)"",""Adam Eggleston(6)"",""Adam Eggleston(7)""","""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,3545,103-5-21,"""Tricia Canonico(1)"",""Adam Eggleston(2)"",""Jeffrey Shumway(6)"",""Emily Francis(7)""","""Tricia Canonico"",""Adam Eggleston"""
Larimer,City of Fort Collins Mayor,UPLOADED,3835,111-6-22,"""Adam Eggleston(1)"",""Shirley Peel(2)"",""Adam Hirschhorn(3)"",""Emily Francis(4)"",""Jeffrey Shumway(4)"",""Scotty V VanTatenhove(5)"",""Tricia Canonico(6)""","""Adam Eggleston"",""Shirley Peel"",""Adam Hirschhorn"""
Larimer,City of Fort Collins Mayor,UPLOADED,3836,111-6-45,"""Shirley Peel(1)"",""Jeffrey Shumway(2)"",""Scotty V VanTatenhove(3)"",""Scotty V VanTatenhove(4)"",""Adam Eggleston(5)"",""Tricia Canonico(6)"",""Adam Hirschhorn(7)""","""Shirley Peel"",""Jeffrey Shumway"",""Scotty V VanTatenhove"""
Larimer,City of Fort Collins Mayor,UPLOADED,7479,103-9-42,"""Jeffrey Shumway(1)"",""Adam Eggleston(2)"",""Emily Francis(7)""","""Jeffrey Shumway"",""Adam Eggleston"""
