County,Tabulator ID,Batch,# of Ballot Cards,Location
Chaffee,102,1,50,1
Chaffee,102,2,50,1
Chaffee,102,3,50,1
Chaffee,102,4,50,1
Chaffee,102,5,50,1
Chaffee,102,6,50,1
Chaffee,102,7,50,1
Chaffee,102,8,50,1
Chaffee,102,9,50,1
Chaffee,102,10,50,1
Chaffee,102,11,50,1
Chaffee,102,12,50,1
Chaffee,102,13,50,1
Chaffee,102,14,50,1
Chaffee,102,15,50,1
Chaffee,102,16,50,1
Chaffee,102,17,50,1
Chaffee,102,18,50,1
Chaffee,102,19,50,1
Chaffee,102,20,50,1
Chaffee,102,21,50,1
Chaffee,102,22,50,1
Chaffee,102,23,50,1
Chaffee,102,24,50,1
Chaffee,102,25,50,1
Chaffee,102,26,50,1
Chaffee,102,27,50,1
Chaffee,102,28,49,1
Chaffee,102,29,50,1
Chaffee,102,30,50,1
Chaffee,102,31,50,1
Chaffee,102,32,50,1
Chaffee,102,33,50,1
Chaffee,102,34,50,1
Chaffee,102,35,50,1
Chaffee,102,36,50,1
Chaffee,102,37,50,1
Chaffee,102,38,50,1
Chaffee,102,39,50,1
Chaffee,102,40,50,2
Chaffee,102,41,50,2
Chaffee,102,42,50,2
Chaffee,102,43,50,2
Chaffee,102,44,50,2
Chaffee,102,45,50,2
Chaffee,102,46,50,2
Chaffee,102,47,50,2
Chaffee,102,48,50,2
Chaffee,102,49,50,2
Chaffee,102,50,50,2
Chaffee,102,51,50,2
Chaffee,102,52,50,2
Chaffee,102,53,50,2
Chaffee,102,54,50,2
Chaffee,102,55,50,2
Chaffee,102,56,50,2
Chaffee,102,57,50,2
Chaffee,102,58,50,2
Chaffee,102,59,50,2
Chaffee,102,60,50,2
Chaffee,102,61,50,2
Chaffee,102,62,50,2
Chaffee,102,63,50,2
Chaffee,102,64,50,2
Chaffee,102,65,50,2
Chaffee,102,66,50,2
Chaffee,102,67,50,2
Chaffee,102,68,50,2
Chaffee,102,69,50,2
Chaffee,102,70,50,2
Chaffee,102,71,50,2
Chaffee,102,72,50,2
Chaffee,102,73,50,2
Chaffee,102,74,50,2
Chaffee,102,75,50,2
Chaffee,102,76,50,2
Chaffee,102,77,50,2
Chaffee,102,78,50,2
Chaffee,102,79,50,2
Chaffee,102,80,50,3
Chaffee,102,81,50,3
Chaffee,102,82,50,3
Chaffee,102,83,50,3
Chaffee,102,84,50,3
Chaffee,102,85,50,3
Chaffee,102,86,50,3
Chaffee,102,87,50,3
Chaffee,102,88,50,3
Chaffee,102,89,50,3
Chaffee,102,90,50,3
Chaffee,102,91,50,3
Chaffee,102,92,50,3
Chaffee,102,93,50,3
Chaffee,102,94,50,3
Chaffee,102,95,50,3
Chaffee,102,96,50,3
Chaffee,102,97,40,3
Chaffee,102,98,71,3
Chaffee,102,99,38,3
Chaffee,102,100,50,3
Chaffee,102,101,50,3
Chaffee,102,102,50,3
Chaffee,102,103,50,3
Chaffee,102,104,50,3
Chaffee,102,105,50,3
Chaffee,102,106,50,3
Chaffee,102,107,50,3
Chaffee,102,108,50,3
Chaffee,102,109,50,3
Chaffee,102,110,50,3
Chaffee,102,111,50,3
Chaffee,102,112,50,3
Chaffee,102,113,50,3
Chaffee,102,114,50,3
Chaffee,102,115,50,3
Chaffee,102,116,50,3
Chaffee,102,117,50,3
Chaffee,102,118,50,3
Chaffee,102,119,49,3
Chaffee,102,120,50,4
Chaffee,102,121,50,4
Chaffee,102,122,50,4
Chaffee,102,123,50,4
Chaffee,102,124,50,4
Chaffee,102,125,50,4
Chaffee,102,126,50,4
Chaffee,102,127,50,4
Chaffee,102,128,50,4
Chaffee,102,129,50,4
Chaffee,102,130,50,4
Chaffee,102,131,50,4
Chaffee,102,132,50,4
Chaffee,102,133,50,4
Chaffee,102,134,50,4
Chaffee,102,135,50,4
Chaffee,102,136,50,4
Chaffee,102,137,50,4
Chaffee,102,138,50,4
Chaffee,102,139,50,4
Chaffee,102,140,50,4
Chaffee,102,141,50,4
Chaffee,102,142,50,4
Chaffee,102,143,50,4
Chaffee,102,144,50,4
Chaffee,102,145,50,4
Chaffee,102,146,50,4
Chaffee,102,147,50,4
Chaffee,102,148,50,4
Chaffee,102,149,50,4
Chaffee,102,150,50,4
Chaffee,102,151,50,4
Chaffee,102,152,50,4
Chaffee,102,153,50,4
Chaffee,102,154,50,4
Chaffee,102,155,50,4
Chaffee,102,156,50,4
Chaffee,102,157,50,4
Chaffee,102,158,50,4
Chaffee,102,159,50,4
Chaffee,102,160,50,5
Chaffee,102,161,50,5
Chaffee,102,162,50,5
Chaffee,102,163,50,5
Chaffee,102,164,50,5
Chaffee,102,165,50,5
Chaffee,102,166,50,5
Chaffee,102,167,50,5
Chaffee,102,168,50,5
Chaffee,102,169,50,5
Chaffee,102,170,50,5
Chaffee,102,171,122,5
Chaffee,102,172,50,5
Chaffee,102,173,50,5
Chaffee,102,174,50,5
Chaffee,102,175,60,5
Chaffee,102,176,50,5
Chaffee,102,177,50,5
Chaffee,102,178,50,5
Chaffee,102,179,50,5
Chaffee,102,180,50,5
Chaffee,102,181,50,5
Chaffee,102,182,50,5
Chaffee,102,183,50,5
Chaffee,102,184,50,5
Chaffee,102,185,50,5
Chaffee,102,186,50,5
Chaffee,102,187,50,5
Chaffee,102,188,50,5
Chaffee,102,189,50,5
Chaffee,102,190,50,5
Chaffee,102,191,50,5
Chaffee,102,192,50,5
Chaffee,102,193,50,5
Chaffee,102,194,52,5
Chaffee,102,195,50,5
Chaffee,102,196,50,5
Chaffee,102,197,50,5
Chaffee,102,198,50,5
Chaffee,102,199,50,5
Chaffee,102,200,50,5
Chaffee,102,201,50,6
Chaffee,102,202,82,6
Chaffee,102,203,50,6
Chaffee,102,204,20,6
Chaffee,102,205,100,6
Chaffee,102,206,16,6
Chaffee,102,207,34,6
