County,Tabulator,Batch,# of Ballot Cards,Location
Jefferson,104,6,200,7
Jefferson,104,7,199,7
Jefferson,105,1,200,8
Jefferson,105,2,200,8
Jefferson,105,3,200,8
Jefferson,105,4,200,8
Jefferson,105,5,200,8
Jefferson,105,6,200,8
Jefferson,105,7,200,8
Jefferson,102,1,200,9
Jefferson,102,2,200,9
Jefferson,102,3,200,9
Jefferson,102,4,200,9
Jefferson,102,5,264,9
Jefferson,102,6,200,9
Jefferson,102,7,200,9
Jefferson,105,8,200,10
Jefferson,105,9,200,10
Jefferson,105,10,200,10
Jefferson,105,11,199,10
Jefferson,105,12,199,10
Jefferson,105,13,200,10
Jefferson,105,14,200,10
Jefferson,107,8,200,11
Jefferson,107,9,200,11
Jefferson,107,10,199,11
Jefferson,107,11,200,11
Jefferson,107,12,200,11
Jefferson,107,13,200,11
Jefferson,107,14,200,11
Jefferson,102,8,200,12
Jefferson,102,9,200,12
Jefferson,102,10,200,12
Jefferson,102,11,200,12
Jefferson,102,12,200,12
Jefferson,102,13,200,12
Jefferson,102,14,200,12
Jefferson,104,8,200,13
Jefferson,104,9,200,13
Jefferson,104,10,200,13
Jefferson,104,11,200,13
Jefferson,104,12,200,13
Jefferson,104,13,197,13
Jefferson,104,14,129,13
Jefferson,107,15,200,14
Jefferson,107,16,190,14
Jefferson,107,17,200,14
Jefferson,107,18,200,14
Jefferson,107,19,200,14
Jefferson,107,20,200,14
Jefferson,107,21,200,14
Jefferson,109,8,200,15
Jefferson,109,9,200,15
Jefferson,109,10,200,15
Jefferson,109,11,181,15
Jefferson,109,12,200,15
Jefferson,109,13,200,15
Jefferson,109,14,200,15
Jefferson,101,8,200,16
Jefferson,101,9,200,16
Jefferson,101,10,200,16
Jefferson,101,11,200,16
Jefferson,101,12,200,16
Jefferson,101,13,200,16
Jefferson,101,14,200,16
Jefferson,104,15,200,17
Jefferson,104,16,200,17
Jefferson,104,17,200,17
Jefferson,104,18,200,17
Jefferson,104,19,200,17
Jefferson,104,20,200,17
Jefferson,104,21,200,17
Jefferson,107,22,200,18
Jefferson,107,23,200,18
Jefferson,107,24,299,18
Jefferson,107,25,200,18
Jefferson,107,26,200,18
Jefferson,107,27,200,18
Jefferson,107,28,200,18
Jefferson,105,15,200,19
Jefferson,105,16,200,19
Jefferson,105,17,200,19
Jefferson,105,18,200,19
Jefferson,105,19,200,19
Jefferson,105,20,200,19
Jefferson,105,21,200,19
Jefferson,106,8,199,20
Jefferson,106,9,200,20
Jefferson,106,10,200,20
Jefferson,106,11,200,20
Jefferson,106,12,247,20
Jefferson,106,13,200,20
Jefferson,106,14,200,20
Jefferson,107,29,196,21
Jefferson,107,30,200,21
Jefferson,107,31,200,21
Jefferson,107,32,200,21
Jefferson,107,33,200,21
Jefferson,107,34,200,21
Jefferson,107,35,200,21
Jefferson,104,22,200,22
Jefferson,104,23,200,22
Jefferson,104,24,200,22
Jefferson,104,25,200,22
Jefferson,104,26,199,22
Jefferson,104,27,200,22
Jefferson,104,28,199,22
Jefferson,102,15,225,23
Jefferson,102,16,193,23
Jefferson,102,17,200,23
Jefferson,102,18,200,23
Jefferson,102,19,202,23
Jefferson,102,20,200,23
Jefferson,102,21,200,23
Jefferson,107,36,200,24
Jefferson,107,37,100,24
Jefferson,107,38,200,24
Jefferson,107,39,200,24
Jefferson,107,40,200,24
Jefferson,107,41,200,24
Jefferson,107,42,200,24
Jefferson,106,15,200,25
Jefferson,106,16,200,25
Jefferson,106,17,184,25
Jefferson,106,18,200,25
Jefferson,106,19,200,25
Jefferson,106,20,200,25
Jefferson,106,21,200,25
Jefferson,104,29,200,26
Jefferson,104,30,67,26
Jefferson,104,31,200,26
Jefferson,104,32,200,26
Jefferson,104,33,200,26
Jefferson,104,34,200,26
Jefferson,104,35,200,26
Jefferson,105,22,200,27
Jefferson,105,23,200,27
Jefferson,105,24,200,27
Jefferson,105,25,200,27
Jefferson,105,26,200,27
Jefferson,105,27,200,27
Jefferson,105,28,200,27
Jefferson,104,36,200,28
Jefferson,104,37,200,28
Jefferson,104,38,199,28
Jefferson,104,39,200,28
Jefferson,104,40,200,28
Jefferson,104,41,200,28
Jefferson,104,42,202,28
Jefferson,108,8,223,29
Jefferson,108,9,212,29
Jefferson,108,10,200,29
Jefferson,108,11,200,29
Jefferson,108,12,200,29
Jefferson,108,13,200,29
Jefferson,108,14,200,29
Jefferson,109,15,200,30
Jefferson,109,16,200,30
Jefferson,109,17,200,30
Jefferson,109,18,200,30
Jefferson,102,22,199,41
Jefferson,102,23,218,41
Jefferson,102,24,200,41
Jefferson,102,25,166,41
Jefferson,102,26,200,41
Jefferson,102,27,180,41
Jefferson,102,28,200,41
Jefferson,104,50,200,43
Jefferson,104,51,200,43
Jefferson,104,52,200,43
Jefferson,104,53,200,43
Jefferson,104,54,200,43
Jefferson,104,55,202,43
Jefferson,104,56,200,43
Jefferson,107,50,200,44
Jefferson,107,51,199,44
Jefferson,107,52,200,44
Jefferson,107,53,200,44
Jefferson,107,54,200,44
Jefferson,107,55,200,44
Jefferson,107,56,200,44
Jefferson,106,29,200,45
Jefferson,106,30,200,45
Jefferson,106,31,200,45
Jefferson,106,32,200,45
Jefferson,106,33,200,45
Jefferson,106,34,199,45
Jefferson,106,35,200,45
Jefferson,109,43,200,46
Jefferson,109,44,200,46
Jefferson,109,45,200,46
Jefferson,109,46,300,46
Jefferson,109,47,202,46
Jefferson,109,48,200,46
Jefferson,109,49,200,46
Jefferson,101,29,200,47
Jefferson,101,30,189,47
Jefferson,101,31,200,47
Jefferson,101,32,200,47
Jefferson,101,33,200,47
Jefferson,101,34,200,47
Jefferson,101,35,200,47
Jefferson,103,15,200,48
Jefferson,103,16,200,48
Jefferson,103,17,200,48
Jefferson,103,18,200,48
Jefferson,103,19,200,48
Jefferson,103,20,200,48
Jefferson,103,21,200,48
Jefferson,109,50,200,49
Jefferson,109,51,199,49
Jefferson,109,52,200,49
Jefferson,109,53,200,49
Jefferson,109,54,200,49
Jefferson,109,55,200,49
Jefferson,109,56,200,49
Jefferson,108,22,213,50
Jefferson,108,23,200,50
Jefferson,108,24,200,50
Jefferson,108,25,200,50
Jefferson,108,26,200,50
Jefferson,108,27,200,50
Jefferson,108,28,200,50
Jefferson,103,22,200,51
Jefferson,103,23,200,51
Jefferson,103,24,200,51
Jefferson,103,25,200,51
Jefferson,103,26,200,51
Jefferson,103,27,200,51
Jefferson,103,28,200,51
Jefferson,104,57,199,52
Jefferson,104,58,200,52
Jefferson,104,59,200,52
Jefferson,104,60,200,52
Jefferson,104,61,200,52
Jefferson,104,62,200,52
Jefferson,104,63,200,52
Jefferson,106,36,200,53
Jefferson,106,37,200,53
Jefferson,106,38,200,53
Jefferson,106,39,200,53
Jefferson,106,40,200,53
Jefferson,106,41,200,53
Jefferson,106,42,200,53
Jefferson,109,57,200,54
Jefferson,109,58,200,54
Jefferson,109,59,200,54
Jefferson,109,60,200,54
Jefferson,109,61,300,54
Jefferson,109,62,200,54
Jefferson,109,63,200,54
Jefferson,101,36,199,55
Jefferson,101,37,200,55
Jefferson,101,38,200,55
Jefferson,101,39,200,55
Jefferson,101,40,199,55
Jefferson,101,41,200,55
Jefferson,101,42,199,55
Jefferson,106,43,200,56
Jefferson,106,44,200,56
Jefferson,106,45,200,56
Jefferson,106,46,200,56
Jefferson,106,47,200,56
Jefferson,106,48,200,56
Jefferson,106,49,200,56
Jefferson,108,29,199,57
Jefferson,108,30,200,57
Jefferson,108,31,200,57
Jefferson,108,32,200,57
Jefferson,108,33,200,57
Jefferson,108,34,200,57
Jefferson,108,35,200,57
Jefferson,104,64,200,58
Jefferson,104,65,199,58
Jefferson,104,66,200,58
Jefferson,104,67,200,58
Jefferson,104,68,198,58
Jefferson,104,69,198,58
Jefferson,104,70,127,58
Jefferson,109,64,200,59
Jefferson,109,65,200,59
Jefferson,109,66,200,59
Jefferson,109,67,299,59
Jefferson,109,68,300,59
Jefferson,109,69,100,59
Jefferson,109,70,300,59
Jefferson,109,71,200,60
Jefferson,109,72,200,60
Jefferson,109,73,200,60
Jefferson,109,74,200,60
Jefferson,109,75,200,60
Jefferson,109,76,200,60
Jefferson,109,77,200,60
Jefferson,101,43,200,61
Jefferson,101,44,200,61
Jefferson,101,45,200,61
Jefferson,101,46,200,61
Jefferson,101,47,200,61
Jefferson,101,48,200,61
Jefferson,101,49,200,61
Jefferson,107,57,200,62
Jefferson,107,58,200,62
Jefferson,107,59,200,62
Jefferson,107,60,200,62
Jefferson,107,61,200,62
Jefferson,107,62,300,62
Jefferson,107,63,200,62
Jefferson,106,50,200,63
Jefferson,106,51,200,63
Jefferson,106,52,200,63
Jefferson,106,53,200,63
Jefferson,106,54,200,63
Jefferson,106,55,200,63
Jefferson,106,56,200,63
Jefferson,103,29,216,64
Jefferson,103,30,200,64
Jefferson,103,31,200,64
Jefferson,103,32,300,64
Jefferson,103,33,200,64
Jefferson,103,34,200,64
Jefferson,109,19,195,30
Jefferson,109,20,239,30
Jefferson,109,21,200,30
Jefferson,103,8,200,31
Jefferson,103,9,200,31
Jefferson,103,10,200,31
Jefferson,103,11,200,31
Jefferson,103,12,200,31
Jefferson,103,13,200,31
Jefferson,103,14,200,31
Jefferson,101,15,200,32
Jefferson,101,16,198,32
Jefferson,101,17,200,32
Jefferson,101,18,200,32
Jefferson,101,19,200,32
Jefferson,101,20,200,32
Jefferson,101,21,199,32
Jefferson,109,22,200,33
Jefferson,109,23,199,33
Jefferson,109,24,200,33
Jefferson,109,25,246,33
Jefferson,109,26,200,33
Jefferson,109,27,200,33
Jefferson,109,28,200,33
Jefferson,108,15,200,34
Jefferson,108,16,200,34
Jefferson,108,17,200,34
Jefferson,108,18,200,34
Jefferson,108,19,200,34
Jefferson,108,20,199,34
Jefferson,108,21,199,34
Jefferson,101,22,200,35
Jefferson,101,23,200,35
Jefferson,101,24,200,35
Jefferson,101,25,200,35
Jefferson,101,26,200,35
Jefferson,101,27,200,35
Jefferson,101,28,231,35
Jefferson,109,29,204,36
Jefferson,109,30,200,36
Jefferson,109,31,200,36
Jefferson,109,32,199,36
Jefferson,109,33,200,36
Jefferson,109,34,200,36
Jefferson,109,35,200,36
Jefferson,107,43,200,37
Jefferson,107,44,200,37
Jefferson,107,45,200,37
Jefferson,107,46,200,37
Jefferson,107,47,200,37
Jefferson,107,48,200,37
Jefferson,107,49,200,37
Jefferson,104,43,200,38
Jefferson,104,44,200,38
Jefferson,104,45,199,38
Jefferson,104,46,200,38
Jefferson,104,47,200,38
Jefferson,104,48,200,38
Jefferson,104,49,200,38
Jefferson,106,22,200,40
Jefferson,106,23,200,40
Jefferson,106,24,200,40
Jefferson,106,25,200,40
Jefferson,106,26,200,40
Jefferson,106,27,200,40
Jefferson,106,28,200,40
Jefferson,109,36,200,42
Jefferson,109,37,200,42
Jefferson,109,38,200,42
Jefferson,109,39,200,42
Jefferson,109,40,200,42
Jefferson,109,41,200,42
Jefferson,109,42,200,42
Jefferson,105,29,200,39
Jefferson,105,30,199,39
Jefferson,105,31,200,39
Jefferson,105,32,200,39
Jefferson,105,33,200,39
Jefferson,105,34,200,39
Jefferson,105,35,199,39
Jefferson,103,35,200,64
Jefferson,101,50,199,65
Jefferson,101,51,200,65
Jefferson,101,52,209,65
Jefferson,101,53,200,65
Jefferson,101,54,200,65
Jefferson,101,55,200,65
Jefferson,101,56,200,65
Jefferson,106,57,200,66
Jefferson,106,58,200,66
Jefferson,106,59,200,66
Jefferson,106,60,200,66
Jefferson,106,61,200,66
Jefferson,106,62,200,66
Jefferson,106,63,200,66
Jefferson,107,64,143,67
Jefferson,107,65,200,67
Jefferson,107,66,200,67
Jefferson,107,67,199,67
Jefferson,107,68,200,67
Jefferson,107,69,198,67
Jefferson,107,70,200,67
Jefferson,103,36,200,68
Jefferson,103,37,200,68
Jefferson,103,38,198,68
Jefferson,103,39,200,68
Jefferson,103,40,200,68
Jefferson,103,41,200,68
Jefferson,103,42,236,68
Jefferson,106,64,200,69
Jefferson,106,65,200,69
Jefferson,106,66,200,69
Jefferson,106,67,200,69
Jefferson,106,68,200,69
Jefferson,106,69,200,69
Jefferson,106,70,227,69
Jefferson,107,71,200,70
Jefferson,107,72,200,70
Jefferson,107,73,200,70
Jefferson,107,74,200,70
Jefferson,107,75,200,70
Jefferson,107,76,200,70
Jefferson,107,77,200,70
Jefferson,101,57,200,71
Jefferson,101,58,203,71
Jefferson,101,59,199,71
Jefferson,101,60,200,71
Jefferson,101,61,200,71
Jefferson,101,62,201,71
Jefferson,101,63,217,71
Jefferson,107,78,200,72
Jefferson,107,79,199,72
Jefferson,107,80,200,72
Jefferson,107,81,200,72
Jefferson,107,82,200,72
Jefferson,107,83,200,72
Jefferson,107,84,200,72
Jefferson,101,64,200,73
Jefferson,101,65,200,73
Jefferson,101,66,200,73
Jefferson,101,67,200,73
Jefferson,101,68,199,73
