County,Tabulator,Batch,# of Ballot Cards,Location
Logan,102,1,22,1
Logan,102,2,25,1
Logan,102,3,25,1
Logan,102,4,25,1
Logan,102,5,25,1
Logan,102,6,25,1
Logan,102,7,25,1
Logan,102,8,25,1
Logan,102,9,15,1
Logan,102,10,3,1
Logan,102,11,25,1
Logan,102,12,23,1
Logan,102,13,25,1
Logan,102,14,25,1
Logan,102,15,24,1
Logan,102,16,25,1
Logan,102,17,25,1
Logan,102,18,2,1
Logan,102,19,19,2
Logan,102,20,20,2
Logan,102,21,24,2
Logan,102,22,23,2
Logan,102,23,25,2
Logan,102,24,23,2
Logan,102,25,25,2
Logan,102,26,25,2
Logan,102,27,10,2
Logan,102,28,25,2
Logan,102,29,25,2
Logan,102,30,23,2
Logan,102,31,25,2
Logan,102,32,25,2
Logan,102,33,25,2
Logan,102,34,25,2
Logan,102,35,21,2
Logan,102,36,25,2
Logan,102,37,25,2
Logan,102,38,25,3
Logan,102,39,24,3
Logan,102,40,25,3
Logan,102,41,23,3
Logan,102,42,25,3
Logan,102,43,24,3
Logan,102,44,25,3
Logan,102,45,25,3
Logan,102,46,25,3
Logan,102,47,1,3
Logan,102,48,25,3
Logan,102,49,25,3
Logan,102,50,25,3
Logan,102,51,25,3
Logan,102,52,25,3
Logan,102,53,24,3
Logan,102,54,25,3
Logan,102,55,25,3
Logan,102,56,25,3
Logan,102,57,25,3
Logan,102,58,25,3
Logan,102,59,16,3
Logan,102,60,25,3
Logan,102,61,1,3
Logan,102,62,24,4
Logan,102,63,29,4
Logan,102,64,25,4
Logan,102,65,25,4
Logan,102,66,25,4
Logan,102,67,25,4
Logan,102,68,25,4
Logan,102,69,25,4
Logan,102,70,1,4
Logan,102,71,25,4
Logan,102,72,25,4
Logan,102,73,25,4
Logan,102,74,25,4
Logan,102,75,25,4
Logan,102,76,25,4
Logan,102,77,25,4
Logan,102,78,12,4
Logan,102,79,25,4
Logan,102,80,25,4
Logan,102,81,25,4
Logan,102,82,25,4
Logan,102,83,24,4
Logan,102,84,23,4
Logan,102,85,1,4
Logan,102,86,22,5
Logan,102,87,25,5
Logan,102,88,25,5
Logan,102,89,25,5
Logan,102,90,24,5
Logan,102,91,25,5
Logan,102,92,2,5
Logan,102,93,24,5
Logan,102,94,25,5
Logan,102,95,25,5
Logan,102,96,25,5
Logan,102,97,25,5
Logan,102,98,25,5
Logan,102,99,25,5
Logan,102,100,25,5
Logan,102,101,25,5
Logan,102,102,25,6
Logan,102,103,19,6
Logan,102,104,25,6
Logan,102,105,25,6
Logan,102,106,25,6
Logan,102,107,25,6
Logan,102,108,25,6
Logan,102,109,25,6
Logan,102,110,25,6
Logan,102,111,29,6
Logan,102,112,25,7
Logan,102,113,25,7
Logan,102,114,25,7
Logan,102,115,25,7
Logan,102,116,25,7
Logan,102,117,25,7
Logan,102,118,25,7
Logan,102,119,25,7
Logan,102,120,16,7
Logan,102,121,24,7
Logan,102,122,29,7
Logan,102,123,25,7
Logan,102,124,25,7
Logan,102,125,25,7
Logan,102,126,25,7
Logan,102,127,25,7
Logan,102,128,25,7
Logan,102,129,1,7
Logan,102,130,25,8
Logan,102,131,24,8
Logan,102,132,25,8
Logan,102,133,25,8
Logan,102,134,24,8
Logan,102,135,25,8
Logan,102,136,25,8
Logan,102,137,25,8
Logan,102,138,15,8
Logan,102,139,25,8
Logan,102,140,2,8
Logan,102,141,25,8
Logan,102,142,24,8
Logan,102,143,34,8
Logan,102,144,1,8
Logan,102,145,25,9
Logan,102,146,25,9
Logan,102,147,24,9
Logan,102,148,25,9
Logan,102,149,25,9
Logan,102,150,31,9
Logan,102,151,1,9
Logan,102,152,24,9
Logan,102,153,25,9
Logan,102,154,24,9
Logan,102,155,25,9
Logan,102,156,23,9
Logan,102,157,2,9
Logan,102,158,25,10
Logan,102,159,1,10
Logan,102,160,24,10
Logan,102,161,25,10
Logan,102,162,25,10
Logan,102,163,25,10
Logan,102,164,25,10
Logan,102,165,25,10
Logan,102,166,25,10
Logan,102,167,24,10
Logan,102,168,25,10
Logan,102,169,25,10
Logan,102,170,25,10
Logan,102,171,13,10
Logan,102,172,2,10
Logan,102,173,24,10
Logan,102,174,17,10
Logan,102,175,25,10
Logan,102,176,25,10
Logan,102,177,25,10
Logan,102,178,25,10
Logan,102,179,25,10
Logan,102,180,3,10
Logan,102,181,13,11
Logan,102,182,27,11
Logan,102,183,23,11
Logan,102,184,24,11
Logan,102,185,23,11
Logan,102,186,25,11
