County,Tabulator ID,Batch,#of Ballot Cards,Location
Routt,102,1,25,1
Routt,102,2,25,1
Routt,102,3,25,1
Routt,102,4,25,1
Routt,102,5,25,1
Routt,102,6,25,1
Routt,102,7,25,1
Routt,102,8,25,1
Routt,102,9,25,1
Routt,102,10,25,1
Routt,102,11,25,1
Routt,102,12,25,1
Routt,102,13,25,1
Routt,102,14,25,1
Routt,102,15,25,1
Routt,102,16,25,1
Routt,102,17,25,1
Routt,102,18,25,1
Routt,102,19,24,1
Routt,102,20,24,1
Routt,102,21,24,1
Routt,102,22,24,1
Routt,102,23,24,1
Routt,102,24,24,1
Routt,102,25,24,1
Routt,102,26,24,1
Routt,102,27,24,1
Routt,102,28,24,1
Routt,102,29,25,1
Routt,102,30,24,1
Routt,102,31,23,1
Routt,102,32,23,1
Routt,102,33,23,1
Routt,102,34,23,1
Routt,102,35,23,1
Routt,102,36,23,1
Routt,102,37,23,1
Routt,102,38,23,1
Routt,102,39,22,1
Routt,102,40,21,1
Routt,102,41,20,1
Routt,102,42,19,1
Routt,102,43,18,1
Routt,102,44,11,1
Routt,102,45,26,1
Routt,102,46,25,1
Routt,102,47,25,1
Routt,102,48,25,1
Routt,102,49,25,1
Routt,102,50,25,1
Routt,102,51,25,1
Routt,102,52,25,1
Routt,102,53,25,1
Routt,102,54,25,1
Routt,102,55,25,1
Routt,102,56,25,1
Routt,102,57,25,1
Routt,102,58,25,1
Routt,102,59,25,1
Routt,102,60,25,1
Routt,102,61,25,1
Routt,102,62,25,1
Routt,102,63,25,1
Routt,102,64,25,1
Routt,102,65,25,1
Routt,102,66,25,1
Routt,102,67,25,1
Routt,102,68,25,1
Routt,102,69,25,1
Routt,102,70,25,1
Routt,102,71,25,2
Routt,102,72,25,2
Routt,102,73,25,2
Routt,102,74,25,2
Routt,102,75,25,2
Routt,102,76,25,2
Routt,102,77,25,2
Routt,102,78,25,2
Routt,102,79,25,2
Routt,102,80,25,2
Routt,102,81,25,2
Routt,102,82,25,2
Routt,102,83,25,2
Routt,102,84,25,2
Routt,102,85,25,2
Routt,102,86,25,2
Routt,102,87,25,2
Routt,102,88,25,2
Routt,102,89,25,2
Routt,102,90,25,2
Routt,102,91,25,2
Routt,102,92,24,2
Routt,102,93,24,2
Routt,102,94,24,2
Routt,102,95,24,2
Routt,102,96,24,2
Routt,102,97,24,2
Routt,102,98,24,2
Routt,102,99,24,2
Routt,102,100,24,2
Routt,102,101,24,2
Routt,102,102,24,2
Routt,102,103,24,2
Routt,102,104,24,2
Routt,102,105,24,2
Routt,102,106,24,2
Routt,102,107,24,2
Routt,102,108,24,2
Routt,102,109,24,2
Routt,102,110,23,2
Routt,102,111,23,2
Routt,102,112,23,2
Routt,102,113,23,2
Routt,102,114,23,2
Routt,102,115,23,2
Routt,102,116,25,2
Routt,102,117,23,2
Routt,102,118,22,2
Routt,102,119,22,2
Routt,102,120,22,2
Routt,102,121,22,2
Routt,102,122,21,2
Routt,102,123,10,2
Routt,102,124,17,2
Routt,102,125,17,2
Routt,102,126,14,2
Routt,102,127,6,2
Routt,102,128,48,2
Routt,102,129,25,2
Routt,102,130,25,2
Routt,102,131,25,3
Routt,102,132,25,3
Routt,102,133,25,3
Routt,102,134,25,3
Routt,102,135,25,3
Routt,102,136,25,3
Routt,102,137,24,3
Routt,102,138,25,3
Routt,102,139,23,3
Routt,102,140,25,3
Routt,102,141,25,3
Routt,102,142,25,3
Routt,102,143,25,3
Routt,102,144,25,3
Routt,102,145,25,3
Routt,102,146,25,3
Routt,102,147,25,3
Routt,102,148,25,3
Routt,102,149,25,3
Routt,102,150,25,3
Routt,102,151,25,3
Routt,102,152,25,3
Routt,102,153,25,3
Routt,102,154,24,3
Routt,102,155,24,3
Routt,102,156,24,3
Routt,102,157,24,3
Routt,102,158,24,3
Routt,102,159,24,3
Routt,102,160,24,3
Routt,102,161,24,3
Routt,102,162,24,3
Routt,102,163,24,3
