County,Tabulator ID,Batch,#Ballot Cards,Location
Washington,102,1,25,box1
Washington,102,2,25,box1
Washington,102,3,24,box1
Washington,102,4,24,box1
Washington,102,5,25,box1
Washington,102,6,24,box1
Washington,102,7,24,box1
Washington,102,8,25,box1
Washington,102,9,23,box1
Washington,102,10,25,box1
Washington,102,11,25,box1
Washington,102,12,24,box1
Washington,102,13,25,box1
Washington,102,14,25,box1
Washington,102,15,25,box1
Washington,102,16,25,box1
Washington,102,17,25,box1
Washington,102,18,25,box1
Washington,102,19,25,box1
Washington,102,20,25,box1
Washington,102,21,24,box1
Washington,102,22,25,box1
Washington,102,23,22,box1
Washington,102,24,23,box1
Washington,102,25,25,box1
Washington,102,26,24,box1
Washington,102,27,25,box1
Washington,102,28,12,box1
Washington,102,29,14,box1
Washington,102,30,24,box1
Washington,102,31,25,box1
Washington,102,32,24,box1
Washington,102,33,25,box1
Washington,102,34,25,box1
Washington,102,35,24,box1
Washington,102,36,25,box1
Washington,102,37,25,box1
Washington,102,38,24,box1
Washington,102,39,22,box1
Washington,102,40,25,box1
Washington,102,41,24,box1
Washington,102,42,24,box1
Washington,102,43,25,box1
Washington,102,44,25,box1
Washington,102,45,23,box1
Washington,102,46,24,box1
Washington,102,47,24,box1
Washington,102,48,24,box2
Washington,102,49,24,box2
Washington,102,50,25,box2
Washington,102,51,25,box2
Washington,102,52,25,box2
Washington,102,53,25,box2
Washington,102,54,25,box2
Washington,102,55,25,box2
Washington,102,56,24,box2
Washington,102,57,24,box2
Washington,102,58,25,box2
Washington,102,59,25,box2
Washington,102,60,25,box2
Washington,102,61,25,box2
Washington,102,62,25,box2
Washington,102,63,24,box2
Washington,102,64,25,box2
Washington,102,65,24,box2
Washington,102,66,19,box2
Washington,102,67,24,box2
Washington,102,68,25,box2
Washington,102,69,23,box2
Washington,102,70,24,box2
Washington,102,71,2,box2
Washington,102,72,29,box2
