min_margin,contest_name,contest_cvr_ids
0,Glade Park Fire Protection District 2 year term,[]
0,Alamosa School District RE-11J Director District 3,[]
0,Alamosa School District RE-11J Director District 6,[]
0,Thompson School District R2-J Board of Education Director District B,[]
0,Adams 12 Five Star School District Director - District No 4,[]
0,Glade Park Fire Protection District 4 year term,[]
0,City of Cripple Creek Council - Ward 4,[]
0,Victor Council Ward 1,[]
0,Victor Council Ward 2,[]
0,La Junta Council Member at Large (Mayor),[]
0,"City of Idaho Springs Mayor, At Large",[]
0,City of Fort Morgan Councilmember Ward 2,[]
0,City of Fort Morgan Councilmember Ward 3,[]
0,City of Wheat Ridge Council Member District I,[]
0,City of Englewood Office of Municipal Judge,[]
0,City of Golden Council Member Ward 1,[]
0,Manitou Springs School District 14 Board of Directors - 4 Year Term,[]
0,City of Lakewood Council Member Ward 1,[]
0,City of Lakewood Council Member Ward 2,[]
0,City of Louisville City Council Ward 3 (4-year term),[]
0,City of Cripple Creek Home Rule Charter Commission,[]
0,City of Sheridan City Council Member Ward II,[]
0,City of Alamosa Mayor,[]
0,City of Louisville City Council Ward 2 (4-year term),[]
0,City of Edgewater Council Members,[]
0,City of Sterling Councilmember Ward 2,[]
0,"City of Idaho Springs City Council, Ward II",[]
0,City of Walsenburg City Council Ward 3,[]
0,City of Walsenburg City Council Ward 2,[]
0,City of Walsenburg City Council Ward 1,[]
0,Crowley County School District RE 1-J Board of Directors - 4 Year Term,[]
0,Montezuma-Cortez School District RE-1 Director - District B,[]
0,RE-1 Valley School District Board of Directors District 5,[]
0,RE-1 Valley School District Board of Directors District 6,[]
0,RE-1 Valley School District Board of Directors District 2,[]
0,City of Brighton Councilmember - Ward 2,[]
0,Haxtun School District RE-2J Board of Directors,[]
0,City of Brighton Councilmember - Ward 4,[]
0,Akron School District R-1 School Board Director At-Large - 2 Year Term,[]
0,City of Federal Heights Council Member - Ward 1,[]
0,City of Federal Heights Council Member - Ward 2,[]
0,Weld County School District RE-10J Director District B,[]
0,Weldon Valley School District RE-20J Board of Education (2 year term),[]
0,Weld County School District RE-10J Director District C,[]
0,City of Manitou Springs Mayor,[]
0,City of Victor Mayor,[]
0,Buena Vista School District R-31 Board of Education District 2,[]
0,City of Manitou Springs City Council - Ward 1 - 4 Year Term,[]
0,City of Ouray Council Member - At Large,[]
0,Weld RE-8 School District Director District A,[]
0,School District 27J Board of Education Director District No. 4,[]
0,Colorado Mountain College Board of Trustees - At Large,[]
0,School District 27J Board of Education Director District No. 5,[]
0,City of Lamar Mayor At Large - Two Year Term,[]
0,Weld RE-8 School District Director District F,[]
0,School District 27J Board of Education Director District No. 2,[]
0,City of Manitou Springs City Council - Ward 2 - 4 Year Term,[]
0,Boulder Valley School District RE-2 Director District F (4 Years),[]
0,Boulder Valley School District RE-2 Director District B (4 Years),[]
0,Confluence Early Childhood Development Service District Board of Directors - District 5,[]
0,Confluence Early Childhood Development Service District Board of Directors - District 3,[]
0,City of Lamar Council Member - Ward 1 - Four Year Term,[]
0,St. Vrain Valley School District RE-1J Board of Education Director in Director District E,[]
0,St. Vrain Valley School District RE-1J Board of Education Director in Director District F,[]
0,Dolores County School District RE-2J Board of Directors - District E,[]
0,City of Fountain Council Member Ward 3 - 4 Year Term,[]
0,Montrose County Commissioner - District 1,[]
0,Dolores County School District RE-2J Board of Directors - District A,[]
0,Plateau Valley School District 50 Director District E,[]
0,City of Leadville City Council Ward 3,[]
0,Poudre School District R-1 Director District E,[]
0,City of Leadville City Council Ward 2,[]
0,City of Craig Mayor,[]
0,Moffat County Affiliated Junior College Board of Control Member - Four Year Term,[]
0,Swink School Board Member At Large - Swink 33 School District 2 year term,[]
0,Weld County School District RE-4 Director District C,[]
0,South Routt School District RE3 Director - District 1,[]
0,Aguilar School District RE-6,[]
0,South Routt School District RE3 Director - District 3,[]
0,South Routt School District RE3 Director - District 4,[]
0,South Routt School District RE3 Director - District 7,[]
0,South Routt School District RE3 Director - District 6,[]
0,Moffat County Affiliated Junior College Board of Control Member - Two Year Term,[]
0,City of Alamosa Councilor Ward 2,[]
0,City of Fort Lupton Mayor,[]
0,Granada School District RE-1 Director - District A - Four Year Term,[]
0,City of Florence - City Council - Ward 3,[]
0,City of Florence - City Council - Ward 1,[]
0,East Grand School District No. 2 Director - District 2,[]
0,East Grand School District No. 2 Director - District 1,[]
0,East Grand School District No. 2 Director - District 6,[]
0,Yuma School District-1 Board of Education Directors,[]
0,Colorado Mountain College Board of Trustees - District 7,[]
0,Aspen School District No. 1 - Board of Directors,[]
0,City of Castle Pines - Council District 1,[]
0,City of Castle Pines - Council District 3,[]
0,City of Brush Councilor Ward 3,[]
0,City of Brush Councilor Ward 2,[]
0,City of Brush Councilor Ward 1,[]
0,Colorado Mountain College Board of Trustees - District 3,[]
0,Colorado Mountain College Board of Trustees - District 1,[]
0,City of Fountain Council Member Ward 1 - 4 Year Term,[]
0,City of Brighton Mayor,[]
0,City of Wheat Ridge Council Member District IV,[]
0,Garfield School RE-2 District E,[]
0,City of Thornton Council Member - Ward 1,[]
0,City of Steamboat Springs City Council - District II,[]
0,La Junta Council Member Ward 1,[]
0,City of Greenwood Village Councilmember District 1,[]
0,La Junta Council Member Ward 2,[]
0,La Veta RE-2 School District School Board Director (4 year term),[]
0,Lewis-Palmer School District 38 Board of Directors -  District 1 - 4 Year Term,[]
0,City of Walsenburg Mayor,[]
0,Salida School District R-32-J Board of Directors - District 3,[]
0,Salida School District R-32-J Board of Directors - District 4,[]
0,Salida School District R-32-J Board of Directors - District 5,[]
0,Rocky Ford Council Member Ward 1,[]
0,City of Wheat Ridge Mayor,[]
0,Granada School District RE-1 Director - District D - Two Year Term,[]
0,City of Canon City - Mayor,[]
0,Cripple Creek-Victor School District RE-1 Board of Directors - At-large,[]
28,Sanford School District 6J - At Large Director,[]
32,Center Consolidated School District 26 JT Ballot Question 5B,[]
6,City of Alamosa Councilor Ward 4,[]
52,Sangre de Cristo School District RE-22J Director - At-Large,[]
1048,San Miguel County Ballot Question 1B: Road and Bridge Fund,[]
1329,San Miguel County Ballot Question 1A: Early Childhood Education Fund and Mental Health Services Fund,[]
410227,Proposition LL (Statutory),[]
266,Town of Telluride Ballot Question 300,"[735897,734308,736654,734972,736415,735993,735744,736685,735815,736143,734982,735744,734273,736001,734049,736574,736049,735224,735930,736646,734202,734756,736235,734034,733949,734500,734559,735210,736477,734154,736156,735105,736048,735691,736183,734766,735749,736646,733895,736086,735046,736163,734623,736123,736465,735756,736167,733967,734607,735613,736441,735186,736164,734687,736717,735578,736007,735636,735358,734985,735921,734550,734773,735339,733888,734480,735491,735286,734795,735136,735224,733873,734531,735361,735272,735196,734523,734563,734928,734592,734847,733807,734314,734281,735518,734934,735204,734041,735429,734370,733939,735432,736252,734860,735988,735998,736585,735617,734988,733936,735481,733940,735694,734173,735824,734013,735269,734519,736166,735381,736609,736053,733829,734493,736371,736202,734826,736071,735850,734304,734046,736622,735082,734546,734534,735575,736114,735443,735294,734131,734584,733997,734281,736261,735541,734491,735519,733747,735212,735458,734544,735929,733733,733898,735192,734673,735366,734782,734299,735343,734409,735117,735157,734561,734808,734726,734831,734485,734325,734299,734337]"
24,Town of Telluride Town Council,[]
19,Town of Telluride Ballot Issue 2A,[]
116,Town of Telluride Ballot Issue 2B,[]
176,Norwood School District R-2J Board of Directors,[]
5,Dolores County School District RE-2J Board of Directors - District B,[]
783,Town of Telluride Ballot Question 2C,[]
234,Norwood School District R-2J Ballot Issue 5A,[]
183,Alamosa School District RE-11J Ballot Issue 5A,[]
36,Sangre de Cristo School District RE-22J Director - District South,[]
89,Center Consolidated School District 26 JT Director - District B,[]
134,Center Consolidated School District 26 JT Director - District A,[]
176,Haxtun School District RE-2J Referred Ballot Issue 5A,[]
214,Ignacio School District 11JT Board of Directors,[]
46,Bayfield School District 10 Jt-R Board of Directors,[]
605,Upper Pine River Fire Protection District Ballot Issue 7B,[]
54,Town of Springfield Ballot Issue 2A,[]
41,Colorado's Timber Ridge Metropolitan District Ballot Question 6A,[]
