county_name,contest_name,choice,votes
Adams,City of Arvada Council Member At-Large,Michael P. Griffith,347
Adams,City of Arvada Council Member At-Large,Denise Vargas,285
Adams,City of Aurora Council Member - At Large,Alli Jackson,3533
Adams,City of Aurora Council Member - At Large,Rob Andrews,3269
Adams,City of Aurora Council Member - At Large,Danielle Jurinsky,1846
Adams,City of Aurora Council Member - At Large,Amsalu Kassaw,1426
Adams,City of Aurora Council Member - At Large,Watson Gomes,962
Adams,City of Aurora Council Member Ward I,Gianina Horton,2141
Adams,City of Aurora Council Member Ward I,Stephen Elkins,871
Adams,City of Aurora Council Member Ward I,Reid Hettich,427
Adams,City of Aurora Council Member Ward II,Amy Wiles,1764
Adams,City of Aurora Council Member Ward II,Steve Sundberg,1080
Adams,City of Brighton Mayor,Gregory Mills,5333
Adams,City of Brighton Councilmember - Ward 1,Rhianon Collins,1146
Adams,City of Brighton Councilmember - Ward 1,Jessie Williams,948
Adams,City of Brighton Councilmember - Ward 2,Ann Taddeo,951
Adams,City of Brighton Councilmember - Ward 3,Melinda Carbajal,830
Adams,City of Brighton Councilmember - Ward 3,Kevin W. Forsyth,722
Adams,City of Brighton Councilmember - Ward 4,Peter Padilla,1403
Adams,City of Commerce City Councilmember - Ward 1,Jose Guardiola,823
Adams,City of Commerce City Councilmember - Ward 1,Lucy Molina,529
Adams,City of Commerce City Councilmember - Ward 1,"Alexander ""Jake"" Jacobson",492
Adams,City of Commerce City Councilmember - Ward 3,Joanna Sandoval,1097
Adams,City of Commerce City Councilmember - Ward 3,Renee M. Chacon,894
Adams,City of Commerce City Councilmember - Ward 3,Jacob Wilson,653
Adams,City of Commerce City Councilmember - At Large,Stefanie Trujillo,3646
Adams,City of Commerce City Councilmember - At Large,Lori Young,3138
Adams,City of Commerce City Councilmember - At Large,Ryan Keefer,2821
Adams,City of Commerce City Councilmember - At Large,Jennifer Allen-Thomas,2090
Adams,City of Commerce City Councilmember - At Large,Kristi Douglas,2003
Adams,City of Commerce City Councilmember - At Large,Alejandro De Leon,1412
Adams,City of Commerce City Councilmember - At Large,Michelle Deon Lee,1102
Adams,City of Federal Heights Council Member - Ward 1,Mike Vallero,268
Adams,City of Federal Heights Council Member - Ward 2,Doris Peterson,384
Adams,City of Federal Heights Council Member - Ward 3,Sonia Jensen,180
Adams,City of Federal Heights Council Member - Ward 3,Kyle Hester,111
Adams,City of Federal Heights Council Member - Ward 3,"Theodore ""Ted"" F. May",90
Adams,City of Northglenn Council Member - Ward 1,Madison Leighty,1000
Adams,City of Northglenn Council Member - Ward 1,Nicholas Walker,891
Adams,City of Northglenn Council Member - Ward 2,Joshua D. Sievers,1226
Adams,City of Northglenn Council Member - Ward 2,Jordan Stransky,201
Adams,City of Northglenn Council Member - Ward 3,Richard Atsuhiko Kondo,742
Adams,City of Northglenn Council Member - Ward 3,Mark Bromley,331
Adams,City of Northglenn Council Member - Ward 3,Ryan Easterling-Babin,321
Adams,City of Northglenn Council Member - Ward 4,Jody Roper,1257
Adams,City of Northglenn Council Member - Ward 4,Ann Nevares,696
Adams,City of Thornton Council Member - Ward 1,Cherish Salazar,2778
Adams,City of Thornton Council Member - Ward 2,John Alge,2942
Adams,City of Thornton Council Member - Ward 2,Eric Montoya,1815
Adams,City of Thornton Council Member - Ward 2,Rebecca Berner,1249
Adams,City of Thornton Council Member - Ward 3,Devin Byrd,4183
Adams,City of Thornton Council Member - Ward 3,Sam Nizam,3872
Adams,City of Thornton Council Member - Ward 3,Mark Gormley,2954
Adams,City of Thornton Council Member - Ward 4,Drew Morris,4424
Adams,City of Thornton Council Member - Ward 4,Jason Anaya-Ledeboer,4415
Adams,City of Thornton Council Member - Ward 4,Amanda Pedrianes,1584
Adams,City of Westminster Mayor,Claire Carmelia,9468
Adams,City of Westminster Mayor,Bruce Baker,4865
Adams,City of Westminster Mayor,David DeMott,3770
Adams,City of Westminster Council Members,Obi Ezeadi,8933
