County,Tabulator ID,Batch,# of Ballot Cards,Location
Conejos,102,1,100,BOX 1
Conejos,102,2,100,BOX 1
Conejos,102,3,100,BOX 1
Conejos,102,4,100,BOX 1
Conejos,102,5,100,BOX 1
Conejos,102,6,100,BOX 1
Conejos,102,7,100,BOX 1
Conejos,102,8,100,BOX 1
Conejos,102,9,50,BOX 1
Conejos,102,10,50,BOX 1
Conejos,102,11,50,BOX 1
Conejos,102,12,50,BOX 1
Conejos,102,13,50,BOX 1
Conejos,102,14,50,BOX 1
Conejos,102,15,50,BOX 1
Conejos,102,16,50,BOX 1
Conejos,102,17,50,BOX 1
Conejos,102,18,50,BOX 1
Conejos,102,19,50,BOX 1
Conejos,102,20,50,BOX 1
Conejos,102,21,50,BOX 1
Conejos,102,22,50,BOX 1
Conejos,102,23,50,BOX 1
Conejos,102,24,50,BOX 1
Conejos,102,25,50,BOX 1
Conejos,102,26,50,BOX 1
Conejos,102,27,50,BOX 1
Conejos,102,28,50,BOX 1
Conejos,102,29,50,BOX 1
Conejos,102,30,50,BOX 1
Conejos,102,31,50,BOX 1
Conejos,102,32,50,BOX 1
Conejos,102,33,50,BOX 1
Conejos,102,34,50,BOX 1
Conejos,102,35,50,BOX 1
Conejos,102,36,50,BOX 1
Conejos,102,37,50,BOX 1
Conejos,102,38,50,BOX 1
Conejos,102,39,50,BOX 1
Conejos,102,40,50,BOX 1
Conejos,102,41,59,BOX 1
Conejos,102,42,30,BOX 1
