County,Tabulator ID,Batch,# of Ballot Cards,Location
Eagle,103,1,50,1
Eagle,103,2,50,1
Eagle,103,3,50,1
Eagle,103,4,50,1
Eagle,103,5,50,1
Eagle,103,6,50,1
Eagle,103,7,50,1
Eagle,103,8,50,1
Eagle,103,9,50,1
Eagle,103,10,50,1
Eagle,103,11,50,1
Eagle,103,12,50,1
Eagle,103,13,50,1
Eagle,103,14,50,2
Eagle,103,15,50,2
Eagle,103,16,50,2
Eagle,103,17,50,2
Eagle,103,18,50,2
Eagle,103,19,50,2
Eagle,103,20,50,2
Eagle,103,21,50,2
Eagle,103,22,50,2
Eagle,103,23,50,2
Eagle,103,24,50,2
Eagle,103,25,50,2
Eagle,103,26,50,2
Eagle,103,27,50,3
Eagle,103,28,50,3
Eagle,103,29,50,3
Eagle,103,30,50,3
Eagle,103,31,50,3
Eagle,103,32,50,3
Eagle,103,33,50,3
Eagle,103,34,50,3
Eagle,103,35,50,3
Eagle,103,36,50,3
Eagle,103,37,50,3
Eagle,103,38,50,3
Eagle,103,39,50,3
Eagle,103,40,50,4
Eagle,103,41,50,4
Eagle,103,42,50,4
Eagle,103,43,50,4
Eagle,103,44,50,4
Eagle,103,45,50,4
Eagle,103,46,50,4
Eagle,103,47,50,4
Eagle,103,48,50,4
Eagle,103,49,50,4
Eagle,103,50,50,4
Eagle,103,51,50,4
Eagle,103,52,50,4
Eagle,103,53,50,5
Eagle,103,54,50,5
Eagle,103,55,50,5
Eagle,103,56,50,5
Eagle,103,57,50,5
Eagle,103,58,50,5
Eagle,103,59,50,5
Eagle,103,60,50,5
Eagle,103,61,50,5
Eagle,103,62,50,5
Eagle,103,63,50,5
Eagle,103,64,50,5
Eagle,103,65,50,5
Eagle,103,66,50,5
Eagle,103,67,34,5
Eagle,103,68,10,5
Eagle,103,69,50,6
Eagle,103,70,50,6
Eagle,103,71,50,6
Eagle,103,72,50,6
Eagle,103,73,50,6
Eagle,103,74,50,6
Eagle,103,75,50,6
Eagle,103,76,50,6
Eagle,103,77,50,6
Eagle,103,78,50,6
Eagle,103,79,50,6
Eagle,103,80,50,6
Eagle,103,81,50,6
Eagle,103,82,50,6
Eagle,103,83,50,7
Eagle,103,84,50,7
Eagle,103,85,50,7
Eagle,103,86,50,7
Eagle,103,87,50,7
Eagle,103,88,50,7
Eagle,103,89,50,7
Eagle,103,90,50,7
Eagle,103,91,50,7
Eagle,103,92,50,7
Eagle,103,93,50,7
Eagle,103,94,50,7
Eagle,103,95,50,7
Eagle,103,96,50,7
Eagle,103,97,50,7
Eagle,103,98,50,8
Eagle,103,99,50,8
Eagle,103,100,20,8
Eagle,103,101,50,8
Eagle,103,102,4,8
Eagle,103,103,50,8
Eagle,103,104,50,8
Eagle,103,105,50,8
Eagle,103,106,50,8
Eagle,103,107,50,8
Eagle,103,108,50,8
Eagle,103,109,50,8
Eagle,103,110,50,8
Eagle,103,111,50,8
Eagle,103,112,50,8
Eagle,103,113,50,8
Eagle,103,114,50,9
Eagle,103,115,50,9
Eagle,103,116,50,9
Eagle,103,117,50,9
Eagle,103,118,50,9
Eagle,103,119,50,9
Eagle,103,120,50,9
Eagle,103,121,50,9
Eagle,103,122,50,9
Eagle,103,123,50,9
Eagle,103,124,50,9
Eagle,103,125,50,9
Eagle,103,126,50,9
Eagle,103,127,50,10
Eagle,103,128,50,10
Eagle,103,129,50,10
Eagle,103,130,50,10
Eagle,103,131,50,10
Eagle,103,132,50,10
Eagle,103,133,50,10
Eagle,103,134,50,10
Eagle,103,135,16,10
Eagle,103,136,22,10
Eagle,103,137,50,11
Eagle,103,138,50,11
Eagle,103,139,50,11
Eagle,103,140,50,11
Eagle,103,141,50,11
Eagle,103,142,50,11
Eagle,103,143,50,11
Eagle,103,144,50,11
Eagle,103,145,50,11
Eagle,103,146,50,11
Eagle,103,147,50,11
Eagle,103,148,50,11
Eagle,103,149,50,11
Eagle,103,150,50,11
Eagle,103,151,50,12
Eagle,103,152,50,12
Eagle,103,153,50,12
Eagle,103,154,50,12
Eagle,103,155,50,12
Eagle,103,156,50,12
Eagle,103,157,50,12
Eagle,103,158,50,12
Eagle,103,159,50,12
Eagle,103,160,50,12
Eagle,103,161,50,12
Eagle,103,162,50,12
Eagle,103,163,50,12
Eagle,103,164,50,12
Eagle,103,165,50,13
Eagle,103,166,50,13
Eagle,103,167,50,13
Eagle,103,168,50,13
Eagle,103,169,50,13
Eagle,103,170,50,13
Eagle,103,171,50,13
Eagle,103,172,50,13
Eagle,103,173,50,13
Eagle,103,174,50,13
Eagle,103,175,50,13
Eagle,103,176,50,13
Eagle,103,177,50,13
Eagle,103,178,50,14
Eagle,103,179,50,14
Eagle,103,180,50,14
Eagle,103,181,50,14
Eagle,103,182,50,14
Eagle,103,183,50,14
Eagle,103,184,50,14
Eagle,103,185,50,14
Eagle,103,186,50,14
Eagle,103,187,50,14
Eagle,103,188,50,14
Eagle,103,189,50,14
Eagle,103,190,50,14
Eagle,103,191,50,15
Eagle,103,192,50,15
Eagle,103,193,50,15
Eagle,103,194,50,15
Eagle,103,195,50,15
Eagle,103,196,50,15
Eagle,103,197,50,15
Eagle,103,198,50,15
Eagle,103,199,50,15
Eagle,103,200,50,15
Eagle,103,201,50,15
Eagle,103,202,50,15
Eagle,103,203,50,15
Eagle,103,204,50,16
Eagle,103,205,50,16
Eagle,103,206,50,16
Eagle,103,207,50,16
Eagle,103,208,50,16
Eagle,103,209,24,16
Eagle,103,210,24,16
Eagle,103,211,50,16
Eagle,103,212,50,16
