County,Tabulator,Batch,# of Cards,Location
Huerfano,102,1,1,Box 1
Huerfano,102,2,4,Box 1
Huerfano,102,3,20,Box 1
Huerfano,102,4,11,Box 1
Huerfano,102,5,3,Box 1
Huerfano,102,6,25,Box 2
Huerfano,102,7,16,Box 2
Huerfano,102,8,17,Box 2
Huerfano,102,9,10,Box 2
Huerfano,102,10,4,Box 2
Huerfano,102,11,3,Box 2
Huerfano,102,12,5,Box 2
Huerfano,102,13,8,Box 2
Huerfano,102,14,4,Box 2
Huerfano,102,15,4,Box 2
Huerfano,102,16,3,Box 2
Huerfano,102,17,25,Box 2
Huerfano,102,18,19,Box 2
Huerfano,102,19,21,Box 2
Huerfano,102,20,12,Box 2
Huerfano,102,21,4,Box 2
Huerfano,102,22,12,Box 2
Huerfano,102,23,8,Box 2
Huerfano,102,24,1,Box 2
Huerfano,102,25,1,Box 2
Huerfano,102,26,25,Box 2
Huerfano,102,27,25,Box 2
Huerfano,102,28,2,Box 2
Huerfano,102,29,21,Box 2
Huerfano,102,30,2,Box 2
Huerfano,102,31,13,Box 2
Huerfano,102,32,12,Box 2
Huerfano,102,33,9,Box 2
Huerfano,102,34,16,Box 2
Huerfano,102,35,2,Box 2
Huerfano,102,36,24,Box 2
Huerfano,102,37,25,Box 2
Huerfano,102,38,6,Box 2
Huerfano,102,39,24,Box 2
Huerfano,102,40,4,Box 2
Huerfano,102,41,13,Box 2
Huerfano,102,42,8,Box 2
Huerfano,102,43,25,Box 2
Huerfano,102,44,25,Box 2
Huerfano,102,45,4,Box 2
Huerfano,102,46,25,Box 2
Huerfano,102,47,25,Box 2
Huerfano,102,48,25,Box 2
Huerfano,102,49,9,Box 2
Huerfano,102,50,21,Box 2
Huerfano,102,51,24,Box 2
Huerfano,102,52,5,Box 2
Huerfano,102,53,25,Box 2
Huerfano,102,54,25,Box 2
Huerfano,102,55,15,Box 2
Huerfano,102,56,22,Box 2
Huerfano,102,57,23,Box 2
Huerfano,102,58,6,Box 2
Huerfano,102,59,5,Box 2
Huerfano,102,60,1,Box 2
Huerfano,102,61,1,Box 2
Huerfano,102,62,1,Box 3
Huerfano,102,63,19,Box 3
Huerfano,102,64,3,Box 3
Huerfano,102,65,16,Box 3
Huerfano,102,66,5,Box 3
Huerfano,102,67,9,Box 3
Huerfano,102,68,9,Box 3
Huerfano,102,69,1,Box 3
Huerfano,102,70,19,Box 3
Huerfano,102,71,8,Box 3
Huerfano,102,72,22,Box 3
Huerfano,102,73,15,Box 3
Huerfano,102,74,8,Box 3
Huerfano,102,75,25,Box 3
Huerfano,102,76,25,Box 3
Huerfano,102,77,15,Box 3
Huerfano,102,78,5,Box 3
Huerfano,102,79,25,Box 3
Huerfano,102,80,1,Box 3
Huerfano,102,81,6,Box 3
Huerfano,102,82,14,Box 3
Huerfano,102,83,8,Box 3
