County,Tabulator ID,Batch,# of Ballot Cards,Location
Lincoln,102,1,25,RLA Cabinet 1-1
Lincoln,102,2,25,RLA Cabinet 1-2
Lincoln,102,3,25,RLA Cabinet 1-3
Lincoln,102,4,25,RLA Cabinet 1-4
Lincoln,102,5,25,RLA Cabinet 1-5
Lincoln,102,6,25,RLA Cabinet 1-6
Lincoln,102,7,25,RLA Cabinet 1-7
Lincoln,102,8,25,RLA Cabinet 1-8
Lincoln,102,9,25,RLA Cabinet 1-9
Lincoln,102,10,25,RLA Cabinet 1-10
Lincoln,102,11,25,RLA Cabinet 2-11
Lincoln,102,12,25,RLA Cabinet 2-12
Lincoln,102,13,25,RLA Cabinet 2-13
Lincoln,102,14,25,RLA Cabinet 2-14
Lincoln,102,15,25,RLA Cabinet 2-15
Lincoln,102,16,25,RLA Cabinet 2-16
Lincoln,102,17,25,RLA Cabinet 2-17
Lincoln,102,18,25,RLA Cabinet 2-18
Lincoln,102,19,25,RLA Cabinet 2-19
Lincoln,102,20,25,RLA Cabinet 2-20
Lincoln,102,21,25,RLA Cabinet 3-21
Lincoln,102,22,25,RLA Cabinet 3-22
Lincoln,102,23,25,RLA Cabinet 3-23
Lincoln,102,24,25,RLA Cabinet 3-24
Lincoln,102,25,25,RLA Cabinet 3-25
Lincoln,102,26,25,RLA Cabinet 3-26
Lincoln,102,27,25,RLA Cabinet 3-27
Lincoln,102,28,25,RLA Cabinet 3-28
Lincoln,102,29,25,RLA Cabinet 3-29
Lincoln,102,30,25,RLA Cabinet 3-30
Lincoln,102,31,25,RLA Cabinet 4-31
Lincoln,102,32,25,RLA Cabinet 4-32
Lincoln,102,33,25,RLA Cabinet 4-33
Lincoln,102,34,25,RLA Cabinet 4-34
Lincoln,102,35,25,RLA Cabinet 4-35
Lincoln,102,36,25,RLA Cabinet 4-36
Lincoln,102,37,25,RLA Cabinet 4-37
Lincoln,102,38,25,RLA Cabinet 4-38
Lincoln,102,39,25,RLA Cabinet 4-39
Lincoln,102,40,25,RLA Cabinet 4-40
Lincoln,102,41,25,RLA Cabinet 5-41
Lincoln,102,42,25,RLA Cabinet 5-42
Lincoln,102,43,25,RLA Cabinet 5-43
Lincoln,102,44,25,RLA Cabinet 5-44
Lincoln,102,45,25,RLA Cabinet 5-45
Lincoln,102,46,25,RLA Cabinet 5-46
Lincoln,102,47,25,RLA Cabinet 5-47
Lincoln,102,48,25,RLA Cabinet 5-48
Lincoln,102,49,25,RLA Cabinet 5-49
Lincoln,102,50,25,RLA Cabinet 5-50
Lincoln,102,51,25,RLA Cabinet 6-51
Lincoln,102,52,21,RLA Cabinet 6-52
Lincoln,102,53,8,RLA Cabinet 6-53
Lincoln,102,54,13,RLA Cabinet 6-54
