County,Tabulator ID,Batch,# of Ballot Cards,Location/Box #
MESA,101,1001,16,101
MESA,101,1002,87,101
MESA,101,1003,33,101
MESA,101,1004,79,101
MESA,101,1005,2,101
MESA,101,1006,2,101
MESA,101,1007,158,101
MESA,101,1008,140,101
MESA,101,1009,75,101
MESA,101,1010,80,101
MESA,202,2001,8,201
MESA,202,2002,4,201
MESA,202,2003,67,201
MESA,202,2004,3,201
MESA,202,2005,2,201
MESA,202,2006,1,201
MESA,202,2007,3,201
MESA,202,2008,19,201
MESA,202,2009,6,201
MESA,202,2010,3,201
MESA,402,4001,84,401
MESA,402,4002,97,401
MESA,402,4003,99,401
MESA,402,4004,100,401
MESA,402,4005,27,401
MESA,402,4006,100,401
MESA,402,4007,99,401
MESA,402,4008,100,401
MESA,402,4009,23,401
MESA,402,4010,97,401
MESA,402,4011,100,401
MESA,402,4012,15,401
MESA,402,4013,100,401
MESA,402,4014,100,401
MESA,402,4015,100,401
MESA,402,4016,95,401
MESA,402,4017,91,401
MESA,402,4018,42,401
MESA,402,4019,94,401
MESA,402,4020,69,401
MESA,402,4021,99,401
MESA,402,4022,99,401
MESA,402,4023,93,401
MESA,402,4024,27,401
MESA,402,4025,44,402
MESA,402,4026,93,402
MESA,402,4027,100,402
MESA,402,4028,100,402
MESA,402,4029,99,402
MESA,402,4030,100,402
MESA,402,4031,99,402
MESA,402,4032,38,402
MESA,402,4033,96,402
MESA,402,4034,98,402
MESA,402,4035,31,402
MESA,402,4036,85,402
MESA,402,4037,5,402
MESA,402,4038,11,402
MESA,402,4039,5,402
MESA,402,4040,14,402
MESA,402,4041,23,402
MESA,402,4042,10,402
MESA,402,4043,2,402
MESA,402,4044,1,402
MESA,402,4045,12,402
MESA,402,4046,2,402
MESA,402,4047,100,402
MESA,402,4048,100,402
MESA,402,4049,100,402
MESA,402,4050,99,402
MESA,402,4051,100,402
MESA,402,4052,25,402
MESA,402,4053,100,402
MESA,402,4054,10,402
MESA,402,4055,15,402
MESA,402,4056,7,402
MESA,402,4057,100,402
MESA,402,4058,100,403
MESA,402,4059,100,403
MESA,402,4060,99,403
MESA,402,4061,100,403
MESA,402,4062,11,403
MESA,402,4063,100,403
MESA,402,4064,100,403
MESA,402,4065,100,403
MESA,402,4066,99,403
MESA,402,4067,100,403
MESA,402,4068,99,403
MESA,402,4069,29,403
MESA,402,4070,100,403
MESA,402,4071,23,403
MESA,402,4072,15,403
MESA,402,4073,99,403
MESA,402,4074,18,403
MESA,402,4075,100,403
MESA,402,4076,99,403
MESA,402,4077,29,403
MESA,402,4078,100,403
MESA,402,4079,100,403
MESA,402,4080,100,403
MESA,402,4081,100,403
MESA,402,4082,77,403
MESA,402,4083,100,404
MESA,402,4084,100,404
MESA,402,4085,99,404
MESA,402,4086,97,404
MESA,402,4087,100,404
MESA,402,4088,77,404
MESA,402,4089,100,404
MESA,402,4090,9,404
MESA,402,4091,5,404
MESA,402,4092,100,404
MESA,402,4093,100,404
MESA,402,4094,100,404
MESA,402,4095,100,404
MESA,402,4096,100,404
MESA,402,4097,29,404
MESA,402,4098,100,404
MESA,402,4099,100,404
MESA,402,4100,100,404
MESA,402,4101,99,404
MESA,402,4102,99,404
MESA,402,4103,100,404
MESA,402,4104,100,404
MESA,402,4105,100,405
MESA,402,4106,100,405
MESA,402,4107,100,405
MESA,402,4108,99,405
MESA,402,4109,99,405
MESA,402,4110,98,405
MESA,402,4111,48,405
MESA,402,4112,100,405
MESA,402,4113,100,405
MESA,402,4114,100,405
MESA,402,4115,100,405
MESA,402,4116,100,405
MESA,402,4117,100,405
MESA,402,4118,100,405
MESA,402,4119,100,405
MESA,402,4120,98,405
MESA,402,4121,100,405
MESA,402,4122,100,405
MESA,402,4123,99,405
MESA,402,4124,100,406
MESA,402,4125,9,406
MESA,402,4126,79,406
MESA,402,4127,1,406
MESA,402,4128,100,406
MESA,402,4129,3,406
MESA,402,4130,100,406
MESA,402,4131,40,406
MESA,402,4132,99,406
MESA,402,4133,6,406
MESA,402,4134,99,406
MESA,402,4135,59,406
MESA,402,4136,11,406
MESA,402,4137,100,406
MESA,402,4138,68,406
MESA,402,4139,100,406
MESA,402,4140,10,406
MESA,402,4141,100,406
MESA,402,4142,100,406
MESA,402,4143,100,406
MESA,402,4144,15,406
MESA,402,4145,100,406
