County,Tabulator ID,Batch #,# of Ballots Cards,Location
Morgan,102,1,50,Box 1
Morgan,102,2,50,Box 1
Morgan,102,3,13,Box 1
Morgan,102,4,50,Box 1
Morgan,102,5,50,Box 1
Morgan,102,6,50,Box 1
Morgan,102,7,50,Box 1
Morgan,102,8,50,Box 1
Morgan,102,9,50,Box 1
Morgan,102,10,50,Box 1
Morgan,102,11,50,Box 1
Morgan,102,12,50,Box 1
Morgan,102,13,27,Box 1
Morgan,102,14,50,Box 1
Morgan,102,15,50,Box 1
Morgan,102,16,50,Box 1
Morgan,102,17,50,Box 1
Morgan,102,18,27,Box 1
Morgan,102,19,50,Box 1
Morgan,102,20,50,Box 1
Morgan,102,21,50,Box 1
Morgan,102,22,25,Box 1
Morgan,102,23,50,Box 1
Morgan,102,24,50,Box 1
Morgan,102,25,50,Box 1
Morgan,102,26,59,Box 1
Morgan,102,27,50,Box 1
Morgan,102,28,66,Box 1
Morgan,102,29,50,Box 1
Morgan,102,30,50,Box 1
Morgan,102,31,50,Box 1
Morgan,102,32,50,Box 1
Morgan,102,33,68,Box 1
Morgan,102,34,50,Box 2
Morgan,102,35,50,Box 2
Morgan,102,36,50,Box 2
Morgan,102,37,40,Box 2
Morgan,102,38,50,Box 2
Morgan,102,39,50,Box 2
Morgan,102,40,50,Box 2
Morgan,102,41,50,Box 2
Morgan,102,42,47,Box 2
Morgan,102,43,50,Box 2
Morgan,102,44,61,Box 2
Morgan,102,45,50,Box 2
Morgan,102,46,50,Box 2
Morgan,102,47,56,Box 2
Morgan,102,48,50,Box 2
Morgan,102,49,50,Box 2
Morgan,102,50,47,Box 2
Morgan,102,51,50,Box 2
Morgan,102,52,50,Box 2
Morgan,102,53,27,Box 2
Morgan,102,54,50,Box 2
Morgan,102,55,50,Box 2
Morgan,102,56,46,Box 2
Morgan,102,57,50,Box 2
Morgan,102,58,58,Box 2
Morgan,102,59,50,Box 2
Morgan,102,60,55,Box 2
Morgan,102,61,50,Box 3
Morgan,102,62,30,Box 3
Morgan,102,63,50,Box 3
Morgan,102,64,50,Box 3
Morgan,102,65,31,Box 3
Morgan,102,66,50,Box 3
Morgan,102,67,50,Box 3
Morgan,102,68,50,Box 3
Morgan,102,69,29,Box 3
Morgan,102,70,50,Box 3
Morgan,102,71,50,Box 3
Morgan,102,72,35,Box 3
Morgan,102,73,50,Box 3
Morgan,102,74,50,Box 3
Morgan,102,75,42,Box 3
Morgan,102,76,50,Box 3
Morgan,102,77,50,Box 3
Morgan,102,78,50,Box 3
Morgan,102,79,42,Box 3
Morgan,102,80,50,Box 3
Morgan,102,81,50,Box 3
Morgan,102,82,30,Box 3
Morgan,102,83,50,Box 3
Morgan,102,84,50,Box 3
Morgan,102,85,50,Box 3
Morgan,102,86,50,Box 3
Morgan,102,87,48,Box 3
Morgan,102,88,50,Box 4
Morgan,102,89,50,Box 4
Morgan,102,90,50,Box 4
Morgan,102,91,42,Box 4
Morgan,102,92,50,Box 4
Morgan,102,93,50,Box 4
Morgan,102,94,50,Box 4
Morgan,102,95,47,Box 4
Morgan,102,96,50,Box 4
Morgan,102,97,50,Box 4
Morgan,102,98,38,Box 4
Morgan,102,99,50,Box 4
Morgan,102,100,50,Box 4
Morgan,102,101,21,Box 4
Morgan,102,102,50,Box 4
Morgan,102,103,50,Box 4
Morgan,102,104,31,Box 4
Morgan,102,105,50,Box 4
Morgan,102,106,65,Box 4
Morgan,102,107,50,Box 4
Morgan,102,108,35,Box 4
Morgan,102,109,73,Box 4
Morgan,102,110,9,Box 4
