County,Tabulator,Batch,# of Ballots,Location
Weld,101,1,99,1
Weld,101,2,100,1
Weld,101,3,99,1
Weld,101,4,99,1
Weld,101,5,99,1
Weld,101,6,100,1
Weld,101,7,100,6
Weld,101,8,100,6
Weld,101,9,100,6
Weld,101,10,100,6
Weld,101,11,100,6
Weld,101,12,99,6
Weld,101,13,100,10
Weld,101,14,100,10
Weld,101,15,100,10
Weld,101,16,100,10
Weld,101,17,99,10
Weld,101,18,99,10
Weld,101,19,100,16
Weld,101,20,99,16
Weld,101,21,100,16
Weld,101,22,100,16
Weld,101,23,100,16
Weld,101,24,100,16
Weld,101,25,100,20
Weld,101,26,98,20
Weld,101,27,100,20
Weld,101,28,100,20
Weld,101,29,100,20
Weld,101,30,100,20
Weld,101,31,100,22
Weld,101,32,99,22
Weld,101,33,100,22
Weld,101,34,100,22
Weld,101,35,100,22
Weld,101,36,99,22
Weld,101,37,99,27
Weld,101,38,100,27
Weld,101,39,83,27
Weld,101,40,100,27
Weld,101,41,100,27
Weld,101,42,100,27
Weld,101,43,100,32
Weld,101,44,100,32
Weld,101,45,99,32
Weld,101,46,100,32
Weld,101,47,99,32
Weld,101,48,100,32
Weld,101,49,100,39
Weld,101,50,99,39
Weld,101,51,100,39
Weld,101,52,49,39
Weld,101,53,100,39
Weld,101,54,100,39
Weld,101,55,51,45
Weld,101,56,98,45
Weld,101,57,97,45
Weld,101,58,100,45
Weld,101,59,98,45
Weld,101,60,99,45
Weld,101,61,100,50
Weld,101,62,99,50
Weld,101,63,99,50
Weld,101,64,100,50
Weld,101,65,100,50
Weld,101,66,100,50
Weld,101,67,99,55
Weld,101,68,100,55
Weld,101,69,100,55
Weld,101,70,100,55
Weld,101,71,100,55
Weld,101,72,78,55
Weld,101,73,35,57
Weld,101,74,15,57
Weld,101,75,98,57
Weld,101,76,98,57
Weld,101,77,98,57
Weld,101,78,98,57
Weld,101,79,100,64
Weld,101,80,100,64
Weld,101,81,98,64
Weld,101,82,100,64
Weld,101,83,100,64
Weld,101,84,100,64
Weld,101,85,100,66
Weld,101,86,100,66
Weld,101,87,100,66
Weld,101,88,100,66
Weld,101,89,100,66
Weld,101,90,99,66
Weld,101,91,100,71
Weld,101,92,99,71
Weld,101,93,100,71
Weld,101,94,99,71
Weld,101,95,100,71
Weld,101,96,79,71
Weld,101,97,99,73
Weld,101,98,99,73
Weld,101,99,97,73
Weld,101,100,100,73
Weld,101,101,99,73
Weld,101,102,97,73
Weld,101,103,100,79
Weld,101,104,97,79
Weld,101,105,100,79
Weld,101,106,99,79
Weld,101,107,100,79
Weld,101,108,98,79
Weld,101,109,99,85
Weld,101,110,100,85
Weld,101,111,100,85
Weld,101,112,100,85
Weld,101,113,100,85
Weld,101,114,99,85
Weld,101,115,100,88
Weld,101,116,100,88
Weld,101,117,98,88
Weld,101,118,100,88
Weld,101,119,100,88
Weld,101,120,100,88
Weld,101,121,100,92
Weld,101,122,100,92
Weld,101,123,99,92
Weld,101,124,100,92
Weld,101,125,99,92
Weld,101,126,99,92
Weld,101,127,100,96
Weld,101,128,99,96
Weld,101,129,10,96
Weld,101,130,100,96
Weld,101,131,100,96
Weld,101,132,98,96
Weld,101,133,100,100
Weld,101,134,100,100
Weld,101,135,100,100
Weld,101,136,100,100
Weld,101,137,100,100
Weld,101,138,100,100
Weld,101,139,100,104
Weld,101,140,99,104
Weld,101,141,99,104
Weld,101,142,100,104
Weld,101,143,98,104
Weld,101,144,99,104
Weld,101,145,99,106
Weld,101,146,52,106
Weld,101,147,97,106
Weld,101,148,100,106
Weld,101,149,100,106
Weld,101,150,100,106
Weld,101,151,100,110
Weld,101,152,99,110
Weld,101,153,100,110
Weld,101,154,98,110
Weld,101,155,100,110
Weld,101,156,99,110
Weld,101,157,99,113
Weld,101,158,99,113
Weld,101,159,98,113
Weld,101,160,100,113
Weld,101,161,100,113
Weld,101,162,99,113
Weld,101,163,100,117
Weld,101,164,99,117
Weld,101,165,99,117
Weld,101,166,100,117
Weld,101,167,99,117
Weld,101,168,99,117
Weld,101,169,67,504
Weld,102,1,100,11
Weld,102,2,100,11
Weld,102,3,100,11
Weld,102,4,100,11
Weld,102,5,100,11
Weld,102,6,98,11
Weld,102,7,100,15
Weld,102,8,100,15
Weld,102,9,100,15
Weld,102,10,100,15
Weld,102,11,100,15
Weld,102,12,99,15
Weld,102,13,99,19
Weld,102,14,100,19
Weld,102,15,100,19
Weld,102,16,100,19
Weld,102,17,99,19
Weld,102,18,100,19
Weld,102,19,100,24
Weld,102,20,98,24
Weld,102,21,46,24
Weld,102,22,99,24
Weld,102,23,100,24
Weld,102,24,99,24
Weld,102,25,99,29
Weld,102,26,100,29
Weld,102,27,95,29
Weld,102,28,97,29
Weld,102,29,44,29
Weld,102,30,22,29
Weld,102,31,100,31
Weld,102,32,100,31
Weld,102,33,100,31
Weld,102,34,100,31
Weld,102,35,100,31
Weld,102,36,99,31
Weld,102,37,100,35
Weld,102,38,100,35
Weld,102,39,100,35
Weld,102,40,100,35
Weld,102,41,100,35
Weld,102,42,100,35
Weld,102,43,100,37
Weld,102,44,99,37
Weld,102,45,100,37
Weld,102,46,97,37
Weld,102,47,98,37
Weld,102,48,99,37
Weld,102,49,100,41
Weld,102,50,100,41
Weld,102,51,100,41
Weld,102,52,100,41
Weld,102,53,99,41
Weld,102,54,98,41
Weld,102,55,99,46
Weld,102,56,98,46
Weld,102,57,100,46
Weld,102,58,100,46
Weld,102,59,98,46
Weld,102,60,99,46
Weld,102,61,99,49
Weld,102,62,100,49
Weld,102,63,100,49
Weld,102,64,99,49
Weld,102,65,100,49
Weld,102,66,100,49
Weld,102,67,96,53
Weld,102,68,100,53
Weld,102,69,100,53
Weld,102,70,100,53
Weld,102,71,100,53
Weld,102,72,98,53
Weld,102,73,99,60
Weld,102,74,99,60
Weld,102,75,100,60
Weld,102,76,99,60
Weld,102,77,100,60
Weld,102,78,100,60
Weld,102,79,99,62
Weld,102,80,99,62
Weld,102,81,100,62
Weld,102,82,100,62
Weld,102,83,100,62
Weld,102,84,99,62
Weld,102,85,100,67
Weld,102,86,39,67
Weld,102,87,100,67
Weld,102,88,98,67
Weld,102,89,100,67
Weld,102,90,100,67
Weld,102,91,100,68
Weld,102,92,99,68
Weld,102,93,100,68
Weld,102,94,98,68
Weld,102,95,100,68
Weld,102,96,100,68
Weld,102,97,100,74
Weld,102,98,100,74
Weld,102,99,99,74
Weld,102,100,100,74
Weld,102,101,99,74
Weld,102,102,100,74
Weld,102,103,100,77
Weld,102,104,100,77
Weld,102,105,43,77
Weld,102,106,100,77
Weld,102,107,100,77
Weld,102,108,97,77
Weld,102,109,98,83
Weld,102,110,100,83
Weld,102,111,99,83
Weld,102,112,99,83
Weld,102,113,100,83
Weld,102,114,100,83
Weld,102,115,100,89
Weld,102,116,100,89
Weld,102,117,100,89
Weld,102,118,100,89
Weld,102,119,100,89
Weld,102,120,100,89
Weld,102,121,100,93
Weld,102,122,99,93
Weld,102,123,99,93
Weld,102,124,100,93
Weld,102,125,100,93
