min_margin,contest_name,contest_cvr_ids
0,Lincoln County Treasurer - REP,[]
0,State Senator - District 4 - REP,[]
0,State Senator - District 22 - DEM,[]
0,Rio Blanco County Clerk and Recorder - REP,[]
0,Representative to the 120th United States Congress - District 2 - DEM,[]
0,State Representative - District 36 - REP,[]
0,Summit County Sheriff - DEM,[]
0,Regent of the University of Colorado - Congressional District 2 - REP,[]
0,State Senator - District 35 - DEM,[]
0,San Miguel County Coroner - DEM,[]
0,County Clerk and Recorder (REP),[]
0,Kit Carson County Assessor - DEM,[]
0,Baca County Treasurer - REP,[]
0,Jefferson County Coroner - REP,[]
0,Mesa County Treasurer - REP,[]
0,State Representative - District 49 - REP,[]
84,Jackson County Clerk and Recorder - REP,"[507392,506969,507318,507516,507146,507412,506990,507081,507123,507198,507505,507030,507105,507113,507132,507444,507088,507460,507313,506967,507284,507081,507151,507119,507184,507124,507349,507089,507450,507391,507141,507084,507322,507203,506990,507333,507389,507188,507478,507089,507268,507352,507513,507437,507256,507406,507327,507201,507338,507348,506960,507199]"
0,Alamosa County Coroner - REP,[]
0,Sedgwick County Assessor - REP,[]
0,Sedgwick County Coroner - REP,[]
0,State Representative - District 63 - REP,[]
0,State Representative - District 1 - REP,[]
0,State Representative - District 12 - DEM,[]
0,Custer County Clerk and Recorder - REP,[]
0,State Representative - District 52 - DEM,[]
0,Lake County Clerk and Recorder - DEM,[]
0,Prowers County Clerk and Recorder - REP,[]
0,State Representative - District 31 - REP,[]
0,County Assessor (DEM),[]
0,Custer County Treasurer - REP,[]
0,Ouray County Commissioner - District 2 - DEM,[]
0,Crowley County Sheriff - REP,[]
0,La Plata County Treasurer - DEM,[]
0,Logan County Assessor - REP,[]
0,Arapahoe County Coroner - DEM,[]
0,Douglas County Clerk and Recorder (DEM),[]
0,Prowers County Assessor - REP,[]
0,Saguache County Treasurer - REP,[]
0,Las Animas County Treasurer - REP,[]
0,Mesa County Surveyor - REP,[]
0,Montezuma County Commissioner District 1 - DEM,[]
0,Bent County Sheriff - REP,[]
0,Las Animas County Clerk and Recorder - DEM,[]
0,Representative to the 120th United States Congress - District 7 - REP,[]
0,Jefferson County Commissioner - District 3 - REP,[]
0,Kit Carson County Commissioner - District 2 - REP,[]
0,Dolores County Treasurer - REP,[]
0,Prowers County Commissioner - District 2 - REP,[]
0,Washington County Coroner - REP,[]
0,Delta County Commissioner - District 1 - REP,[]
0,State Representative - District 44 (DEM),[]
0,Clear Creek County Sheriff - REP,[]
0,State Senator - District 34 (REP),[]
0,County Sheriff (DEM),[]
0,Jackson County Assessor - REP,[]
0,Boulder County Commissioner - District 3 - DEM,[]
0,Chaffee County Treasurer - DEM,[]
0,State Representative - District 3 - DEM,[]
0,Kit Carson County Treasurer - REP,[]
0,Boulder County Assessor - DEM,[]
0,Summit County Assessor - DEM,[]
0,State Senator - District 27 - DEM,[]
0,Chaffee County Commissioner - District 3 - REP,[]
0,State Representative - District 57 - DEM,[]
0,Kiowa County Coroner - REP,[]
0,Garfield County Treasurer (REP),[]
0,Sedgwick County Commissioner - District 1 - REP,[]
0,Crowley County Treasurer - REP,[]
0,State Senator - District 29 - DEM,[]
0,Park County Surveyor - REP,[]
0,Bent County Clerk and Recorder - REP,[]
0,Clear Creek County Clerk and Recorder - DEM,[]
0,Larimer County Surveyor - REP,[]
0,Jackson County Treasurer - REP,[]
0,Mesa County Treasurer - DEM,[]
0,Park County Treasurer - DEM,[]
0,Pueblo County Coroner - REP,[]
0,State Representative - District 49 - DEM,[]
0,Logan County Clerk and Recorder - REP,[]
0,Montrose County Treasurer - REP,[]
0,Clerk & Recorder (REP),[]
0,State Representative - District 46 - DEM,[]
0,El Paso County Commissioner - District 1 - DEM,[]
0,Elbert County Treasurer (REP),[]
0,State Senator - District 4 - DEM,[]
0,Saguache County Commissioner District 3 - REP,[]
0,State Representative - District 23 - DEM,[]
0,State Representative - District 4 (REP),[]
0,State Representative - District 47 - REP,[]
0,Larimer County Sheriff - REP,[]
0,State Senator - District 25 - REP,[]
0,Moffat County Coroner - REP,[]
0,Moffat County Assessor - REP,[]
0,Gunnison County Coroner - DEM,[]
0,Adams County Sheriff - REP,[]
0,State Senator - District 11 - DEM,[]
0,State Representative - District 15 - REP,[]
0,Routt County Sheriff - DEM,[]
0,Kit Carson County Sheriff - REP,[]
0,La Plata County Coroner - REP,[]
0,Grand County Coroner (REP),[]
0,Eagle County Commissioner - District 3 - DEM,[]
0,State Representative - District 54 - DEM,[]
0,County Commissioner - District 1 (REP),[]
0,State Representative - District 60 - DEM,[]
0,Yuma County Treasurer - REP,[]
1025,Secretary of State - DEM (Montrose),"[141076,145103,149442,137766,139504,145637,135583,144400,139020,139661,143073,139279,138099,140381,138626,136881,138277,135087,140239,141064,141848,149613,135995,148069,137029,139570,144126,142207,140550,147802,136139,138781,142466,137905,135647,136755,146293,141059,135558,137893,138978,136525,138097,136055,148572,134832,141935,134895,136080,146345,138783,145015,136982,142435,138843,136188,148776,139514,145610,144398,149750,149262,145223,134787,149406,139753,141614,149713,140224,142347,148773,135600,145453,145271,148261,140540,141391,141556,141325,141742,143645,143813,135269,143045,140197,141374,134554,139793,139746]"
0,Mineral County Clerk and Recorder - REP,[]
0,Montrose County Clerk and Recorder - REP,[]
0,Huerfano County Commissioner - District 3 - REP,[]
0,Las Animas County Treasurer - DEM,[]
0,State Representative - District 1 - DEM,[]
0,Lincoln County Clerk and Recorder - REP,[]
0,Lake County Treasurer - DEM,[]
0,Douglas County Sheriff (REP),[]
0,State Representative - District 25 - DEM,[]
0,State Representative - District 17 - REP,[]
0,State Representative - District 2 (REP),[]
0,Gilpin County Sheriff (REP),[]
0,Pueblo County Assessor - REP,[]
0,State Representative - District 50 - REP,[]
0,State Representative - District 46 - REP,[]
0,State Representative - District 13 - REP,[]
0,Morgan County Commissioner District 2 - REP,[]
0,Commissioner - District 3 (REP),[]
0,Eagle County Sheriff - REP,[]
0,Elbert County Assessor (REP),[]
0,State Senator - District 29 - REP,[]
0,State Senator - District 7 - REP,[]
0,Montrose County Commissioner - District 3 - REP,[]
0,Cheyenne County Clerk and Recorder - REP,[]
0,State Board of Education Member - Congressional District 1 - DEM,[]
0,Crowley County Assessor - REP,[]
0,Washington County Treasurer - REP,[]
0,State Representative - District 59 - REP,[]
0,State Representative - District 15 - DEM,[]
0,La Plata County Coroner - DEM,[]
193,Attorney General - REP (Kit Carson),"[108107,107424,108329,107319,107313,108324,107399,107496,107476,107660,107803,108458,108550,107863,108084,107054,108177,107158,108412,108442,107820,106879,107589,108531,106981,108074,108228,108244,108511,108376,107976,107176,108503,108280,107411,107237,106778,107977,107302,108420,108476,108249,108345,108473,107311,108256,108174,108463,106899,108100,107252,108112,107542,108402,108254,107852,106840,107170,107892,108075,106828,107158,107730,107574,107853,107044,107590,107256,107477,107060,106940,107011]"
0,State Representative - District 55 - DEM,[]
0,Douglas County Treasurer (DEM),[]
0,Garfield County Assessor (REP),[]
0,Las Animas County Assessor - REP,[]
0,Regent of the University of Colorado - Congressional District 6 - DEM,[]
0,Park County Coroner - DEM,[]
0,Eagle County Coroner - DEM,[]
0,Teller County Treasurer - REP,[]
0,State Representative - District 20 - REP,[]
0,Jefferson County Assessor - REP,[]
0,State Senator - District 8 - DEM,[]
0,Otero County Coroner (REP),[]
0,Alamosa County Sheriff - DEM,[]
0,Las Animas County Coroner - DEM,[]
0,United States Senator - REP,[]
0,Yuma County Commissioner - District 1 - REP,[]
0,El Paso County Sheriff - REP,[]
0,Elbert County Clerk and Recorder (REP),[]
0,Pueblo County Assessor - DEM,[]
0,Lincoln County Assessor - REP,[]
0,Arapahoe County Sheriff - DEM,[]
0,State Senator - District 9 - DEM,[]
0,Pueblo County Commissioner - District 3 - REP,[]
0,Lake County Clerk and Recorder - REP,[]
0,State Representative - District 6 (REP),[]
0,State Representative - District 21 - DEM,[]
0,Regent of the University of Colorado - Congressional District 7 - DEM,[]
0,La Plata County Sheriff - DEM,[]
0,Hinsdale County Treasurer - REP,[]
0,State Senator - District 35 - REP,[]
0,Archuleta County Treasurer - REP,[]
0,Douglas County Assessor (REP),[]
0,Saguache County Sheriff - REP,[]
0,State Representative - District 10 - DEM,[]
0,Pueblo County Treasurer - REP,[]
0,Secretary of State - REP,[]
0,State Representative - District 53 - REP,[]
0,State Representative - District 22 - DEM,[]
0,Park County Sheriff - DEM,[]
0,County Commissioner - District 2 (DEM),[]
0,Bent County Treasurer - REP,[]
0,State Representative - District 5 (REP),[]
0,Park County Treasurer - REP,[]
0,Cheyenne County Assessor - REP,[]
0,Eagle County Treasurer - DEM,[]
0,Morgan County Assessor - REP,[]
0,State Representative - District 65 - REP,[]
0,Montrose County Commissioner - District 2 - REP,[]
0,State Representative - District 62 - DEM,[]
0,Larimer County Coroner - DEM,[]
0,El Paso County Coroner - REP,[]
0,State Representative - District 16 - DEM,[]
0,County Surveyor (DEM),[]
0,Larimer County Treasurer - REP,[]
0,State Representative - District 43 (REP),[]
0,State Senator - District 30 (REP),[]
0,State Representative - District 59 - DEM,[]
0,Logan County Commissioner - District 3 - REP,[]
0,Adams County Commissioner - District 3 - DEM,[]
0,Weld County Clerk and Recorder - REP,[]
0,Teller County Sheriff - REP,[]
0,State Senator - District 8 - REP,[]
0,Representative to the 120th United States Congress - District 5 - REP,[]
0,Park County Coroner - REP,[]
0,Fremont County Assessor - REP,[]
0,State Representative - District 12 - REP,[]
0,Cheyenne County Treasurer - REP,[]
0,Custer County Coroner - REP,[]
0,Archuleta County Assessor - REP,[]
0,Boulder County Coroner - DEM,[]
0,Montrose County Surveyor - REP,[]
0,Clear Creek County Treasurer - DEM,[]
0,Moffat County Treasurer - REP,[]
0,State Representative - District 58 - REP,[]
0,Gunnison County Clerk and Recorder - DEM,[]
0,Saguache County Coroner - REP,[]
0,State Representative - District 55 - REP,[]
0,Adams County Assessor - DEM,[]
0,State Representative - District 45 (REP),[]
0,Custer County Assessor - REP,[]
0,Representative to the 120th United States Congress - District 4 - REP,[]
0,State Representative - District 14 - DEM,[]
0,San Miguel County Clerk and Recorder - DEM,[]
0,State Representative - District 61 - REP,[]
0,Representative to the 120th United States Congress - District 7 - DEM,[]
0,La Plata County Commissioner District 1 - DEM,[]
0,Clerk and Recorder (REP),[]
0,State Representative - District 64 - DEM,[]
0,Delta County Commissioner - District 1 - DEM,[]
0,Weld County Assessor - REP,[]
0,Mesa County Coroner - REP,[]
0,Baca County Sheriff - REP,[]
0,State Representative - District 39 (REP),[]
0,Otero County Assessor (REP),[]
0,Las Animas County Sheriff - REP,[]
0,Elbert County Sheriff (REP),[]
0,State Senator - District 31 (REP),[]
0,Arapahoe County Sheriff - REP,[]
0,Logan County Treasurer - REP,[]
0,Mineral County Assessor - REP,[]
0,Kiowa County Treasurer - REP,[]
0,Rio Blanco County Surveyor - REP,[]
0,Las Animas County Commissioner District 3 - REP,[]
0,Jefferson County Treasurer - DEM,[]
0,Lincoln County Coroner - REP,[]
0,Weld County Commissioner - District 2 - REP,[]
0,Lincoln County Sheriff - REP,[]
0,Chaffee County Commissioner - District 3 - DEM,[]
0,State Representative - District 57 - REP,[]
0,Representative to the 120th United States Congress - District 6 - DEM,[]
0,Las Animas County Coroner - REP,[]
0,Moffat County Clerk and Recorder - REP,[]
0,Baca County Coroner - REP,[]
0,Delta County Treasurer - REP,[]
0,County Coroner (REP),[]
0,Mesa County Sheriff - REP,[]
0,La Plata County Surveyor - REP,[]
0,Commissioner - District 2 (REP),[]
0,Rio Grande County Assessor - REP,[]
0,Teller County Coroner - REP,[]
0,Elbert County Coroner (REP),[]
0,State Representative - District 8 (REP),[]
0,Larimer County Commissioner - District 1 - DEM,[]
0,Phillips County Assessor - REP,[]
0,Conejos County Commissioner District 2 - DEM,[]
0,Saguache County Clerk and Recorder - REP,[]
